Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
1124877066, -6217, 7999, 11383, 6018, 4027, 832, -2348, -79, 13, -269, 0, 0, 0, 0, 0, 0, 0, 0
1124877867, -6181, 7947, 11436, 6023, 4007, 907, -2362, 134, 36, -316, 0, 0, 0, 0, 0, 0, 0, 0
1124883854, -6140, 7890, 11488, 6040, 3967, 1042, -2309, 106, 38, -311, 0, 0, 0, 0, 0, 0, 0, 0
1124898879, -6098, 7846, 11533, 6054, 3979, 1023, -2316, 62, 5, -272, 0, 0, 0, 0, 0, 0, 0, 0
1124921411, -6066, 7804, 11575, 6061, 3959, 1021, -2317, 102, 31, -231, 0, 0, 0, 0, 0, 0, 0, 0
1124937064, -6066, 7804, 11575, 6061, 3959, 1021, -2317, 102, 31, -231, 46, 47, 23, 29, 27, 29, 54, 84
1124937825, -6066, 7804, 11575, 6061, 3959, 1021, -2317, 102, 31, -231, 46, 47, 23, 29, 27, 29, 54, 84
1124944007, -6038, 7767, 11610, 6070, 3940, 1020, -2246, 78, 13, -207, 46, 47, 23, 29, 27, 29, 54, 84
1124960208, -6038, 7767, 11610, 6070, 3940, 1020, -2246, 78, 13, -207, 39, 38, 23, 28, 27, 26, 46, 65
1124960986, -6038, 7767, 11610, 6070, 3940, 1020, -2246, 78, 13, -207, 39, 38, 23, 28, 27, 26, 46, 65
1124961930, -6016, 7728, 11641, 6083, 3983, 1038, -2239, 74, 42, -204, 39, 38, 23, 28, 27, 26, 46, 65
1124982748, -6016, 7728, 11641, 6083, 3983, 1038, -2239, 74, 42, -204, 38, 40, 27, 28, 28, 27, 61, 80
1124983531, -6016, 7728, 11641, 6083, 3983, 1038, -2239, 74, 42, -204, 38, 40, 27, 28, 28, 27, 61, 80
1124984448, -5998, 7680, 11670, 6104, 4028, 1034, -2273, 54, 109, -266, 38, 40, 27, 28, 28, 27, 61, 80
1124996997, -5998, 7680, 11670, 6104, 4028, 1034, -2273, 54, 109, -266, 41, 43, 31, 35, 30, 31, 76, 88
1124997772, -5998, 7680, 11670, 6104, 4028, 1034, -2273, 54, 109, -266, 41, 43, 31, 35, 30, 31, 76, 88
1125003969, -5972, 7623, 11702, 6141, 4015, 1030, -2262, -22, 128, -381, 41, 43, 31, 35, 30, 31, 76, 88
1125020261, -5972, 7623, 11702, 6141, 4015, 1030, -2262, -22, 128, -381, 66, 74, 54, 43, 34, 34, 99, 107
1125021005, -5972, 7623, 11702, 6141, 4015, 1030, -2262, -22, 128, -381, 66, 74, 54, 43, 34, 34, 99, 107
1125021941, -5908, 7547, 11735, 6233, 4106, 1095, -2278, -305, 149, -666, 66, 74, 54, 43, 34, 34, 99, 107
1125050230, -5908, 7547, 11735, 6233, 4106, 1095, -2278, -305, 149, -666, 97, 152, 91, 49, 43, 39, 132, 111
1125051007, -5908, 7547, 11735, 6233, 4106, 1095, -2278, -305, 149, -666, 97, 152, 91, 49, 43, 39, 132, 111
1125051978, -5800, 7455, 11776, 6365, 4065, 1165, -2289, -545, 110, -951, 97, 152, 91, 49, 43, 39, 132, 111
1125057133, -5800, 7455, 11776, 6365, 4065, 1165, -2289, -545, 110, -951, 154, 193, 100, 49, 48, 46, 159, 122
1125057913, -5800, 7455, 11776, 6365, 4065, 1165, -2289, -545, 110, -951, 154, 193, 100, 49, 48, 46, 159, 122
1125065238, -5800, 7455, 11776, 6365, 4065, 1165, -2289, -545, 110, -951, 154, 193, 100, 49, 48, 46, 159, 122
1125066007, -5800, 7455, 11776, 6365, 4065, 1165, -2289, -545, 110, -951, 154, 193, 100, 49, 48, 46, 159, 122
1125066955, -5644, 7345, 11822, 6546, 4138, 1275, -2302, -834, 58, -1268, 154, 193, 100, 49, 48, 46, 159, 122
1125080243, -5644, 7345, 11822, 6546, 4138, 1275, -2302, -834, 58, -1268, 166, 227, 116, 56, 56, 48, 163, 135
1125080994, -5644, 7345, 11822, 6546, 4138, 1275, -2302, -834, 58, -1268, 166, 227, 116, 56, 56, 48, 163, 135
1125081955, -5462, 7212, 11875, 6749, 4132, 1308, -2233, -962, 13, -1554, 166, 227, 116, 56, 56, 48, 163, 135
1125102701, -5462, 7212, 11875, 6749, 4132, 1308, -2233, -962, 13, -1554, 233, 297, 160, 69, 62, 65, 195, 152
1125103610, -5462, 7212, 11875, 6749, 4132, 1308, -2233, -962, 13, -1554, 233, 297, 160, 69, 62, 65, 195, 152
1125104436, -5243, 7039, 11938, 6990, 4166, 1308, -2217, -1078, -7, -1861, 233, 297, 160, 69, 62, 65, 195, 152
1125116406, -5243, 7039, 11938, 6990, 4166, 1308, -2217, -1078, -7, -1861, 252, 319, 176, 82, 67, 74, 230, 152
1125124519, -5243, 7039, 11938, 6990, 4166, 1308, -2217, -1078, -7, -1861, 252, 319, 176, 82, 67, 74, 230, 152
1125125443, -5019, 6825, 12017, 7229, 4104, 1487, -2104, -968, 26, -2079, 252, 319, 176, 82, 67, 74, 230, 152
1125140231, -5019, 6825, 12017, 7229, 4104, 1487, -2104, -968, 26, -2079, 256, 295, 173, 82, 65, 80, 220, 165
1125141023, -5019, 6825, 12017, 7229, 4104, 1487, -2104, -968, 26, -2079, 256, 295, 173, 82, 65, 80, 220, 165
1125141952, -4808, 6549, 12128, 7438, 3971, 1787, -1960, -620, 101, -2310, 256, 295, 173, 82, 65, 80, 220, 165
1125162725, -4808, 6549, 12128, 7438, 3971, 1787, -1960, -620, 101, -2310, 232, 277, 175, 87, 68, 83, 267, 179
1125163509, -4808, 6549, 12128, 7438, 3971, 1787, -1960, -620, 101, -2310, 232, 277, 175, 87, 68, 83, 267, 179
1125164421, -4619, 6188, 12293, 7594, 3635, 2117, -1827, -57, 202, -2622, 232, 277, 175, 87, 68, 83, 267, 179
1125185268, -4619, 6188, 12293, 7594, 3635, 2117, -1827, -57, 202, -2622, 234, 251, 174, 86, 74, 94, 311, 220
1125186058, -4619, 6188, 12293, 7594, 3635, 2117, -1827, -57, 202, -2622, 234, 251, 174, 86, 74, 94, 311, 220
1125186955, -4399, 5741, 12518, 7707, 3243, 2399, -1879, 344, 122, -3098, 234, 251, 174, 86, 74, 94, 311, 220
1125200222, -4399, 5741, 12518, 7707, 3243, 2399, -1879, 344, 122, -3098, 173, 178, 138, 79, 83, 117, 369, 297
1125201029, -4399, 5741, 12518, 7707, 3243, 2399, -1879, 344, 122, -3098, 173, 178, 138, 79, 83, 117, 369, 297
1125201954, -4121, 5229, 12774, 7804, 2948, 2587, -2011, 474, -12, -3555, 173, 178, 138, 79, 83, 117, 369, 297
1125222717, -4121, 5229, 12774, 7804, 2948, 2587, -2011, 474, -12, -3555, 134, 146, 122, 61, 80, 133, 386, 318
1125223507, -4121, 5229, 12774, 7804, 2948, 2587, -2011, 474, -12, -3555, 134, 146, 122, 61, 80, 133, 386, 318
1125224446, -3786, 4683, 13033, 7893, 2652, 2633, -2102, 448, -180, -3866, 134, 146, 122, 61, 80, 133, 386, 318
1125245627, -3786, 4683, 13033, 7893, 2652, 2633, -2102, 448, -180, -3866, 113, 161, 112, 60, 87, 147, 423, 340
1125246424, -3786, 4683, 13033, 7893, 2652, 2633, -2102, 448, -180, -3866, 113, 161, 112, 60, 87, 147, 423, 340
1125251931, -3422, 4108, 13269, 7985, 2423, 2648, -2214, 340, -200, -4057, 113, 161, 112, 60, 87, 147, 423, 340
1125260180, -3422, 4108, 13269, 7985, 2423, 2648, -2214, 340, -200, -4057, 106, 154, 104, 60, 153, 196, 464, 343
1125260979, -3422, 4108, 13269, 7985, 2423, 2648, -2214, 340, -200, -4057, 106, 154, 104, 60, 153, 196, 464, 343
1125261907, -3038, 3504, 13464, 8101, 2161, 2659, -2381, 93, -114, -4232, 106, 154, 104, 60, 153, 196, 464, 343
1125282718, -3038, 3504, 13464, 8101, 2161, 2659, -2381, 93, -114, -4232, 85, 152, 89, 64, 174, 196, 467, 326
1125283501, -3038, 3504, 13464, 8101, 2161, 2659, -2381, 93, -114, -4232, 85, 152, 89, 64, 174, 196, 467, 326
1125284420, -2654, 2892, 13618, 8220, 1901, 2644, -2384, -34, -57, -4228, 85, 152, 89, 64, 174, 196, 467, 326
1125305185, -2654, 2892, 13618, 8220, 1901, 2644, -2384, -34, -57, -4228, 75, 137, 86, 83, 237, 246, 428, 253
1125305963, -2654, 2892, 13618, 8220, 1901, 2644, -2384, -34, -57, -4228, 75, 137, 86, 83, 237, 246, 428, 253
1125306893, -2281, 2287, 13747, 8307, 1731, 2544, -2298, 39, -54, -4132, 75, 137, 86, 83, 237, 246, 428, 253
