Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
295141817, -1748, -13834, -8518, -1213, 178, 615, -2747, 192, -46, 73, 0, 0, 0, 0, 0, 0, 0, 0
295142639, -1710, -13845, -8510, -1198, 197, 618, -2754, 169, -52, 50, 0, 0, 0, 0, 0, 0, 0, 0
295155685, -1681, -13853, -8505, -1186, 186, 627, -2767, 132, -56, 34, 0, 0, 0, 0, 0, 0, 0, 0
295178219, -1654, -13860, -8500, -1171, 180, 619, -2765, 131, -68, 25, 0, 0, 0, 0, 0, 0, 0, 0
295193199, -1629, -13866, -8496, -1157, 190, 631, -2783, 127, -77, 19, 0, 0, 0, 0, 0, 0, 0, 0
295208786, -1629, -13866, -8496, -1157, 190, 631, -2783, 127, -77, 19, 28, 176, 86, 91, 78, 27, 24, 31
295209637, -1629, -13866, -8496, -1157, 190, 631, -2783, 127, -77, 19, 28, 176, 86, 91, 78, 27, 24, 31
295215777, -1611, -13873, -8492, -1144, 187, 632, -2788, 99, -92, 20, 28, 176, 86, 91, 78, 27, 24, 31
295231322, -1611, -13873, -8492, -1144, 187, 632, -2788, 99, -92, 20, 28, 178, 87, 99, 80, 26, 24, 29
295232128, -1611, -13873, -8492, -1144, 187, 632, -2788, 99, -92, 20, 28, 178, 87, 99, 80, 26, 24, 29
295238275, -1597, -13878, -8487, -1132, 186, 629, -2790, 73, -102, 20, 28, 178, 87, 99, 80, 26, 24, 29
295261983, -1597, -13878, -8487, -1132, 186, 629, -2790, 73, -102, 20, 28, 179, 93, 126, 97, 28, 25, 29
295262828, -1597, -13878, -8487, -1132, 186, 629, -2790, 73, -102, 20, 28, 179, 93, 126, 97, 28, 25, 29
295263746, -1587, -13884, -8481, -1121, 187, 637, -2783, 60, -104, 19, 28, 179, 93, 126, 97, 28, 25, 29
295270881, -1587, -13884, -8481, -1121, 187, 637, -2783, 60, -104, 19, 30, 150, 98, 130, 101, 27, 22, 28
295271661, -1587, -13884, -8481, -1121, 187, 637, -2783, 60, -104, 19, 30, 150, 98, 130, 101, 27, 22, 28
295272505, -1587, -13884, -8481, -1121, 187, 637, -2783, 60, -104, 19, 30, 150, 98, 130, 101, 27, 22, 28
295273307, -1587, -13884, -8481, -1121, 187, 637, -2783, 60, -104, 19, 30, 150, 98, 130, 101, 27, 22, 28
295277674, -1587, -13884, -8481, -1121, 187, 637, -2783, 60, -104, 19, 30, 150, 98, 130, 101, 27, 22, 28
295278479, -1587, -13884, -8481, -1121, 187, 637, -2783, 60, -104, 19, 30, 150, 98, 130, 101, 27, 22, 28
295279309, -1587, -13884, -8481, -1121, 187, 637, -2783, 60, -104, 19, 30, 150, 98, 130, 101, 27, 22, 28
295280221, -1583, -13888, -8476, -1111, 175, 640, -2799, 31, -111, 17, 30, 150, 98, 130, 101, 27, 22, 28
295291301, -1583, -13888, -8476, -1111, 175, 640, -2799, 31, -111, 17, 28, 212, 111, 121, 89, 25, 24, 27
295292116, -1583, -13888, -8476, -1111, 175, 640, -2799, 31, -111, 17, 28, 212, 111, 121, 89, 25, 24, 27
295298285, -1582, -13893, -8468, -1104, 174, 645, -2776, 11, -111, 30, 28, 212, 111, 121, 89, 25, 24, 27
295314504, -1582, -13893, -8468, -1104, 174, 645, -2776, 11, -111, 30, 29, 221, 120, 126, 96, 23, 24, 26
295315297, -1582, -13893, -8468, -1104, 174, 645, -2776, 11, -111, 30, 29, 221, 120, 126, 96, 23, 24, 26
295316249, -1584, -13898, -8460, -1099, 182, 644, -2791, -7, -111, 31, 29, 221, 120, 126, 96, 23, 24, 26
295328743, -1584, -13898, -8460, -1099, 182, 644, -2791, -7, -111, 31, 30, 230, 125, 139, 110, 31, 23, 27
295329570, -1584, -13898, -8460, -1099, 182, 644, -2791, -7, -111, 31, 30, 230, 125, 139, 110, 31, 23, 27
295343223, -1586, -13903, -8452, -1100, 203, 626, -2783, -34, -97, 33, 30, 230, 125, 139, 110, 31, 23, 27
