Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
124994450, 5484, -1171, -13617, -7183, 2168, 2351, -1336, -12, 1, -5, 0, 0, 0, 0, 0, 0, 0, 0
124995262, 5488, -1173, -13614, -7185, 2175, 2334, -1342, -23, 7, -2, 0, 0, 0, 0, 0, 0, 0, 0
125001263, 5492, -1177, -13609, -7189, 2181, 2322, -1326, -33, 4, -4, 0, 0, 0, 0, 0, 0, 0, 0
125016296, 5493, -1178, -13609, -7189, 2184, 2324, -1354, -7, -1, -7, 0, 0, 0, 0, 0, 0, 0, 0
125038790, 5494, -1178, -13609, -7188, 2164, 2331, -1342, -12, -1, -3, 0, 0, 0, 0, 0, 0, 0, 0
125054390, 5494, -1178, -13609, -7188, 2164, 2331, -1342, -12, -1, -3, 28, 58, 36, 32, 58, 35, 45, 44
125055171, 5494, -1178, -13609, -7188, 2164, 2331, -1342, -12, -1, -3, 28, 58, 36, 32, 58, 35, 45, 44
125068825, 5495, -1182, -13608, -7189, 2175, 2326, -1351, -19, -9, -2, 28, 58, 36, 32, 58, 35, 45, 44
125077597, 5495, -1182, -13608, -7189, 2175, 2326, -1351, -19, -9, -2, 31, 58, 36, 31, 65, 35, 45, 46
125078413, 5495, -1182, -13608, -7189, 2175, 2326, -1351, -19, -9, -2, 31, 58, 36, 31, 65, 35, 45, 46
125079325, 5495, -1182, -13608, -7189, 2169, 2327, -1333, -13, -11, 0, 31, 58, 36, 31, 65, 35, 45, 46
125100131, 5495, -1182, -13608, -7189, 2169, 2327, -1333, -13, -11, 0, 29, 51, 37, 30, 70, 36, 48, 45
125100860, 5495, -1182, -13608, -7189, 2169, 2327, -1333, -13, -11, 0, 29, 51, 37, 30, 70, 36, 48, 45
125101817, 5496, -1183, -13608, -7189, 2162, 2327, -1344, -15, -11, 4, 29, 51, 37, 30, 70, 36, 48, 45
125114384, 5496, -1183, -13608, -7189, 2162, 2327, -1344, -15, -11, 4, 30, 53, 34, 29, 64, 40, 49, 41
125115180, 5496, -1183, -13608, -7189, 2162, 2327, -1344, -15, -11, 4, 30, 53, 34, 29, 64, 40, 49, 41
125121356, 5497, -1187, -13607, -7189, 2177, 2320, -1338, -14, -17, 2, 30, 53, 34, 29, 64, 40, 49, 41
125137544, 5497, -1187, -13607, -7189, 2177, 2320, -1338, -14, -17, 2, 27, 50, 34, 30, 66, 39, 45, 43
125138348, 5497, -1187, -13607, -7189, 2177, 2320, -1338, -14, -17, 2, 27, 50, 34, 30, 66, 39, 45, 43
125139262, 5498, -1188, -13607, -7188, 2174, 2325, -1325, -11, -13, -4, 27, 50, 34, 30, 66, 39, 45, 43
125160117, 5498, -1188, -13607, -7188, 2174, 2325, -1325, -11, -13, -4, 27, 42, 35, 35, 62, 39, 45, 50
125160856, 5498, -1188, -13607, -7188, 2174, 2325, -1325, -11, -13, -4, 27, 42, 35, 35, 62, 39, 45, 50
125161792, 5498, -1192, -13604, -7192, 2166, 2327, -1316, -26, -15, -1, 27, 42, 35, 35, 62, 39, 45, 50
125174403, 5498, -1192, -13604, -7192, 2166, 2327, -1316, -26, -15, -1, 24, 39, 34, 63, 57, 39, 43, 53
125175204, 5498, -1192, -13604, -7192, 2166, 2327, -1316, -26, -15, -1, 24, 39, 34, 63, 57, 39, 43, 53
125181415, 5496, -1200, -13603, -7194, 2182, 2298, -1316, -25, -48, -1, 24, 39, 34, 63, 57, 39, 43, 53
125197541, 5496, -1200, -13603, -7194, 2182, 2298, -1316, -25, -48, -1, 25, 35, 31, 118, 57, 41, 42, 54
125198411, 5496, -1200, -13603, -7194, 2182, 2298, -1316, -25, -48, -1, 25, 35, 31, 118, 57, 41, 42, 54
125199340, 5490, -1187, -13629, -7153, 2274, 2396, -1496, 236, -45, -44, 25, 35, 31, 118, 57, 41, 42, 54
125220113, 5490, -1187, -13629, -7153, 2274, 2396, -1496, 236, -45, -44, 28, 55, 36, 133, 63, 38, 47, 53
125220883, 5490, -1187, -13629, -7153, 2274, 2396, -1496, 236, -45, -44, 28, 55, 36, 133, 63, 38, 47, 53
125221806, 5463, -1165, -13684, -7072, 2375, 2298, -1776, 390, -133, -137, 28, 55, 36, 133, 63, 38, 47, 53
125234369, 5463, -1165, -13684, -7072, 2375, 2298, -1776, 390, -133, -137, 418, 189, 38, 138, 149, 36, 191, 326
125235150, 5463, -1165, -13684, -7072, 2375, 2298, -1776, 390, -133, -137, 418, 189, 38, 138, 149, 36, 191, 326
125241352, 5506, -1178, -13703, -6999, 2800, 2312, -1690, 277, 55, 53, 418, 189, 38, 138, 149, 36, 191, 326
125256834, 5506, -1178, -13703, -6999, 2800, 2312, -1690, 277, 55, 53, 711, 397, 62, 147, 363, 50, 446, 662
125257640, 5506, -1178, -13703, -6999, 2800, 2312, -1690, 277, 55, 53, 711, 397, 62, 147, 363, 50, 446, 662
125263866, 5634, -1230, -13653, -6985, 2844, 2840, -840, 233, 223, 558, 711, 397, 62, 147, 363, 50, 446, 662
125281207, 5634, -1230, -13653, -6985, 2844, 2840, -840, 233, 223, 558, 964, 615, 109, 145, 387, 51, 624, 756
125281214, 5634, -1230, -13653, -6985, 2844, 2840, -840, 233, 223, 558, 964, 615, 109, 145, 387, 51, 624, 756
125282832, 5780, -1156, -13507, -7161, 2903, 3216, -401, -449, 751, -208, 964, 615, 109, 145, 387, 51, 624, 756
125303462, 5780, -1156, -13507, -7161, 2903, 3216, -401, -449, 751, -208, 1044, 757, 116, 118, 458, 64, 685, 949
125303484, 5780, -1156, -13507, -7161, 2903, 3216, -401, -449, 751, -208, 1044, 757, 116, 118, 458, 64, 685, 949
125304309, 6207, -1105, -13178, -7420, 3604, 4027, 21, -1730, 2850, 424, 1044, 757, 116, 118, 458, 64, 685, 949
125316859, 6207, -1105, -13178, -7420, 3604, 4027, 21, -1730, 2850, 424, 1188, 876, 119, 105, 512, 74, 724, 1028
125317640, 6207, -1105, -13178, -7420, 3604, 4027, 21, -1730, 2850, 424, 1188, 876, 119, 105, 512, 74, 724, 1028
125324291, 7138, -1067, -12568, -7642, 2974, 3221, -2203, -2237, 5821, 2010, 1188, 876, 119, 105, 512, 74, 724, 1028
125340126, 7138, -1067, -12568, -7642, 2974, 3221, -2203, -2237, 5821, 2010, 1139, 935, 120, 125, 521, 79, 715, 998
125340892, 7138, -1067, -12568, -7642, 2974, 3221, -2203, -2237, 5821, 2010, 1139, 935, 120, 125, 521, 79, 715, 998
125341780, 8102, -1014, -11779, -7939, 2445, 3349, -3642, -2864, 6325, 1859, 1139, 935, 120, 125, 521, 79, 715, 998
125354388, 8102, -1014, -11779, -7939, 2445, 3349, -3642, -2864, 6325, 1859, 1035, 936, 114, 221, 429, 74, 607, 929
125355204, 8102, -1014, -11779, -7939, 2445, 3349, -3642, -2864, 6325, 1859, 1035, 936, 114, 221, 429, 74, 607, 929
125361353, 8696, -1072, -11003, -8403, 1754, 1598, -3087, -4215, 4895, 850, 1035, 936, 114, 221, 429, 74, 607, 929
125376919, 8696, -1072, -11003, -8403, 1754, 1598, -3087, -4215, 4895, 850, 818, 812, 73, 241, 479, 77, 427, 867
125377658, 8696, -1072, -11003, -8403, 1754, 1598, -3087, -4215, 4895, 850, 818, 812, 73, 241, 479, 77, 427, 867
125383860, 9124, -1287, -10214, -8900, 658, 220, -1334, -4733, 3681, 818, 818, 812, 73, 241, 479, 77, 427, 867
125400019, 9124, -1287, -10214, -8900, 658, 220, -1334, -4733, 3681, 818, 742, 756, 67, 251, 486, 95, 358, 665
125400839, 9124, -1287, -10214, -8900, 658, 220, -1334, -4733, 3681, 818, 742, 756, 67, 251, 486, 95, 358, 665
125401795, 9476, -1273, -9693, -9114, -478, -554, -739, -2174, 3045, 560, 742, 756, 67, 251, 486, 95, 358, 665
125414378, 9476, -1273, -9693, -9114, -478, -554, -739, -2174, 3045, 560, 761, 1014, 74, 253, 656, 148, 385, 579
125415162, 9476, -1273, -9693, -9114, -478, -554, -739, -2174, 3045, 560, 761, 1014, 74, 253, 656, 148, 385, 579
125421331, 9638, -978, -9648, -9028, 461, 419, -487, 1113, 1634, -164, 761, 1014, 74, 253, 656, 148, 385, 579
125436885, 9638, -978, -9648, -9028, 461, 419, -487, 1113, 1634, -164, 754, 1028, 77, 242, 675, 148, 401, 562
125437644, 9638, -978, -9648, -9028, 461, 419, -487, 1113, 1634, -164, 754, 1028, 77, 242, 675, 148, 401, 562
