Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
463504816, 8934, 2558, -13493, -99, 4045, 804, -1815, -94, 176, -51, 0, 0, 0, 0, 0, 0, 0, 0
463505653, 8966, 2556, -13472, -118, 4015, 814, -1780, -121, 191, -62, 0, 0, 0, 0, 0, 0, 0, 0
463511618, 8999, 2551, -13451, -134, 4021, 785, -1758, -130, 195, -66, 0, 0, 0, 0, 0, 0, 0, 0
463534100, 9034, 2545, -13429, -152, 4029, 774, -1760, -141, 215, -77, 0, 0, 0, 0, 0, 0, 0, 0
463556691, 9076, 2540, -13401, -158, 4071, 765, -1748, -105, 274, -59, 0, 0, 0, 0, 0, 0, 0, 0
463572943, 9076, 2540, -13401, -158, 4071, 765, -1748, -105, 274, -59, 50, 65, 173, 144, 53, 48, 35, 66
463573715, 9076, 2540, -13401, -158, 4071, 765, -1748, -105, 274, -59, 50, 65, 173, 144, 53, 48, 35, 66
463574707, 9132, 2539, -13363, -160, 4175, 761, -1789, -87, 398, -87, 50, 65, 173, 144, 53, 48, 35, 66
463587240, 9132, 2539, -13363, -160, 4175, 761, -1789, -87, 398, -87, 54, 78, 194, 156, 106, 76, 40, 51
463588056, 9132, 2539, -13363, -160, 4175, 761, -1789, -87, 398, -87, 54, 78, 194, 156, 106, 76, 40, 51
463594231, 9215, 2547, -13305, -176, 4299, 781, -1981, -178, 674, -199, 54, 78, 194, 156, 106, 76, 40, 51
463609728, 9215, 2547, -13305, -176, 4299, 781, -1981, -178, 674, -199, 56, 209, 512, 377, 194, 132, 57, 49
463610543, 9215, 2547, -13305, -176, 4299, 781, -1981, -178, 674, -199, 56, 209, 512, 377, 194, 132, 57, 49
463616716, 9349, 2550, -13209, -202, 4451, 787, -1977, -302, 1038, -259, 56, 209, 512, 377, 194, 132, 57, 49
463632877, 9349, 2550, -13209, -202, 4451, 787, -1977, -302, 1038, -259, 69, 220, 624, 497, 234, 217, 86, 57
463633691, 9349, 2550, -13209, -202, 4451, 787, -1977, -302, 1038, -259, 69, 220, 624, 497, 234, 217, 86, 57
463634687, 9586, 2545, -13039, -253, 4598, 657, -1855, -488, 1601, -318, 69, 220, 624, 497, 234, 217, 86, 57
