Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
76914827, -7144, -11742, 4231, -7852, 1963, 1823, -1139, -1640, -4, 375, 0, 0, 0, 0, 0, 0, 0, 0
76915618, -7330, -11618, 4399, -7772, 1988, 1874, -1100, -1632, -33, 286, 0, 0, 0, 0, 0, 0, 0, 0
76921627, -7528, -11489, 4560, -7681, 2011, 1852, -1024, -1692, -32, 199, 0, 0, 0, 0, 0, 0, 0, 0
76944192, -7741, -11350, 4717, -7581, 2010, 1779, -931, -1778, -14, 130, 0, 0, 0, 0, 0, 0, 0, 0
76966652, -7960, -11204, 4867, -7474, 2020, 1735, -847, -1816, -5, 70, 0, 0, 0, 0, 0, 0, 0, 0
76982949, -7960, -11204, 4867, -7474, 2020, 1735, -847, -1816, -5, 70, 57, 50, 72, 391, 283, 183, 112, 118
76983793, -7960, -11204, 4867, -7474, 2020, 1735, -847, -1816, -5, 70, 57, 50, 72, 391, 283, 183, 112, 118
76984677, -8164, -11070, 4993, -7371, 2022, 1768, -826, -1662, 19, 11, 57, 50, 72, 391, 283, 183, 112, 118
76997275, -8164, -11070, 4993, -7371, 2022, 1768, -826, -1662, 19, 11, 60, 51, 74, 387, 290, 193, 121, 103
76998074, -8164, -11070, 4993, -7371, 2022, 1768, -826, -1662, 19, 11, 60, 51, 74, 387, 290, 193, 121, 103
77004238, -8371, -10932, 5109, -7265, 2017, 1785, -750, -1659, 46, -33, 60, 51, 74, 387, 290, 193, 121, 103
77019739, -8371, -10932, 5109, -7265, 2017, 1785, -750, -1659, 46, -33, 55, 51, 68, 374, 323, 198, 121, 108
77020589, -8371, -10932, 5109, -7265, 2017, 1785, -750, -1659, 46, -33, 55, 51, 68, 374, 323, 198, 121, 108
77026736, -8570, -10793, 5219, -7162, 2012, 1636, -686, -1619, 61, -50, 55, 51, 68, 374, 323, 198, 121, 108
77042977, -8570, -10793, 5219, -7162, 2012, 1636, -686, -1619, 61, -50, 58, 53, 71, 379, 326, 149, 118, 172
77043777, -8570, -10793, 5219, -7162, 2012, 1636, -686, -1619, 61, -50, 58, 53, 71, 379, 326, 149, 118, 172
77044736, -8755, -10694, 5298, -7028, 2029, 1601, -592, -1486, 80, -49, 58, 53, 71, 379, 326, 149, 118, 172
77057242, -8755, -10694, 5298, -7028, 2029, 1601, -592, -1486, 80, -49, 60, 55, 72, 344, 326, 137, 120, 173
77058049, -8755, -10694, 5298, -7028, 2029, 1601, -592, -1486, 80, -49, 60, 55, 72, 344, 326, 137, 120, 173
77064253, -8920, -10602, 5361, -6910, 2064, 1603, -496, -1315, 93, -41, 60, 55, 72, 344, 326, 137, 120, 173
77079800, -8920, -10602, 5361, -6910, 2064, 1603, -496, -1315, 93, -41, 62, 49, 68, 312, 310, 118, 131, 221
77080604, -8920, -10602, 5361, -6910, 2064, 1603, -496, -1315, 93, -41, 62, 49, 68, 312, 310, 118, 131, 221
77086792, -9070, -10530, 5407, -6788, 2056, 1681, -519, -1179, 74, -93, 62, 49, 68, 312, 310, 118, 131, 221
77102970, -9070, -10530, 5407, -6788, 2056, 1681, -519, -1179, 74, -93, 63, 54, 75, 361, 302, 119, 133, 243
77103795, -9070, -10530, 5407, -6788, 2056, 1681, -519, -1179, 74, -93, 63, 54, 75, 361, 302, 119, 133, 243
77104678, -9224, -10456, 5449, -6661, 2032, 1644, -441, -1193, 51, -160, 63, 54, 75, 361, 302, 119, 133, 243
77117276, -9224, -10456, 5449, -6661, 2032, 1644, -441, -1193, 51, -160, 90, 55, 77, 364, 304, 124, 168, 303
77118094, -9224, -10456, 5449, -6661, 2032, 1644, -441, -1193, 51, -160, 90, 55, 77, 364, 304, 124, 168, 303
77124226, -9379, -10367, 5500, -6539, 2067, 1556, -376, -1248, 51, -145, 90, 55, 77, 364, 304, 124, 168, 303
77139772, -9379, -10367, 5500, -6539, 2067, 1556, -376, -1248, 51, -145, 92, 55, 82, 422, 321, 127, 183, 358
77140591, -9379, -10367, 5500, -6539, 2067, 1556, -376, -1248, 51, -145, 92, 55, 82, 422, 321, 127, 183, 358
77146730, -9525, -10270, 5557, -6432, 2061, 1470, -294, -1218, 56, -96, 92, 55, 82, 422, 321, 127, 183, 358
77162949, -9525, -10270, 5557, -6432, 2061, 1470, -294, -1218, 56, -96, 93, 56, 79, 417, 316, 139, 201, 415
77163801, -9525, -10270, 5557, -6432, 2061, 1470, -294, -1218, 56, -96, 93, 56, 79, 417, 316, 139, 201, 415
77164707, -9650, -10196, 5602, -6324, 2085, 1573, -337, -1063, 36, -101, 93, 56, 79, 417, 316, 139, 201, 415
77177205, -9650, -10196, 5602, -6324, 2085, 1573, -337, -1063, 36, -101, 91, 55, 83, 407, 344, 148, 226, 420
77178050, -9650, -10196, 5602, -6324, 2085, 1573, -337, -1063, 36, -101, 91, 55, 83, 407, 344, 148, 226, 420
77184202, -9766, -10130, 5638, -6218, 2025, 1485, -327, -986, 32, -159, 91, 55, 83, 407, 344, 148, 226, 420
77199804, -9766, -10130, 5638, -6218, 2025, 1485, -327, -986, 32, -159, 108, 52, 90, 356, 327, 143, 248, 454
77200618, -9766, -10130, 5638, -6218, 2025, 1485, -327, -986, 32, -159, 108, 52, 90, 356, 327, 143, 248, 454
77206763, -9863, -10074, 5677, -6120, 2030, 1450, -330, -887, 5, -134, 108, 52, 90, 356, 327, 143, 248, 454
77222929, -9863, -10074, 5677, -6120, 2030, 1450, -330, -887, 5, -134, 97, 59, 95, 374, 323, 135, 240, 424
77223737, -9863, -10074, 5677, -6120, 2030, 1450, -330, -887, 5, -134, 97, 59, 95, 374, 323, 135, 240, 424
77224653, -9950, -10013, 5721, -6037, 2004, 1416, -280, -839, 8, -43, 97, 59, 95, 374, 323, 135, 240, 424
77237266, -9950, -10013, 5721, -6037, 2004, 1416, -280, -839, 8, -43, 101, 74, 107, 293, 300, 148, 240, 372
77238074, -9950, -10013, 5721, -6037, 2004, 1416, -280, -839, 8, -43, 101, 74, 107, 293, 300, 148, 240, 372
77244224, -10001, -9970, 5775, -5973, 1992, 1304, -360, -661, -32, 38, 101, 74, 107, 293, 300, 148, 240, 372
77259761, -10001, -9970, 5775, -5973, 1992, 1304, -360, -661, -32, 38, 102, 75, 109, 284, 282, 156, 237, 314
77260570, -10001, -9970, 5775, -5973, 1992, 1304, -360, -661, -32, 38, 102, 75, 109, 284, 282, 156, 237, 314
77266737, -10005, -9948, 5839, -5940, 1999, 1009, -304, -372, -119, 94, 102, 75, 109, 284, 282, 156, 237, 314
77282950, -10005, -9948, 5839, -5940, 1999, 1009, -304, -372, -119, 94, 110, 78, 109, 271, 246, 159, 299, 355
77283803, -10005, -9948, 5839, -5940, 1999, 1009, -304, -372, -119, 94, 110, 78, 109, 271, 246, 159, 299, 355
77284707, -9908, -9993, 5898, -5971, 2003, 795, -247, 362, -265, 277, 110, 78, 109, 271, 246, 159, 299, 355
77297227, -9908, -9993, 5898, -5971, 2003, 795, -247, 362, -265, 277, 109, 89, 110, 304, 283, 180, 301, 323
77298078, -9908, -9993, 5898, -5971, 2003, 795, -247, 362, -265, 277, 109, 89, 110, 304, 283, 180, 301, 323
77304216, -9663, -10146, 5927, -6084, 2060, 857, -486, 1409, -314, 566, 109, 89, 110, 304, 283, 180, 301, 323
77319726, -9663, -10146, 5927, -6084, 2060, 857, -486, 1409, -314, 566, 130, 138, 143, 389, 286, 205, 297, 315
77320590, -9663, -10146, 5927, -6084, 2060, 857, -486, 1409, -314, 566, 130, 138, 143, 389, 286, 205, 297, 315
