Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
611151309, -4392, 11338, 10962, -629, 763, -1428, -3755, 49, 38, -17, 0, 0, 0, 0, 0, 0, 0, 0
611152133, -4311, 11349, 10982, -655, 503, -1240, -3901, 76, -21, -68, 0, 0, 0, 0, 0, 0, 0, 0
611152950, -4336, 11323, 11003, -595, 1803, -1111, -2877, 42, -86, -47, 0, 0, 0, 0, 0, 0, 0, 0
611164884, -4458, 11277, 11006, -485, 2700, -1456, -2193, -60, -14, -11, 0, 0, 0, 0, 0, 0, 0, 0
611179878, -4479, 11261, 11016, -432, 1746, -1294, -3039, -9, -5, -20, 0, 0, 0, 0, 0, 0, 0, 0
611202422, -4496, 11250, 11022, -385, 1655, -1331, -3031, -37, 20, -12, 0, 0, 0, 0, 0, 0, 0, 0
611217983, -4496, 11250, 11022, -385, 1655, -1331, -3031, -37, 20, -12, 151, 49, 119, 711, 509, 360, 65, 59
611218797, -4496, 11250, 11022, -385, 1655, -1331, -3031, -37, 20, -12, 151, 49, 119, 711, 509, 360, 65, 59
611224941, -4516, 11241, 11025, -348, 1626, -1367, -3026, -9, 16, 4, 151, 49, 119, 711, 509, 360, 65, 59
611233032, -4516, 11241, 11025, -348, 1626, -1367, -3026, -9, 16, 4, 143, 51, 117, 708, 540, 371, 69, 66
611233794, -4516, 11241, 11025, -348, 1626, -1367, -3026, -9, 16, 4, 143, 51, 117, 708, 540, 371, 69, 66
611247380, -4538, 11231, 11027, -313, 1643, -1364, -3006, 6, 19, 6, 143, 51, 117, 708, 540, 371, 69, 66
611255482, -4538, 11231, 11027, -313, 1643, -1364, -3006, 6, 19, 6, 142, 69, 141, 739, 540, 366, 92, 63
611256367, -4538, 11231, 11027, -313, 1643, -1364, -3006, 6, 19, 6, 142, 69, 141, 739, 540, 366, 92, 63
611262477, -4612, 11211, 11018, -232, 2262, -1401, -2671, -42, 71, 56, 142, 69, 141, 739, 540, 366, 92, 63
611277996, -4612, 11211, 11018, -232, 2262, -1401, -2671, -42, 71, 56, 163, 80, 163, 871, 569, 356, 94, 70
611278779, -4612, 11211, 11018, -232, 2262, -1401, -2671, -42, 71, 56, 163, 80, 163, 871, 569, 356, 94, 70
611285028, -4539, 11216, 11042, -283, 477, -1264, -3572, 104, -34, -126, 163, 80, 163, 871, 569, 356, 94, 70
611292966, -4539, 11216, 11042, -283, 477, -1264, -3572, 104, -34, -126, 131, 79, 162, 913, 558, 351, 92, 64
611293814, -4539, 11216, 11042, -283, 477, -1264, -3572, 104, -34, -126, 131, 79, 162, 913, 558, 351, 92, 64
611307368, -4620, 11167, 11060, -216, 2214, -1238, -2473, 107, -11, -122, 131, 79, 162, 913, 558, 351, 92, 64
611315477, -4620, 11167, 11060, -216, 2214, -1238, -2473, 107, -11, -122, 134, 78, 150, 823, 532, 329, 90, 72
611316367, -4620, 11167, 11060, -216, 2214, -1238, -2473, 107, -11, -122, 134, 78, 150, 823, 532, 329, 90, 72
611322512, -4666, 11147, 11062, -201, 1607, -1647, -3065, 73, 102, -82, 134, 78, 150, 823, 532, 329, 90, 72
611338016, -4666, 11147, 11062, -201, 1607, -1647, -3065, 73, 102, -82, 183, 81, 152, 908, 500, 316, 101, 80
611338853, -4666, 11147, 11062, -201, 1607, -1647, -3065, 73, 102, -82, 183, 81, 152, 908, 500, 316, 101, 80
611344998, -4710, 11109, 11082, -152, 1890, -1157, -2777, 126, 22, -119, 183, 81, 152, 908, 500, 316, 101, 80
611352989, -4710, 11109, 11082, -152, 1890, -1157, -2777, 126, 22, -119, 204, 73, 218, 890, 472, 306, 79, 86
611353771, -4710, 11109, 11082, -152, 1890, -1157, -2777, 126, 22, -119, 204, 73, 218, 890, 472, 306, 79, 86
611367390, -4652, 11121, 11093, -214, 596, -1572, -3963, 149, 65, -80, 204, 73, 218, 890, 472, 306, 79, 86
611375593, -4652, 11121, 11093, -214, 596, -1572, -3963, 149, 65, -80, 257, 652, 371, 827, 468, 360, 121, 131
611376412, -4652, 11121, 11093, -214, 596, -1572, -3963, 149, 65, -80, 257, 652, 371, 827, 468, 360, 121, 131
611382483, -4773, 11060, 11104, -171, 2315, -1580, -2130, 142, -22, -166, 257, 652, 371, 827, 468, 360, 121, 131
611398012, -4773, 11060, 11104, -171, 2315, -1580, -2130, 142, -22, -166, 312, 776, 555, 903, 543, 374, 214, 172
611398816, -4773, 11060, 11104, -171, 2315, -1580, -2130, 142, -22, -166, 312, 776, 555, 903, 543, 374, 214, 172
611404968, -4834, 11009, 11128, -142, 1832, -1165, -2833, 311, 68, -167, 312, 776, 555, 903, 543, 374, 214, 172
611413021, -4834, 11009, 11128, -142, 1832, -1165, -2833, 311, 68, -167, 514, 926, 667, 994, 691, 447, 239, 236
611413852, -4834, 11009, 11128, -142, 1832, -1165, -2833, 311, 68, -167, 514, 926, 667, 994, 691, 447, 239, 236
611419992, -4870, 10974, 11147, -108, 1316, -1326, -2912, 117, 268, -256, 514, 926, 667, 994, 691, 447, 239, 236
611435520, -4870, 10974, 11147, -108, 1316, -1326, -2912, 117, 268, -256, 657, 1136, 809, 950, 716, 475, 268, 258
611436398, -4870, 10974, 11147, -108, 1316, -1326, -2912, 117, 268, -256, 657, 1136, 809, 950, 716, 475, 268, 258
611442475, -4970, 10906, 11170, -28, 1687, -1388, -2851, 197, 526, -418, 657, 1136, 809, 950, 716, 475, 268, 258
611457999, -4970, 10906, 11170, -28, 1687, -1388, -2851, 197, 526, -418, 693, 1180, 949, 995, 772, 463, 271, 277
611458838, -4970, 10906, 11170, -28, 1687, -1388, -2851, 197, 526, -418, 693, 1180, 949, 995, 772, 463, 271, 277
611464984, -5101, 10812, 11203, 89, 2103, -1216, -3054, 344, 665, -504, 693, 1180, 949, 995, 772, 463, 271, 277
611473040, -5101, 10812, 11203, 89, 2103, -1216, -3054, 344, 665, -504, 693, 1091, 960, 1046, 785, 503, 277, 275
611473798, -5101, 10812, 11203, 89, 2103, -1216, -3054, 344, 665, -504, 693, 1091, 960, 1046, 785, 503, 277, 275
611479943, -5169, 10734, 11244, 193, 2233, -1329, -2861, 27, 290, -465, 693, 1091, 960, 1046, 785, 503, 277, 275
611495492, -5169, 10734, 11244, 193, 2233, -1329, -2861, 27, 290, -465, 708, 1165, 974, 1063, 895, 490, 238, 278
611496378, -5169, 10734, 11244, 193, 2233, -1329, -2861, 27, 290, -465, 708, 1165, 974, 1063, 895, 490, 238, 278
611502468, -5179, 10732, 11242, 197, 1469, -1304, -3074, 123, 175, -11, 708, 1165, 974, 1063, 895, 490, 238, 278
611517991, -5179, 10732, 11242, 197, 1469, -1304, -3074, 123, 175, -11, 626, 1140, 1053, 1080, 816, 463, 233, 243
611518791, -5179, 10732, 11242, 197, 1469, -1304, -3074, 123, 175, -11, 626, 1140, 1053, 1080, 816, 463, 233, 243
611524944, -5172, 10720, 11254, 277, 1912, -1146, -3097, -144, 176, -105, 626, 1140, 1053, 1080, 816, 463, 233, 243
611533018, -5172, 10720, 11254, 277, 1912, -1146, -3097, -144, 176, -105, 517, 1048, 993, 1115, 862, 471, 207, 240
611533837, -5172, 10720, 11254, 277, 1912, -1146, -3097, -144, 176, -105, 517, 1048, 993, 1115, 862, 471, 207, 240
611539997, -5162, 10734, 11244, 346, 1836, -1458, -3039, -329, 191, -11, 517, 1048, 993, 1115, 862, 471, 207, 240
611555491, -5162, 10734, 11244, 346, 1836, -1458, -3039, -329, 191, -11, 553, 1137, 925, 1163, 855, 512, 227, 247
611556407, -5162, 10734, 11244, 346, 1836, -1458, -3039, -329, 191, -11, 553, 1137, 925, 1163, 855, 512, 227, 247
611562464, -5166, 10739, 11237, 373, 1790, -1382, -3067, -64, 120, 19, 553, 1137, 925, 1163, 855, 512, 227, 247
611578007, -5166, 10739, 11237, 373, 1790, -1382, -3067, -64, 120, 19, 614, 1210, 942, 1160, 807, 482, 227, 255
611578791, -5166, 10739, 11237, 373, 1790, -1382, -3067, -64, 120, 19, 614, 1210, 942, 1160, 807, 482, 227, 255
611584968, -5146, 10758, 11226, 414, 1784, -1258, -3095, -178, 87, 91, 614, 1210, 942, 1160, 807, 482, 227, 255
611592995, -5146, 10758, 11226, 414, 1784, -1258, -3095, -178, 87, 91, 604, 1132, 945, 1142, 728, 488, 225, 233
611593820, -5146, 10758, 11226, 414, 1784, -1258, -3095, -178, 87, 91, 604, 1132, 945, 1142, 728, 488, 225, 233
611599971, -5109, 10794, 11207, 467, 1756, -1316, -3087, -353, 97, 132, 604, 1132, 945, 1142, 728, 488, 225, 233
611615489, -5109, 10794, 11207, 467, 1756, -1316, -3087, -353, 97, 132, 589, 1143, 834, 1185, 818, 584, 248, 227
611616388, -5109, 10794, 11207, 467, 1756, -1316, -3087, -353, 97, 132, 589, 1143, 834, 1185, 818, 584, 248, 227
611622471, -5065, 10837, 11182, 528, 1723, -1273, -3096, -418, 115, 165, 589, 1143, 834, 1185, 818, 584, 248, 227
611637969, -5065, 10837, 11182, 528, 1723, -1273, -3096, -418, 115, 165, 550, 1169, 808, 1188, 890, 577, 286, 207
611638831, -5065, 10837, 11182, 528, 1723, -1273, -3096, -418, 115, 165, 550, 1169, 808, 1188, 890, 577, 286, 207
611644944, -5004, 10899, 11146, 610, 1681, -1153, -3116, -555, 172, 251, 550, 1169, 808, 1188, 890, 577, 286, 207
611652989, -5004, 10899, 11146, 610, 1681, -1153, -3116, -555, 172, 251, 478, 1112, 787, 1118, 867, 598, 302, 172
611653792, -5004, 10899, 11146, 610, 1681, -1153, -3116, -555, 172, 251, 478, 1112, 787, 1118, 867, 598, 302, 172
611659984, -4928, 10981, 11092, 727, 1705, -1159, -3151, -806, 265, 323, 478, 1112, 787, 1118, 867, 598, 302, 172
611675480, -4928, 10981, 11092, 727, 1705, -1159, -3151, -806, 265, 323, 368, 1013, 743, 1106, 890, 598, 299, 142
611676391, -4928, 10981, 11092, 727, 1705, -1159, -3151, -806, 265, 323, 368, 1013, 743, 1106, 890, 598, 299, 142
611682434, -4856, 11071, 11025, 850, 1743, -1189, -3146, -866, 307, 378, 368, 1013, 743, 1106, 890, 598, 299, 142
611697980, -4856, 11071, 11025, 850, 1743, -1189, -3146, -866, 307, 378, 352, 1035, 628, 1085, 817, 587, 320, 142
611698781, -4856, 11071, 11025, 850, 1743, -1189, -3146, -866, 307, 378, 352, 1035, 628, 1085, 817, 587, 320, 142
611704941, -4780, 11167, 10951, 970, 1757, -1214, -3192, -910, 292, 409, 352, 1035, 628, 1085, 817, 587, 320, 142
611712382, -4780, 11167, 10951, 970, 1757, -1214, -3192, -910, 292, 409, 324, 1040, 638, 1031, 687, 572, 313, 138
611720555, -4780, 11167, 10951, 970, 1757, -1214, -3192, -910, 292, 409, 324, 1040, 638, 1031, 687, 572, 313, 138
611721468, -4693, 11275, 10868, 1079, 1738, -1179, -3248, -930, 242, 504, 324, 1040, 638, 1031, 687, 572, 313, 138
611735489, -4693, 11275, 10868, 1079, 1738, -1179, -3248, -930, 242, 504, 315, 1010, 670, 1091, 476, 607, 287, 135
611736270, -4693, 11275, 10868, 1079, 1738, -1179, -3248, -930, 242, 504, 315, 1010, 670, 1091, 476, 607, 287, 135
611742441, -4601, 11385, 10782, 1182, 1743, -1203, -3278, -967, 201, 510, 315, 1010, 670, 1091, 476, 607, 287, 135
611758042, -4601, 11385, 10782, 1182, 1743, -1203, -3278, -967, 201, 510, 309, 1069, 612, 1038, 542, 712, 318, 139
611758819, -4601, 11385, 10782, 1182, 1743, -1203, -3278, -967, 201, 510, 309, 1069, 612, 1038, 542, 712, 318, 139
