Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
420699769, 6429, 10826, -9099, 5207, 4005, 796, -2312, 42, -12, 13, 0, 0, 0, 0, 0, 0, 0, 0
420707263, 6425, 10830, -9097, 5204, 3981, 788, -2329, 17, -8, -14, 0, 0, 0, 0, 0, 0, 0, 0
420714710, 6425, 10831, -9097, 5202, 3992, 811, -2342, 3, -10, -8, 0, 0, 0, 0, 0, 0, 0, 0
420737309, 6424, 10834, -9099, 5194, 4026, 846, -2337, -7, -32, 10, 0, 0, 0, 0, 0, 0, 0, 0
420759725, 6417, 10839, -9104, 5184, 4034, 835, -2399, 7, -47, 17, 0, 0, 0, 0, 0, 0, 0, 0
420776104, 6417, 10839, -9104, 5184, 4034, 835, -2399, 7, -47, 17, 35, 29, 28, 26, 31, 36, 73, 99
420776894, 6417, 10839, -9104, 5184, 4034, 835, -2399, 7, -47, 17, 35, 29, 28, 26, 31, 36, 73, 99
420777842, 6425, 10868, -9106, 5112, 4027, 1021, -2622, -164, -171, -158, 35, 29, 28, 26, 31, 36, 73, 99
420790390, 6425, 10868, -9106, 5112, 4027, 1021, -2622, -164, -171, -158, 42, 32, 31, 26, 34, 41, 132, 130
420791191, 6425, 10868, -9106, 5112, 4027, 1021, -2622, -164, -171, -158, 42, 32, 31, 26, 34, 41, 132, 130
420797316, 6487, 10916, -9102, 4932, 3878, 1369, -2878, -602, -286, -441, 42, 32, 31, 26, 34, 41, 132, 130
420813574, 6487, 10916, -9102, 4932, 3878, 1369, -2878, -602, -286, -441, 74, 36, 32, 32, 44, 48, 144, 185
420814368, 6487, 10916, -9102, 4932, 3878, 1369, -2878, -602, -286, -441, 74, 36, 32, 32, 44, 48, 144, 185
420815291, 6536, 10960, -9137, 4699, 3690, 1348, -3010, -835, -530, -422, 74, 36, 32, 32, 44, 48, 144, 185
420836063, 6536, 10960, -9137, 4699, 3690, 1348, -3010, -835, -530, -422, 86, 44, 65, 36, 49, 50, 183, 230
420836838, 6536, 10960, -9137, 4699, 3690, 1348, -3010, -835, -530, -422, 86, 44, 65, 36, 49, 50, 183, 230
420837817, 6548, 11017, -9176, 4471, 3792, 1387, -3207, -691, -997, -560, 86, 44, 65, 36, 49, 50, 183, 230
420850363, 6548, 11017, -9176, 4471, 3792, 1387, -3207, -691, -997, -560, 92, 52, 79, 38, 58, 70, 243, 289
420851215, 6548, 11017, -9176, 4471, 3792, 1387, -3207, -691, -997, -560, 92, 52, 79, 38, 58, 70, 243, 289
420857340, 6540, 11093, -9216, 4202, 3771, 1526, -3583, -708, -1244, -681, 92, 52, 79, 38, 58, 70, 243, 289
420873569, 6540, 11093, -9216, 4202, 3771, 1526, -3583, -708, -1244, -681, 92, 56, 134, 46, 63, 73, 256, 310
420874395, 6540, 11093, -9216, 4202, 3771, 1526, -3583, -708, -1244, -681, 92, 56, 134, 46, 63, 73, 256, 310
420875315, 6497, 11225, -9236, 3861, 3612, 1738, -3534, -646, -1662, -1038, 92, 56, 134, 46, 63, 73, 256, 310
