Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
266400413, 8159, 3783, -11799, 6952, 4025, 782, -2260, 18, -1, -16, 0, 0, 0, 0, 0, 0, 0, 0
266401168, 8159, 3787, -11796, 6955, 4013, 778, -2249, 29, 5, -16, 0, 0, 0, 0, 0, 0, 0, 0
266422172, 8160, 3793, -11795, 6952, 4006, 828, -2296, 6, -13, -37, 0, 0, 0, 0, 0, 0, 0, 0
266437216, 8173, 3800, -11815, 6899, 3965, 953, -2309, -260, -91, -182, 0, 0, 0, 0, 0, 0, 0, 0
266459676, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 0, 0, 0, 0, 0, 0, 0, 0
266467792, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 57, 39, 29, 34, 65, 92, 137, 142
266468693, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 57, 39, 29, 34, 65, 92, 137, 142
266482186, 8235, 3765, -11960, 6587, 4047, 1039, -2450, -1098, -271, -394, 57, 39, 29, 34, 65, 92, 137, 142
266490340, 8235, 3765, -11960, 6587, 4047, 1039, -2450, -1098, -271, -394, 58, 39, 29, 34, 63, 92, 145, 140
266491138, 8235, 3765, -11960, 6587, 4047, 1039, -2450, -1098, -271, -394, 58, 39, 29, 34, 63, 92, 145, 140
266497302, 8283, 3742, -12062, 6350, 3943, 979, -2555, -1325, -344, -550, 58, 39, 29, 34, 63, 92, 145, 140
266505279, 8283, 3742, -12062, 6350, 3943, 979, -2555, -1325, -344, -550, 67, 45, 34, 32, 57, 80, 141, 134
266506131, 8283, 3742, -12062, 6350, 3943, 979, -2555, -1325, -344, -550, 67, 45, 34, 32, 57, 80, 141, 134
266519678, 8311, 3754, -12173, 6091, 3865, 917, -2693, -1308, -555, -700, 67, 45, 34, 32, 57, 80, 141, 134
266527768, 8311, 3754, -12173, 6091, 3865, 917, -2693, -1308, -555, -700, 88, 58, 33, 34, 58, 75, 108, 119
266528589, 8311, 3754, -12173, 6091, 3865, 917, -2693, -1308, -555, -700, 88, 58, 33, 34, 58, 75, 108, 119
266544891, 8327, 3843, -12278, 5794, 3866, 1018, -2912, -1224, -799, -1115, 88, 58, 33, 34, 58, 75, 108, 119
266545757, 8159, 3783, -11799, 6952, 4025, 782, -2260, 18, -1, -16, 88, 58, 33, 34, 58, 75, 108, 119
266546546, 8159, 3787, -11796, 6955, 4013, 778, -2249, 29, 5, -16, 88, 58, 33, 34, 58, 75, 108, 119
266547426, 8160, 3793, -11795, 6952, 4006, 828, -2296, 6, -13, -37, 88, 58, 33, 34, 58, 75, 108, 119
266552342, 8173, 3800, -11815, 6899, 3965, 953, -2309, -260, -91, -182, 88, 58, 33, 34, 58, 75, 108, 119
266553189, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 88, 58, 33, 34, 58, 75, 108, 119
266553987, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 57, 39, 29, 34, 65, 92, 137, 142
266554854, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 57, 39, 29, 34, 65, 92, 137, 142
266559876, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266560691, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266561532, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266562324, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266567239, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266568103, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266568910, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266569716, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266574820, 8196, 3793, -11872, 6776, 3977, 1056, -2316, -684, -208, -293, 58, 39, 29, 34, 63, 92, 145, 140
266575804, 8283, 3742, -12062, 6350, 3943, 979, -2555, -1325, -344, -550, 58, 39, 29, 34, 63, 92, 145, 140
