Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
326188494, 9164, 5813, -9526, 7740, 4010, 730, -2199, 23, -8, -9, 0, 0, 0, 0, 0, 0, 0, 0
326189337, 9164, 5813, -9526, 7740, 4022, 733, -2188, 11, -7, 3, 0, 0, 0, 0, 0, 0, 0, 0
326210270, 9164, 5813, -9526, 7740, 4021, 734, -2201, 5, -4, 8, 0, 0, 0, 0, 0, 0, 0, 0
326232797, 9164, 5813, -9526, 7740, 4028, 749, -2210, 6, -3, -5, 0, 0, 0, 0, 0, 0, 0, 0
326247758, 9164, 5813, -9526, 7740, 4051, 772, -2218, 7, -5, -7, 0, 0, 0, 0, 0, 0, 0, 0
326255915, 9164, 5813, -9526, 7740, 4051, 772, -2218, 7, -5, -7, 27, 28, 31, 43, 36, 65, 131, 29
326256710, 9164, 5813, -9526, 7740, 4051, 772, -2218, 7, -5, -7, 27, 28, 31, 43, 36, 65, 131, 29
326270274, 9164, 5813, -9526, 7740, 4057, 778, -2224, -3, -2, -9, 27, 28, 31, 43, 36, 65, 131, 29
326278408, 9164, 5813, -9526, 7740, 4057, 778, -2224, -3, -2, -9, 24, 29, 30, 38, 41, 67, 132, 29
326279200, 9164, 5813, -9526, 7740, 4057, 778, -2224, -3, -2, -9, 24, 29, 30, 38, 41, 67, 132, 29
326292742, 9165, 5814, -9528, 7736, 4018, 804, -2242, -17, -13, -15, 24, 29, 30, 38, 41, 67, 132, 29
326300903, 9165, 5814, -9528, 7736, 4018, 804, -2242, -17, -13, -15, 25, 31, 27, 34, 43, 56, 125, 31
326301685, 9165, 5814, -9528, 7736, 4018, 804, -2242, -17, -13, -15, 25, 31, 27, 34, 43, 56, 125, 31
326307914, 9173, 5814, -9551, 7698, 3929, 997, -2289, -199, -121, -93, 25, 31, 27, 34, 43, 56, 125, 31
326315876, 9173, 5814, -9551, 7698, 3929, 997, -2289, -199, -121, -93, 28, 33, 27, 33, 43, 56, 139, 46
326316717, 9173, 5814, -9551, 7698, 3929, 997, -2289, -199, -121, -93, 28, 33, 27, 33, 43, 56, 139, 46
326330240, 9215, 5776, -9615, 7596, 4048, 1014, -2486, -704, -169, -180, 28, 33, 27, 33, 43, 56, 139, 46
326338405, 9215, 5776, -9615, 7596, 4048, 1014, -2486, -704, -169, -180, 41, 48, 28, 35, 45, 73, 140, 63
326339164, 9215, 5776, -9615, 7596, 4048, 1014, -2486, -704, -169, -180, 41, 48, 28, 35, 45, 73, 140, 63
326352768, 9267, 5730, -9697, 7463, 4165, 875, -2531, -894, -233, -242, 41, 48, 28, 35, 45, 73, 140, 63
326360888, 9267, 5730, -9697, 7463, 4165, 875, -2531, -894, -233, -242, 95, 101, 77, 38, 77, 92, 173, 148
326361712, 9267, 5730, -9697, 7463, 4165, 875, -2531, -894, -233, -242, 95, 101, 77, 38, 77, 92, 173, 148
