Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
855943117, 3362, 10186, -12095, 2665, 2011, -352, -3869, -107, 269, -372, 0, 0, 0, 0, 0, 0, 0, 0
855950608, 3374, 10218, -12059, 2686, 1985, -339, -3893, -87, 283, -357, 0, 0, 0, 0, 0, 0, 0, 0
855965608, 3386, 10250, -12024, 2706, 1997, -329, -3914, -83, 287, -358, 0, 0, 0, 0, 0, 0, 0, 0
855988096, 3400, 10288, -11984, 2722, 2051, -244, -3975, -63, 282, -381, 0, 0, 0, 0, 0, 0, 0, 0
856011925, 3421, 10329, -11941, 2729, 2117, -162, -4014, -82, 261, -400, 0, 0, 0, 0, 0, 0, 0, 0
856012761, 3421, 10329, -11941, 2729, 2117, -162, -4014, -82, 261, -400, 286, 84, 25, 41, 45, 49, 37, 62
856013574, 3421, 10329, -11941, 2729, 2117, -162, -4014, -82, 261, -400, 286, 84, 25, 41, 45, 49, 37, 62
856034409, 3448, 10368, -11901, 2721, 2199, -109, -4055, -153, 213, -398, 286, 84, 25, 41, 45, 49, 37, 62
856035220, 3448, 10368, -11901, 2721, 2199, -109, -4055, -153, 213, -398, 295, 85, 35, 43, 44, 50, 42, 62
856036024, 3448, 10368, -11901, 2721, 2199, -109, -4055, -153, 213, -398, 295, 85, 35, 43, 44, 50, 42, 62
856048085, 3480, 10405, -11865, 2699, 2299, -102, -4145, -253, 160, -407, 295, 85, 35, 43, 44, 50, 42, 62
856056209, 3480, 10405, -11865, 2699, 2299, -102, -4145, -253, 160, -407, 309, 101, 36, 41, 46, 51, 50, 66
856057073, 3480, 10405, -11865, 2699, 2299, -102, -4145, -253, 160, -407, 309, 101, 36, 41, 46, 51, 50, 66
856072703, 3522, 10441, -11826, 2673, 2448, -124, -4201, -325, 138, -441, 309, 101, 36, 41, 46, 51, 50, 66
856073506, 3522, 10441, -11826, 2673, 2448, -124, -4201, -325, 138, -441, 296, 104, 37, 42, 46, 51, 50, 65
856074282, 3522, 10441, -11826, 2673, 2448, -124, -4201, -325, 138, -441, 296, 104, 37, 42, 46, 51, 50, 65
856075147, 3522, 10441, -11826, 2673, 2448, -124, -4201, -325, 138, -441, 296, 104, 37, 42, 46, 51, 50, 65
856079354, 3522, 10441, -11826, 2673, 2448, -124, -4201, -325, 138, -441, 296, 104, 37, 42, 46, 51, 50, 65
856080169, 3522, 10441, -11826, 2673, 2448, -124, -4201, -325, 138, -441, 296, 104, 37, 42, 46, 51, 50, 65
856081019, 3522, 10441, -11826, 2673, 2448, -124, -4201, -325, 138, -441, 296, 104, 37, 42, 46, 51, 50, 65
856085648, 3567, 10473, -11789, 2656, 2601, -213, -4220, -370, 128, -454, 296, 104, 37, 42, 46, 51, 50, 65
856093685, 3567, 10473, -11789, 2656, 2601, -213, -4220, -370, 128, -454, 262, 107, 39, 41, 42, 48, 49, 66
856094489, 3567, 10473, -11789, 2656, 2601, -213, -4220, -370, 128, -454, 262, 107, 39, 41, 42, 48, 49, 66
856108083, 3615, 10497, -11753, 2652, 2697, -278, -4222, -384, 152, -434, 262, 107, 39, 41, 42, 48, 49, 66
856116191, 3615, 10497, -11753, 2652, 2697, -278, -4222, -384, 152, -434, 282, 102, 44, 39, 39, 51, 49, 59
856117004, 3615, 10497, -11753, 2652, 2697, -278, -4222, -384, 152, -434, 282, 102, 44, 39, 39, 51, 49, 59
856131900, 3656, 10514, -11723, 2665, 2772, -404, -4218, -371, 167, -404, 282, 102, 44, 39, 39, 51, 49, 59
856132698, 3656, 10514, -11723, 2665, 2772, -404, -4218, -371, 167, -404, 320, 105, 40, 40, 55, 59, 49, 69
856133509, 3656, 10514, -11723, 2665, 2772, -404, -4218, -371, 167, -404, 320, 105, 40, 40, 55, 59, 49, 69
856145591, 3693, 10526, -11693, 2698, 2805, -479, -4208, -321, 218, -380, 320, 105, 40, 40, 55, 59, 49, 69
