Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
455468968, -1624, 15785, -2759, 3003, 1078, -811, -3224, 287, 60, -127, 0, 0, 0, 0, 0, 0, 0, 0
455469770, -1666, 15784, -2731, 3008, 1077, -855, -3229, 290, -1, -109, 0, 0, 0, 0, 0, 0, 0, 0
455490751, -1698, 15784, -2703, 3014, 1067, -856, -3237, 240, 26, -120, 0, 0, 0, 0, 0, 0, 0, 0
455505709, -1719, 15785, -2679, 3023, 1061, -866, -3245, 182, 53, -111, 0, 0, 0, 0, 0, 0, 0, 0
455528272, -1720, 15786, -2659, 3034, 1097, -881, -3255, 68, 78, -117, 0, 0, 0, 0, 0, 0, 0, 0
455536353, -1720, 15786, -2659, 3034, 1097, -881, -3255, 68, 78, -117, 81, 104, 180, 146, 402, 214, 73, 67
455537114, -1720, 15786, -2659, 3034, 1097, -881, -3255, 68, 78, -117, 81, 104, 180, 146, 402, 214, 73, 67
455550712, -1713, 15789, -2637, 3041, 1103, -963, -3233, -27, 50, -142, 81, 104, 180, 146, 402, 214, 73, 67
455558905, -1713, 15789, -2637, 3041, 1103, -963, -3233, -27, 50, -142, 73, 100, 174, 145, 429, 212, 66, 56
455559678, -1713, 15789, -2637, 3041, 1103, -963, -3233, -27, 50, -142, 73, 100, 174, 145, 429, 212, 66, 56
455565859, -1721, 15791, -2617, 3043, 1083, -993, -3181, 23, 17, -129, 73, 100, 174, 145, 429, 212, 66, 56
455573863, -1721, 15791, -2617, 3043, 1083, -993, -3181, 23, 17, -129, 71, 89, 150, 154, 428, 235, 71, 58
455574665, -1721, 15791, -2617, 3043, 1083, -993, -3181, 23, 17, -129, 71, 89, 150, 154, 428, 235, 71, 58
455588205, -1742, 15793, -2595, 3039, 1082, -995, -3206, 102, -26, -116, 71, 89, 150, 154, 428, 235, 71, 58
455596340, -1742, 15793, -2595, 3039, 1082, -995, -3206, 102, -26, -116, 72, 90, 161, 154, 412, 238, 74, 51
455597158, -1742, 15793, -2595, 3039, 1082, -995, -3206, 102, -26, -116, 72, 90, 161, 154, 412, 238, 74, 51
455610706, -1770, 15795, -2571, 3031, 1068, -1009, -3141, 121, -62, -119, 72, 90, 161, 154, 412, 238, 74, 51
455618844, -1770, 15795, -2571, 3031, 1068, -1009, -3141, 121, -62, -119, 81, 91, 162, 156, 441, 243, 79, 53
455619653, -1770, 15795, -2571, 3031, 1068, -1009, -3141, 121, -62, -119, 81, 91, 162, 156, 441, 243, 79, 53
455625839, -1804, 15797, -2550, 3021, 1049, -976, -3126, 167, -71, -93, 81, 91, 162, 156, 441, 243, 79, 53
455633828, -1804, 15797, -2550, 3021, 1049, -976, -3126, 167, -71, -93, 86, 84, 145, 125, 441, 221, 79, 52
455634622, -1804, 15797, -2550, 3021, 1049, -976, -3126, 167, -71, -93, 86, 84, 145, 125, 441, 221, 79, 52
455648204, -1839, 15798, -2535, 3007, 1051, -1008, -3134, 161, -89, -53, 86, 84, 145, 125, 441, 221, 79, 52
455656391, -1839, 15798, -2535, 3007, 1051, -1008, -3134, 161, -89, -53, 96, 104, 173, 131, 507, 236, 87, 54
455657178, -1839, 15798, -2535, 3007, 1051, -1008, -3134, 161, -89, -53, 96, 104, 173, 131, 507, 236, 87, 54
455670732, -1880, 15798, -2524, 2988, 1041, -1023, -3114, 181, -125, -28, 96, 104, 173, 131, 507, 236, 87, 54
455678858, -1880, 15798, -2524, 2988, 1041, -1023, -3114, 181, -125, -28, 105, 127, 219, 166, 525, 228, 95, 58
455679718, -1880, 15798, -2524, 2988, 1041, -1023, -3114, 181, -125, -28, 105, 127, 219, 166, 525, 228, 95, 58
455685833, -1937, 15798, -2515, 2962, 1040, -1033, -3110, 260, -178, 10, 105, 127, 219, 166, 525, 228, 95, 58
455693883, -1937, 15798, -2515, 2962, 1040, -1033, -3110, 260, -178, 10, 102, 147, 274, 190, 621, 226, 96, 57
455694680, -1937, 15798, -2515, 2962, 1040, -1033, -3110, 260, -178, 10, 102, 147, 274, 190, 621, 226, 96, 57
455708205, -1992, 15796, -2514, 2938, 1061, -1002, -3112, 277, -178, 70, 102, 147, 274, 190, 621, 226, 96, 57
455716368, -1992, 15796, -2514, 2938, 1061, -1002, -3112, 277, -178, 70, 96, 151, 299, 210, 611, 235, 101, 62
455717179, -1992, 15796, -2514, 2938, 1061, -1002, -3112, 277, -178, 70, 96, 151, 299, 210, 611, 235, 101, 62
455730692, -2052, 15793, -2518, 2907, 1060, -966, -3089, 317, -222, 111, 96, 151, 299, 210, 611, 235, 101, 62
455738865, -2052, 15793, -2518, 2907, 1060, -966, -3089, 317, -222, 111, 110, 170, 328, 224, 594, 222, 98, 65
455739694, -2052, 15793, -2518, 2907, 1060, -966, -3089, 317, -222, 111, 110, 170, 328, 224, 594, 222, 98, 65
455745850, -2119, 15790, -2521, 2874, 1054, -1013, -3081, 342, -253, 118, 110, 170, 328, 224, 594, 222, 98, 65
455753861, -2119, 15790, -2521, 2874, 1054, -1013, -3081, 342, -253, 118, 105, 164, 345, 274, 608, 247, 103, 68
455754685, -2119, 15790, -2521, 2874, 1054, -1013, -3081, 342, -253, 118, 105, 164, 345, 274, 608, 247, 103, 68
455768183, -2196, 15787, -2519, 2831, 1036, -990, -3047, 408, -322, 120, 105, 164, 345, 274, 608, 247, 103, 68
455776371, -2196, 15787, -2519, 2831, 1036, -990, -3047, 408, -322, 120, 104, 166, 358, 286, 593, 259, 110, 73
455777136, -2196, 15787, -2519, 2831, 1036, -990, -3047, 408, -322, 120, 104, 166, 358, 286, 593, 259, 110, 73
455790745, -2273, 15783, -2523, 2789, 1079, -945, -3049, 445, -346, 170, 104, 166, 358, 286, 593, 259, 110, 73
455798813, -2273, 15783, -2523, 2789, 1079, -945, -3049, 445, -346, 170, 122, 167, 350, 316, 527, 272, 117, 79
455799630, -2273, 15783, -2523, 2789, 1079, -945, -3049, 445, -346, 170, 122, 167, 350, 316, 527, 272, 117, 79
455805804, -2335, 15780, -2531, 2748, 1047, -933, -2985, 366, -332, 184, 122, 167, 350, 316, 527, 272, 117, 79
455813891, -2335, 15780, -2531, 2748, 1047, -933, -2985, 366, -332, 184, 130, 172, 348, 321, 495, 260, 118, 85
455814660, -2335, 15780, -2531, 2748, 1047, -933, -2985, 366, -332, 184, 130, 172, 348, 321, 495, 260, 118, 85
455828272, -2393, 15779, -2536, 2701, 1012, -1002, -2977, 316, -356, 156, 130, 172, 348, 321, 495, 260, 118, 85
455836346, -2393, 15779, -2536, 2701, 1012, -1002, -2977, 316, -356, 156, 121, 163, 339, 318, 497, 270, 118, 85
455837166, -2393, 15779, -2536, 2701, 1012, -1002, -2977, 316, -356, 156, 121, 163, 339, 318, 497, 270, 118, 85
455850758, -2438, 15780, -2541, 2650, 971, -999, -2951, 245, -365, 140, 121, 163, 339, 318, 497, 270, 118, 85
455858840, -2438, 15780, -2541, 2650, 971, -999, -2951, 245, -365, 140, 122, 161, 326, 282, 466, 253, 117, 87
455859681, -2438, 15780, -2541, 2650, 971, -999, -2951, 245, -365, 140, 122, 161, 326, 282, 466, 253, 117, 87
