Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
304032100, 6005, 3352, -14151, -4572, 1555, 2362, -2148, 18, 20, 18, 0, 0, 0, 0, 0, 0, 0, 0
304032827, 5987, 3362, -14151, -4587, 1545, 2346, -2145, -37, 33, 24, 0, 0, 0, 0, 0, 0, 0, 0
304046321, 5971, 3370, -14152, -4600, 1532, 2311, -2102, -26, 27, 26, 0, 0, 0, 0, 0, 0, 0, 0
304068784, 5952, 3378, -14154, -4611, 1539, 2321, -2115, -14, 10, 28, 0, 0, 0, 0, 0, 0, 0, 0
304091328, 5932, 3388, -14159, -4616, 1551, 2335, -2123, 28, 8, 30, 0, 0, 0, 0, 0, 0, 0, 0
304099428, 5932, 3388, -14159, -4616, 1551, 2335, -2123, 28, 8, 30, 231, 145, 95, 61, 61, 94, 233, 478
304100218, 5932, 3388, -14159, -4616, 1551, 2335, -2123, 28, 8, 30, 231, 145, 95, 61, 61, 94, 233, 478
304106374, 5916, 3398, -14160, -4623, 1559, 2334, -2133, 0, 28, 17, 231, 145, 95, 61, 61, 94, 233, 478
304121925, 5916, 3398, -14160, -4623, 1559, 2334, -2133, 0, 28, 17, 215, 140, 95, 62, 56, 84, 209, 458
304122721, 5916, 3398, -14160, -4623, 1559, 2334, -2133, 0, 28, 17, 215, 140, 95, 62, 56, 84, 209, 458
304128865, 5901, 3409, -14160, -4636, 1551, 2328, -2145, -33, 30, 4, 215, 140, 95, 62, 56, 84, 209, 458
304144460, 5901, 3409, -14160, -4636, 1551, 2328, -2145, -33, 30, 4, 232, 153, 99, 64, 58, 84, 221, 451
304145255, 5901, 3409, -14160, -4636, 1551, 2328, -2145, -33, 30, 4, 232, 153, 99, 64, 58, 84, 221, 451
304151428, 5886, 3417, -14160, -4650, 1547, 2312, -2126, -48, 20, -2, 232, 153, 99, 64, 58, 84, 221, 451
304159400, 5886, 3417, -14160, -4650, 1547, 2312, -2126, -48, 20, -2, 224, 164, 107, 67, 58, 75, 195, 423
304160228, 5886, 3417, -14160, -4650, 1547, 2312, -2126, -48, 20, -2, 224, 164, 107, 67, 58, 75, 195, 423
304166354, 5871, 3425, -14160, -4662, 1552, 2301, -2131, -36, 16, 3, 224, 164, 107, 67, 58, 75, 195, 423
304181903, 5871, 3425, -14160, -4662, 1552, 2301, -2131, -36, 16, 3, 201, 171, 107, 67, 57, 71, 182, 402
304182706, 5871, 3425, -14160, -4662, 1552, 2301, -2131, -36, 16, 3, 201, 171, 107, 67, 57, 71, 182, 402
304188902, 5855, 3436, -14162, -4668, 1547, 2300, -2143, -10, 24, -2, 201, 171, 107, 67, 57, 71, 182, 402
304204464, 5855, 3436, -14162, -4668, 1547, 2300, -2143, -10, 24, -2, 185, 168, 102, 62, 53, 61, 164, 358
304205249, 5855, 3436, -14162, -4668, 1547, 2300, -2143, -10, 24, -2, 185, 168, 102, 62, 53, 61, 164, 358
