Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
371276726, 246, 16112, 250, 2948, 3854, 1140, -2433, 19, -1, 11, 0, 0, 0, 0, 0, 0, 0, 0
371277532, 243, 16112, 247, 2947, 3869, 1110, -2419, 15, -8, 20, 0, 0, 0, 0, 0, 0, 0, 0
371298569, 242, 16113, 242, 2942, 3869, 1118, -2442, 3, -28, 27, 0, 0, 0, 0, 0, 0, 0, 0
371313514, 243, 16114, 236, 2938, 3862, 1123, -2444, -13, -26, 34, 0, 0, 0, 0, 0, 0, 0, 0
371336040, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 0, 0, 0, 0, 0, 0, 0, 0
371344237, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 57, 42, 54, 72, 80, 62, 46, 81
371344985, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 57, 42, 54, 72, 80, 62, 46, 81
371358575, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 57, 42, 54, 72, 80, 62, 46, 81
371366644, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 60, 37, 53, 71, 82, 63, 48, 84
371367509, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 60, 37, 53, 71, 82, 63, 48, 84
371373621, 237, 16117, 227, 2924, 3858, 1117, -2451, 0, -39, 10, 60, 37, 53, 71, 82, 63, 48, 84
371389155, 237, 16117, 227, 2924, 3858, 1117, -2451, 0, -39, 10, 52, 37, 48, 58, 80, 69, 52, 81
371389968, 237, 16117, 227, 2924, 3858, 1117, -2451, 0, -39, 10, 52, 37, 48, 58, 80, 69, 52, 81
371396162, 240, 16118, 227, 2919, 3874, 1105, -2421, -19, -31, -3, 52, 37, 48, 58, 80, 69, 52, 81
371404568, 240, 16118, 227, 2919, 3874, 1105, -2421, -19, -31, -3, 57, 39, 47, 51, 78, 66, 54, 90
371411021, 240, 16118, 227, 2919, 3874, 1105, -2421, -19, -31, -3, 57, 39, 47, 51, 78, 66, 54, 90
371418620, 244, 16119, 225, 2914, 3857, 1108, -2425, -23, -31, 9, 57, 39, 47, 51, 78, 66, 54, 90
371434854, 244, 16119, 225, 2914, 3857, 1108, -2425, -23, -31, 9, 55, 36, 41, 40, 45, 62, 54, 84
371435669, 244, 16119, 225, 2914, 3857, 1108, -2425, -23, -31, 9, 55, 36, 41, 40, 45, 62, 54, 84
371436641, 242, 16121, 217, 2905, 3840, 1104, -2423, 0, -52, 44, 55, 36, 41, 40, 45, 62, 54, 84
371451253, 242, 16121, 217, 2905, 3840, 1104, -2423, 0, -52, 44, 55, 36, 34, 34, 43, 59, 51, 89
371452053, 242, 16121, 217, 2905, 3840, 1104, -2423, 0, -52, 44, 55, 36, 34, 34, 43, 59, 51, 89
371452980, 246, 16112, 250, 2948, 3854, 1140, -2433, 19, -1, 11, 55, 36, 34, 34, 43, 59, 51, 89
371453798, 243, 16112, 247, 2947, 3869, 1110, -2419, 15, -8, 20, 55, 36, 34, 34, 43, 59, 51, 89
371458836, 242, 16113, 242, 2942, 3869, 1118, -2442, 3, -28, 27, 55, 36, 34, 34, 43, 59, 51, 89
371459645, 243, 16114, 236, 2938, 3862, 1123, -2444, -13, -26, 34, 55, 36, 34, 34, 43, 59, 51, 89
371460462, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 55, 36, 34, 34, 43, 59, 51, 89
371461294, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 57, 42, 54, 72, 80, 62, 46, 81
371466131, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 57, 42, 54, 72, 80, 62, 46, 81
371466954, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 57, 42, 54, 72, 80, 62, 46, 81
371467755, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 57, 42, 54, 72, 80, 62, 46, 81
371468571, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 57, 42, 54, 72, 80, 62, 46, 81
371473670, 242, 16115, 231, 2936, 3860, 1139, -2451, 2, -9, 28, 57, 42, 54, 72, 80, 62, 46, 81
371474591, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 57, 42, 54, 72, 80, 62, 46, 81
371475415, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 60, 37, 53, 71, 82, 63, 48, 84
371476242, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 60, 37, 53, 71, 82, 63, 48, 84
371481245, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 60, 37, 53, 71, 82, 63, 48, 84
371482021, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 60, 37, 53, 71, 82, 63, 48, 84
371482854, 237, 16116, 229, 2931, 3857, 1141, -2467, 22, -30, 13, 60, 37, 53, 71, 82, 63, 48, 84
