Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
418434536, 2965, 10112, 10118, 7415, 961, 2062, -1497, 31, -27, 52, 0, 0, 0, 0, 0, 0, 0, 0
418442718, 2951, 10126, 10113, 7409, 1001, 2060, -1511, 19, -22, 44, 0, 0, 0, 0, 0, 0, 0, 0
418443550, 2935, 10137, 10108, 7407, 1015, 2053, -1489, 17, -2, 43, 0, 0, 0, 0, 0, 0, 0, 0
418449535, 2920, 10148, 10106, 7400, 983, 2045, -1501, 34, -12, 33, 0, 0, 0, 0, 0, 0, 0, 0
418472014, 2910, 10161, 10102, 7391, 973, 2061, -1514, 22, -32, 44, 0, 0, 0, 0, 0, 0, 0, 0
418487012, 2897, 10175, 10096, 7386, 1010, 2077, -1505, 23, -28, 59, 0, 0, 0, 0, 0, 0, 0, 0
418510112, 2897, 10175, 10096, 7386, 1010, 2077, -1505, 23, -28, 59, 82, 47, 60, 101, 86, 128, 179, 127
418510928, 2897, 10175, 10096, 7386, 1010, 2077, -1505, 23, -28, 59, 82, 47, 60, 101, 86, 128, 179, 127
418525845, 2885, 10189, 10090, 7380, 1013, 2069, -1517, 20, -29, 50, 82, 47, 60, 101, 86, 128, 179, 127
418526610, 2885, 10189, 10090, 7380, 1013, 2069, -1517, 20, -29, 50, 86, 45, 51, 96, 83, 110, 179, 124
418527456, 2885, 10189, 10090, 7380, 1013, 2069, -1517, 20, -29, 50, 86, 45, 51, 96, 83, 110, 179, 124
418548338, 2876, 10201, 10081, 7379, 1019, 2064, -1476, 2, -31, 52, 86, 45, 51, 96, 83, 110, 179, 124
418549236, 2876, 10201, 10081, 7379, 1019, 2064, -1476, 2, -31, 52, 95, 49, 52, 90, 76, 118, 182, 135
418549963, 2876, 10201, 10081, 7379, 1019, 2064, -1476, 2, -31, 52, 95, 49, 52, 90, 76, 118, 182, 135
418570837, 2861, 10216, 10072, 7376, 1048, 2079, -1478, 38, -34, 64, 95, 49, 52, 90, 76, 118, 182, 135
418571607, 2861, 10216, 10072, 7376, 1048, 2079, -1478, 38, -34, 64, 95, 49, 53, 87, 77, 118, 154, 154
418572443, 2861, 10216, 10072, 7376, 1048, 2079, -1478, 38, -34, 64, 95, 49, 53, 87, 77, 118, 154, 154
418601575, 2845, 10229, 10068, 7370, 1031, 2085, -1505, 53, -21, 58, 95, 49, 53, 87, 77, 118, 154, 154
418602377, 2836, 10237, 10065, 7366, 993, 2067, -1517, 15, -3, 32, 95, 49, 53, 87, 77, 118, 154, 154
418603231, 2836, 10237, 10065, 7366, 993, 2067, -1517, 15, -3, 32, 95, 48, 54, 89, 74, 98, 117, 152
418604040, 2836, 10237, 10065, 7366, 993, 2067, -1517, 15, -3, 32, 95, 48, 54, 89, 74, 98, 117, 152
418631517, 2827, 10245, 10061, 7364, 1010, 2060, -1498, 7, -10, 32, 95, 48, 54, 89, 74, 98, 117, 152
418632326, 2815, 10255, 10057, 7360, 1020, 2065, -1515, 27, -14, 45, 95, 48, 54, 89, 74, 98, 117, 152
418633236, 2815, 10255, 10057, 7360, 1020, 2065, -1515, 27, -14, 45, 94, 48, 58, 97, 70, 117, 137, 138
418633899, 2815, 10255, 10057, 7360, 1020, 2065, -1515, 27, -14, 45, 94, 48, 58, 97, 70, 117, 137, 138
418660835, 2801, 10265, 10053, 7357, 1031, 2061, -1505, 34, -5, 46, 94, 48, 58, 97, 70, 117, 137, 138
418661641, 2801, 10265, 10053, 7357, 1031, 2061, -1505, 34, -5, 46, 86, 55, 65, 90, 63, 114, 141, 133
418662449, 2801, 10265, 10053, 7357, 1031, 2061, -1505, 34, -5, 46, 86, 55, 65, 90, 63, 114, 141, 133
418690844, 2788, 10274, 10049, 7355, 1025, 2072, -1501, 32, -3, 44, 86, 55, 65, 90, 63, 114, 141, 133
