Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
59980225, 5642, 8562, 6823, 10803, 1848, 1844, -648, -27, 41, 95, 0, 0, 0, 0, 0, 0, 0, 0
59987716, 5543, 8660, 6812, 10784, 1830, 1860, -632, 66, 34, 96, 0, 0, 0, 0, 0, 0, 0, 0
60002702, 5442, 8755, 6810, 10759, 1816, 1955, -664, 106, 45, 106, 0, 0, 0, 0, 0, 0, 0, 0
60025198, 5353, 8842, 6797, 10741, 1857, 1998, -657, 18, 45, 97, 0, 0, 0, 0, 0, 0, 0, 0
60049052, 5279, 8919, 6773, 10729, 1840, 1949, -661, -96, 39, 74, 0, 0, 0, 0, 0, 0, 0, 0
60049848, 5279, 8919, 6773, 10729, 1840, 1949, -661, -96, 39, 74, 80, 44, 35, 64, 79, 61, 43, 101
60050671, 5279, 8919, 6773, 10729, 1840, 1949, -661, -96, 39, 74, 80, 44, 35, 64, 79, 61, 43, 101
60062718, 5205, 8996, 6752, 10714, 1826, 1887, -656, -59, 26, 62, 80, 44, 35, 64, 79, 61, 43, 101
60070795, 5205, 8996, 6752, 10714, 1826, 1887, -656, -59, 26, 62, 82, 45, 34, 63, 81, 69, 43, 88
60071606, 5205, 8996, 6752, 10714, 1826, 1887, -656, -59, 26, 62, 82, 45, 34, 63, 81, 69, 43, 88
60085210, 5125, 9071, 6741, 10697, 1847, 1889, -625, 19, 45, 52, 82, 45, 34, 63, 81, 69, 43, 88
60093290, 5125, 9071, 6741, 10697, 1847, 1889, -625, 19, 45, 52, 85, 44, 34, 60, 81, 65, 42, 94
60094167, 5125, 9071, 6741, 10697, 1847, 1889, -625, 19, 45, 52, 85, 44, 34, 60, 81, 65, 42, 94
60108992, 5047, 9143, 6738, 10674, 1853, 1943, -635, 57, 52, 25, 85, 44, 34, 60, 81, 65, 42, 94
60109821, 5047, 9143, 6738, 10674, 1853, 1943, -635, 57, 52, 25, 87, 42, 34, 57, 81, 64, 41, 95
60110616, 5047, 9143, 6738, 10674, 1853, 1943, -635, 57, 52, 25, 87, 42, 34, 57, 81, 64, 41, 95
60122675, 4973, 9211, 6738, 10651, 1856, 1945, -655, 52, 52, 2, 87, 42, 34, 57, 81, 64, 41, 95
