Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
308536950, 5662, -9037, -12311, -1785, 1883, 701, -3617, 629, 1000, 815, 0, 0, 0, 0, 0, 0, 0, 0
308544511, 5670, -9082, -12271, -1800, 2034, 470, -3633, 492, 598, 710, 0, 0, 0, 0, 0, 0, 0, 0
308566953, 5686, -9125, -12240, -1744, 2176, 86, -3822, 707, 401, 705, 0, 0, 0, 0, 0, 0, 0, 0
308581918, 5716, -9163, -12218, -1594, 2213, -16, -3827, 1155, 116, 842, 0, 0, 0, 0, 0, 0, 0, 0
308605794, 5717, -9229, -12195, -1370, 2322, 210, -3940, 1471, -296, 1220, 0, 0, 0, 0, 0, 0, 0, 0
308606681, 5717, -9229, -12195, -1370, 2322, 210, -3940, 1471, -296, 1220, 642, 1001, 773, 384, 186, 142, 194, 333
308607360, 5717, -9229, -12195, -1370, 2322, 210, -3940, 1471, -296, 1220, 642, 1001, 773, 384, 186, 142, 194, 333
308628265, 5820, -9319, -12112, -1023, 2429, 402, -4001, 1766, -464, 1500, 642, 1001, 773, 384, 186, 142, 194, 333
308629087, 5820, -9319, -12112, -1023, 2429, 402, -4001, 1766, -464, 1500, 662, 1114, 890, 419, 190, 148, 206, 355
308629889, 5820, -9319, -12112, -1023, 2429, 402, -4001, 1766, -464, 1500, 662, 1114, 890, 419, 190, 148, 206, 355
308641941, 5910, -9386, -12042, -650, 2367, 466, -4046, 1910, -619, 1428, 662, 1114, 890, 419, 190, 148, 206, 355
308650090, 5910, -9386, -12042, -650, 2367, 466, -4046, 1910, -619, 1428, 612, 1079, 855, 409, 182, 146, 196, 343
308650892, 5910, -9386, -12042, -650, 2367, 466, -4046, 1910, -619, 1428, 612, 1079, 855, 409, 182, 146, 196, 343
308665799, 5999, -9426, -11982, -226, 2510, 576, -4097, 1940, -882, 1234, 612, 1079, 855, 409, 182, 146, 196, 343
308666665, 5999, -9426, -11982, -226, 2510, 576, -4097, 1940, -882, 1234, 635, 1108, 906, 399, 177, 139, 188, 329
308667369, 5999, -9426, -11982, -226, 2510, 576, -4097, 1940, -882, 1234, 635, 1108, 906, 399, 177, 139, 188, 329
308688267, 6076, -9405, -11960, 227, 2457, 716, -4131, 2141, -1097, 917, 635, 1108, 906, 399, 177, 139, 188, 329
308689090, 6076, -9405, -11960, 227, 2457, 716, -4131, 2141, -1097, 917, 616, 1084, 916, 403, 216, 143, 193, 323
308689912, 6076, -9405, -11960, 227, 2457, 716, -4131, 2141, -1097, 917, 616, 1084, 916, 403, 216, 143, 193, 323
308701927, 6116, -9330, -11978, 718, 2448, 815, -4121, 2290, -1459, 650, 616, 1084, 916, 403, 216, 143, 193, 323
308710044, 6116, -9330, -11978, 718, 2448, 815, -4121, 2290, -1459, 650, 547, 1096, 885, 353, 201, 117, 167, 277
308710849, 6116, -9330, -11978, 718, 2448, 815, -4121, 2290, -1459, 650, 547, 1096, 885, 353, 201, 117, 167, 277
308725739, 6075, -9207, -12056, 1196, 2364, 1133, -4116, 2062, -1887, 259, 547, 1096, 885, 353, 201, 117, 167, 277
308726584, 6075, -9207, -12056, 1196, 2364, 1133, -4116, 2062, -1887, 259, 483, 947, 761, 314, 193, 117, 164, 245
308727371, 6075, -9207, -12056, 1196, 2364, 1133, -4116, 2062, -1887, 259, 483, 947, 761, 314, 193, 117, 164, 245
308748294, 5915, -9084, -12182, 1594, 2222, 1192, -4105, 1339, -2219, -16, 483, 947, 761, 314, 193, 117, 164, 245
308749089, 5915, -9084, -12182, 1594, 2222, 1192, -4105, 1339, -2219, -16, 509, 956, 796, 327, 195, 140, 229, 267
308749929, 5915, -9084, -12182, 1594, 2222, 1192, -4105, 1339, -2219, -16, 509, 956, 796, 327, 195, 140, 229, 267
308761962, 5684, -8944, -12350, 1901, 1910, 828, -4092, 749, -2333, -357, 509, 956, 796, 327, 195, 140, 229, 267
308770087, 5684, -8944, -12350, 1901, 1910, 828, -4092, 749, -2333, -357, 435, 841, 713, 292, 187, 134, 220, 245
308770864, 5684, -8944, -12350, 1901, 1910, 828, -4092, 749, -2333, -357, 435, 841, 713, 292, 187, 134, 220, 245
308785750, 5419, -8790, -12547, 2097, 1471, 664, -4144, 191, -2198, -697, 435, 841, 713, 292, 187, 134, 220, 245
308786568, 5419, -8790, -12547, 2097, 1471, 664, -4144, 191, -2198, -697, 334, 812, 598, 237, 121, 123, 202, 205
308787401, 5419, -8790, -12547, 2097, 1471, 664, -4144, 191, -2198, -697, 334, 812, 598, 237, 121, 123, 202, 205
308808333, 5159, -8629, -12756, 2161, 1419, 511, -4170, -358, -1811, -1012, 334, 812, 598, 237, 121, 123, 202, 205
308809117, 5159, -8629, -12756, 2161, 1419, 511, -4170, -358, -1811, -1012, 354, 740, 567, 264, 122, 163, 224, 233
308809942, 5159, -8629, -12756, 2161, 1419, 511, -4170, -358, -1811, -1012, 354, 740, 567, 264, 122, 163, 224, 233
308821968, 4843, -8432, -13041, 1956, 1414, 211, -4137, -453, -1260, -1377, 354, 740, 567, 264, 122, 163, 224, 233
308830042, 4843, -8432, -13041, 1956, 1414, 211, -4137, -453, -1260, -1377, 339, 685, 559, 240, 108, 796, 228, 222
308830855, 4843, -8432, -13041, 1956, 1414, 211, -4137, -453, -1260, -1377, 339, 685, 559, 240, 108, 796, 228, 222
308845777, 4700, -8195, -13255, 1873, 1425, 15, -4106, -267, -881, -1622, 339, 685, 559, 240, 108, 796, 228, 222
308846597, 4700, -8195, -13255, 1873, 1425, 15, -4106, -267, -881, -1622, 294, 622, 512, 220, 181, 1012, 180, 182
308847389, 4700, -8195, -13255, 1873, 1425, 15, -4106, -267, -881, -1622, 294, 622, 512, 220, 181, 1012, 180, 182
308868275, 4612, -7922, -13460, 1802, 1565, 446, -3992, 35, -689, -1743, 294, 622, 512, 220, 181, 1012, 180, 182
308869045, 4612, -7922, -13460, 1802, 1565, 446, -3992, 35, -689, -1743, 298, 669, 584, 232, 190, 1162, 205, 184
308869866, 4612, -7922, -13460, 1802, 1565, 446, -3992, 35, -689, -1743, 298, 669, 584, 232, 190, 1162, 205, 184
308881923, 4479, -7636, -13690, 1631, 1660, 813, -3997, -521, -681, -1990, 298, 669, 584, 232, 190, 1162, 205, 184
308890070, 4479, -7636, -13690, 1631, 1660, 813, -3997, -521, -681, -1990, 311, 663, 605, 236, 207, 1200, 268, 190
308890891, 4479, -7636, -13690, 1631, 1660, 813, -3997, -521, -681, -1990, 311, 663, 605, 236, 207, 1200, 268, 190
308905122, 4339, -7329, -13930, 1366, 1800, 1043, -3951, -1269, -504, -2391, 311, 663, 605, 236, 207, 1200, 268, 190
308905900, 4339, -7329, -13930, 1366, 1800, 1043, -3951, -1269, -504, -2391, 269, 792, 673, 201, 206, 1200, 255, 154
308911866, 4339, -7329, -13930, 1366, 1800, 1043, -3951, -1269, -504, -2391, 269, 792, 673, 201, 206, 1200, 255, 154
308928266, 4177, -6982, -14190, 949, 1875, 995, -4016, -1996, -280, -2849, 269, 792, 673, 201, 206, 1200, 255, 154
308929104, 4177, -6982, -14190, 949, 1875, 995, -4016, -1996, -280, -2849, 266, 857, 749, 260, 227, 912, 304, 182
308929890, 4177, -6982, -14190, 949, 1875, 995, -4016, -1996, -280, -2849, 266, 857, 749, 260, 227, 912, 304, 182
308941983, 4007, -6586, -14453, 369, 1997, 899, -4123, -2501, 47, -3202, 266, 857, 749, 260, 227, 912, 304, 182
308950062, 4007, -6586, -14453, 369, 1997, 899, -4123, -2501, 47, -3202, 307, 860, 806, 296, 177, 745, 303, 190
308950839, 4007, -6586, -14453, 369, 1997, 899, -4123, -2501, 47, -3202, 307, 860, 806, 296, 177, 745, 303, 190
308965125, 3842, -6143, -14693, -275, 1870, 778, -4183, -2799, 264, -3509, 307, 860, 806, 296, 177, 745, 303, 190
308965913, 3842, -6143, -14693, -275, 1870, 778, -4183, -2799, 264, -3509, 320, 891, 813, 381, 184, 541, 296, 188
308971904, 3842, -6143, -14693, -275, 1870, 778, -4183, -2799, 264, -3509, 320, 891, 813, 381, 184, 541, 296, 188
308988263, 3651, -5666, -14900, -1006, 1756, 928, -4216, -3288, 386, -3751, 320, 891, 813, 381, 184, 541, 296, 188
308989069, 3651, -5666, -14900, -1006, 1756, 928, -4216, -3288, 386, -3751, 337, 907, 910, 410, 168, 454, 270, 204
308989864, 3651, -5666, -14900, -1006, 1756, 928, -4216, -3288, 386, -3751, 337, 907, 910, 410, 168, 454, 270, 204
309001920, 3425, -5209, -15037, -1861, 1696, 23, -4436, -4222, 567, -3762, 337, 907, 910, 410, 168, 454, 270, 204
309010064, 3425, -5209, -15037, -1861, 1696, 23, -4436, -4222, 567, -3762, 338, 819, 899, 416, 164, 448, 284, 203
309010903, 3425, -5209, -15037, -1861, 1696, 23, -4436, -4222, 567, -3762, 338, 819, 899, 416, 164, 448, 284, 203
309024419, 3325, -4790, -15094, -2575, 1734, -191, -4393, -3444, 1031, -3205, 338, 819, 899, 416, 164, 448, 284, 203
309032554, 3325, -4790, -15094, -2575, 1734, -191, -4393, -3444, 1031, -3205, 351, 800, 889, 410, 140, 457, 214, 175
309033400, 3325, -4790, -15094, -2575, 1734, -191, -4393, -3444, 1031, -3205, 351, 800, 889, 410, 140, 457, 214, 175
309048266, 3377, -4417, -15114, -3020, 1658, 208, -4165, -1874, 1381, -2458, 351, 800, 889, 410, 140, 457, 214, 175
309049097, 3377, -4417, -15114, -3020, 1658, 208, -4165, -1874, 1381, -2458, 348, 794, 901, 411, 141, 312, 199, 180
309049889, 3377, -4417, -15114, -3020, 1658, 208, -4165, -1874, 1381, -2458, 348, 794, 901, 411, 141, 312, 199, 180
309061949, 3454, -4069, -15127, -3336, 1471, 837, -4005, -1153, 1323, -2100, 348, 794, 901, 411, 141, 312, 199, 180
309070040, 3454, -4069, -15127, -3336, 1471, 837, -4005, -1153, 1323, -2100, 397, 862, 921, 385, 139, 199, 194, 193
309070841, 3454, -4069, -15127, -3336, 1471, 837, -4005, -1153, 1323, -2100, 397, 862, 921, 385, 139, 199, 194, 193
309084415, 3522, -3726, -15134, -3624, 1472, 1313, -3912, -1000, 1239, -2020, 397, 862, 921, 385, 139, 199, 194, 193
309092536, 3522, -3726, -15134, -3624, 1472, 1313, -3912, -1000, 1239, -2020, 395, 911, 915, 397, 167, 196, 159, 186
309093345, 3522, -3726, -15134, -3624, 1472, 1313, -3912, -1000, 1239, -2020, 395, 911, 915, 397, 167, 196, 159, 186
309108269, 3563, -3370, -15126, -3950, 1468, 1474, -3849, -1241, 1180, -2143, 395, 911, 915, 397, 167, 196, 159, 186
309109039, 3563, -3370, -15126, -3950, 1468, 1474, -3849, -1241, 1180, -2143, 409, 893, 883, 400, 170, 187, 127, 185
309109887, 3563, -3370, -15126, -3950, 1468, 1474, -3849, -1241, 1180, -2143, 409, 893, 883, 400, 170, 187, 127, 185
309121892, 3570, -3006, -15088, -4364, 1529, 1562, -3854, -1791, 1154, -2315, 409, 893, 883, 400, 170, 187, 127, 185
309130086, 3570, -3006, -15088, -4364, 1529, 1562, -3854, -1791, 1154, -2315, 389, 848, 813, 366, 175, 178, 147, 175
309130889, 3570, -3006, -15088, -4364, 1529, 1562, -3854, -1791, 1154, -2315, 389, 848, 813, 366, 175, 178, 147, 175
309144403, 3566, -2640, -15011, -4842, 1585, 1355, -3851, -2248, 1215, -2411, 389, 848, 813, 366, 175, 178, 147, 175
309152564, 3566, -2640, -15011, -4842, 1585, 1355, -3851, -2248, 1215, -2411, 371, 850, 746, 334, 215, 157, 151, 161
309153382, 3566, -2640, -15011, -4842, 1585, 1355, -3851, -2248, 1215, -2411, 371, 850, 746, 334, 215, 157, 151, 161
309168273, 3556, -2278, -14905, -5335, 1600, 1136, -3864, -2442, 1229, -2420, 371, 850, 746, 334, 215, 157, 151, 161
309169104, 3556, -2278, -14905, -5335, 1600, 1136, -3864, -2442, 1229, -2420, 282, 709, 666, 261, 214, 142, 162, 132
309169889, 3556, -2278, -14905, -5335, 1600, 1136, -3864, -2442, 1229, -2420, 282, 709, 666, 261, 214, 142, 162, 132
309181966, 3573, -1917, -14779, -5796, 1675, 1108, -3748, -2324, 1355, -2331, 282, 709, 666, 261, 214, 142, 162, 132
309190026, 3573, -1917, -14779, -5796, 1675, 1108, -3748, -2324, 1355, -2331, 252, 572, 520, 182, 201, 130, 158, 111
309190817, 3573, -1917, -14779, -5796, 1675, 1108, -3748, -2324, 1355, -2331, 252, 572, 520, 182, 201, 130, 158, 111
309204447, 3629, -1571, -14643, -6196, 1657, 1107, -3732, -2059, 1494, -2109, 252, 572, 520, 182, 201, 130, 158, 111
309212551, 3629, -1571, -14643, -6196, 1657, 1107, -3732, -2059, 1494, -2109, 210, 566, 473, 137, 192, 119, 151, 111
309213372, 3629, -1571, -14643, -6196, 1657, 1107, -3732, -2059, 1494, -2109, 210, 566, 473, 137, 192, 119, 151, 111
309228275, 3715, -1234, -14515, -6516, 1663, 1080, -3750, -1665, 1582, -1913, 210, 566, 473, 137, 192, 119, 151, 111
309229043, 3715, -1234, -14515, -6516, 1663, 1080, -3750, -1665, 1582, -1913, 213, 562, 487, 153, 190, 100, 143, 120
309229860, 3715, -1234, -14515, -6516, 1663, 1080, -3750, -1665, 1582, -1913, 213, 562, 487, 153, 190, 100, 143, 120
309241894, 3807, -911, -14405, -6756, 1609, 1311, -3713, -1239, 1530, -1723, 213, 562, 487, 153, 190, 100, 143, 120
309250066, 3807, -911, -14405, -6756, 1609, 1311, -3713, -1239, 1530, -1723, 248, 518, 480, 166, 137, 103, 142, 139
309250902, 3807, -911, -14405, -6756, 1609, 1311, -3713, -1239, 1530, -1723, 248, 518, 480, 166, 137, 103, 142, 139
309264393, 3887, -606, -14293, -6978, 1598, 1680, -3627, -1168, 1419, -1625, 248, 518, 480, 166, 137, 103, 142, 139
309272574, 3887, -606, -14293, -6978, 1598, 1680, -3627, -1168, 1419, -1625, 263, 562, 509, 158, 138, 93, 116, 142
309273380, 3887, -606, -14293, -6978, 1598, 1680, -3627, -1168, 1419, -1625, 263, 562, 509, 158, 138, 93, 116, 142
309288311, 3936, -343, -14223, -7111, 1611, 1693, -3573, -1461, 1413, -1579, 263, 562, 509, 158, 138, 93, 116, 142
309289117, 3936, -343, -14223, -7111, 1611, 1693, -3573, -1461, 1413, -1579, 269, 607, 506, 153, 127, 92, 111, 144
309289890, 3936, -343, -14223, -7111, 1611, 1693, -3573, -1461, 1413, -1579, 269, 607, 506, 153, 127, 92, 111, 144
309301981, 3998, -100, -14147, -7233, 1540, 1540, -3542, -1522, 1441, -1464, 269, 607, 506, 153, 127, 92, 111, 144
309310055, 3998, -100, -14147, -7233, 1540, 1540, -3542, -1522, 1441, -1464, 277, 630, 530, 164, 142, 103, 112, 139
309310840, 3998, -100, -14147, -7233, 1540, 1540, -3542, -1522, 1441, -1464, 277, 630, 530, 164, 142, 103, 112, 139
309324414, 4073, 142, -14090, -7302, 1507, 1463, -3509, -1263, 1473, -1370, 277, 630, 530, 164, 142, 103, 112, 139
309332505, 4073, 142, -14090, -7302, 1507, 1463, -3509, -1263, 1473, -1370, 296, 637, 498, 194, 144, 104, 110, 145
309333313, 4073, 142, -14090, -7302, 1507, 1463, -3509, -1263, 1473, -1370, 296, 637, 498, 194, 144, 104, 110, 145
309348247, 4147, 396, -14054, -7321, 1486, 1525, -3479, -945, 1463, -1350, 296, 637, 498, 194, 144, 104, 110, 145
309349041, 4147, 396, -14054, -7321, 1486, 1525, -3479, -945, 1463, -1350, 247, 671, 464, 179, 144, 103, 109, 125
309349873, 4147, 396, -14054, -7321, 1486, 1525, -3479, -945, 1463, -1350, 247, 671, 464, 179, 144, 103, 109, 125
309361936, 4223, 641, -14013, -7338, 1557, 1583, -3450, -952, 1421, -1329, 247, 671, 464, 179, 144, 103, 109, 125
309370015, 4223, 641, -14013, -7338, 1557, 1583, -3450, -952, 1421, -1329, 268, 629, 479, 196, 134, 112, 145, 137
309370838, 4223, 641, -14013, -7338, 1557, 1583, -3450, -952, 1421, -1329, 268, 629, 479, 196, 134, 112, 145, 137
309384391, 4309, 864, -13964, -7358, 1650, 1604, -3478, -1047, 1405, -1251, 268, 629, 479, 196, 134, 112, 145, 137
309392576, 4309, 864, -13964, -7358, 1650, 1604, -3478, -1047, 1405, -1251, 274, 607, 501, 213, 151, 109, 153, 133
309393364, 4309, 864, -13964, -7358, 1650, 1604, -3478, -1047, 1405, -1251, 274, 607, 501, 213, 151, 109, 153, 133
309408273, 4410, 1082, -13924, -7345, 1674, 1515, -3433, -902, 1449, -1177, 274, 607, 501, 213, 151, 109, 153, 133
309409072, 4410, 1082, -13924, -7345, 1674, 1515, -3433, -902, 1449, -1177, 267, 556, 469, 209, 160, 107, 181, 135
309409865, 4410, 1082, -13924, -7345, 1674, 1515, -3433, -902, 1449, -1177, 267, 556, 469, 209, 160, 107, 181, 135
309422006, 4509, 1298, -13898, -7299, 1622, 1485, -3362, -683, 1410, -1098, 267, 556, 469, 209, 160, 107, 181, 135
309430070, 4509, 1298, -13898, -7299, 1622, 1485, -3362, -683, 1410, -1098, 241, 541, 463, 168, 160, 104, 226, 126
309430886, 4509, 1298, -13898, -7299, 1622, 1485, -3362, -683, 1410, -1098, 241, 541, 463, 168, 160, 104, 226, 126
309444407, 4597, 1498, -13884, -7233, 1608, 1606, -3377, -562, 1314, -987, 241, 541, 463, 168, 160, 104, 226, 126
309452521, 4597, 1498, -13884, -7233, 1608, 1606, -3377, -562, 1314, -987, 270, 600, 485, 173, 214, 140, 276, 160
309453347, 4597, 1498, -13884, -7233, 1608, 1606, -3377, -562, 1314, -987, 270, 600, 485, 173, 214, 140, 276, 160
309468276, 4702, 1707, -13860, -7165, 1708, 1802, -3462, -557, 1430, -990, 270, 600, 485, 173, 214, 140, 276, 160
309469021, 4702, 1707, -13860, -7165, 1708, 1802, -3462, -557, 1430, -990, 242, 577, 388, 162, 256, 301, 327, 181
309469845, 4702, 1707, -13860, -7165, 1708, 1802, -3462, -557, 1430, -990, 242, 577, 388, 162, 256, 301, 327, 181
309484994, 4886, 1968, -13734, -7217, 1657, 1638, -3450, -527, 1773, -1033, 242, 577, 388, 162, 256, 301, 327, 181
309494976, 4886, 1968, -13734, -7217, 1657, 1638, -3450, -527, 1773, -1033, 247, 651, 335, 140, 322, 534, 447, 241
309495026, 4886, 1968, -13734, -7217, 1657, 1638, -3450, -527, 1773, -1033, 247, 651, 335, 140, 322, 534, 447, 241
309504407, 5113, 2270, -13591, -7241, 1573, 1819, -3328, -387, 2124, -1066, 247, 651, 335, 140, 322, 534, 447, 241
