Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
220107141, 2162, -14689, 6816, -1249, 75, -642, -1724, 1918, -371, -964, 0, 0, 0, 0, 0, 0, 0, 0
220114659, 2627, -14726, 6541, -1385, -326, -738, -1647, 2722, -572, -1384, 0, 0, 0, 0, 0, 0, 0, 0
220122174, 3127, -14767, 6198, -1482, -208, -646, -1747, 2878, -926, -1682, 0, 0, 0, 0, 0, 0, 0, 0
220137139, 3561, -14824, 5804, -1530, -135, -638, -1578, 2452, -1109, -1950, 0, 0, 0, 0, 0, 0, 0, 0
220159637, 3884, -14910, 5364, -1509, -89, -597, -1259, 1734, -1319, -2211, 0, 0, 0, 0, 0, 0, 0, 0
220175281, 3884, -14910, 5364, -1509, -89, -597, -1259, 1734, -1319, -2211, 96, 70, 82, 227, 528, 289, 127, 114
220176103, 3884, -14910, 5364, -1509, -89, -597, -1259, 1734, -1319, -2211, 96, 70, 82, 227, 528, 289, 127, 114
220182232, 4151, -15012, 4884, -1417, 50, -690, -1153, 1300, -1650, -2368, 96, 70, 82, 227, 528, 289, 127, 114
220198466, 4151, -15012, 4884, -1417, 50, -690, -1153, 1300, -1650, -2368, 104, 73, 78, 226, 537, 290, 130, 124
220199280, 4151, -15012, 4884, -1417, 50, -690, -1153, 1300, -1650, -2368, 104, 73, 78, 226, 537, 290, 130, 124
220200230, 4327, -15133, 4373, -1267, 183, -990, -961, 686, -1866, -2517, 104, 73, 78, 226, 537, 290, 130, 124
220220962, 4327, -15133, 4373, -1267, 183, -990, -961, 686, -1866, -2517, 108, 89, 96, 220, 532, 310, 135, 137
220221817, 4327, -15133, 4373, -1267, 183, -990, -961, 686, -1866, -2517, 108, 89, 96, 220, 532, 310, 135, 137
220222685, 4382, -15283, 3812, -1077, 389, -1136, -786, -58, -2004, -2795, 108, 89, 96, 220, 532, 310, 135, 137
220235259, 4382, -15283, 3812, -1077, 389, -1136, -786, -58, -2004, -2795, 104, 114, 85, 188, 433, 267, 119, 139
220236080, 4382, -15283, 3812, -1077, 389, -1136, -786, -58, -2004, -2795, 104, 114, 85, 188, 433, 267, 119, 139
220242265, 4447, -15417, 3198, -869, 529, -1206, -585, -3, -2198, -3006, 104, 114, 85, 188, 433, 267, 119, 139
220258424, 4447, -15417, 3198, -869, 529, -1206, -585, -3, -2198, -3006, 98, 129, 110, 187, 411, 261, 93, 141
220259232, 4447, -15417, 3198, -869, 529, -1206, -585, -3, -2198, -3006, 98, 129, 110, 187, 411, 261, 93, 141
220260189, 4576, -15514, 2531, -647, 728, -1440, -532, 356, -2434, -3198, 98, 129, 110, 187, 411, 261, 93, 141
220280963, 4576, -15514, 2531, -647, 728, -1440, -532, 356, -2434, -3198, 82, 131, 113, 194, 442, 266, 96, 124
220281832, 4576, -15514, 2531, -647, 728, -1440, -532, 356, -2434, -3198, 82, 131, 113, 194, 442, 266, 96, 124
220282710, 4770, -15564, 1810, -430, 894, -1449, -658, 808, -2554, -3415, 82, 131, 113, 194, 442, 266, 96, 124
220295232, 4770, -15564, 1810, -430, 894, -1449, -658, 808, -2554, -3415, 77, 134, 117, 192, 413, 266, 107, 123
220296031, 4770, -15564, 1810, -430, 894, -1449, -658, 808, -2554, -3415, 77, 134, 117, 192, 413, 266, 107, 123
220302254, 4976, -15573, 1066, -190, 1138, -1176, -622, 951, -2743, -3455, 77, 134, 117, 192, 413, 266, 107, 123
220318477, 4976, -15573, 1066, -190, 1138, -1176, -622, 951, -2743, -3455, 87, 135, 110, 193, 383, 264, 115, 115
220319265, 4976, -15573, 1066, -190, 1138, -1176, -622, 951, -2743, -3455, 87, 135, 110, 193, 383, 264, 115, 115
220320202, 5188, -15538, 312, 86, 1416, -1038, -617, 1066, -2984, -3407, 87, 135, 110, 193, 383, 264, 115, 115
220340962, 5188, -15538, 312, 86, 1416, -1038, -617, 1066, -2984, -3407, 191, 232, 123, 189, 368, 255, 122, 139
220341813, 5188, -15538, 312, 86, 1416, -1038, -617, 1066, -2984, -3407, 191, 232, 123, 189, 368, 255, 122, 139
220342728, 5367, -15469, -432, 388, 1681, -964, -594, 951, -3127, -3277, 191, 232, 123, 189, 368, 255, 122, 139
220355231, 5367, -15469, -432, 388, 1681, -964, -594, 951, -3127, -3277, 201, 247, 115, 155, 308, 191, 121, 137
220356066, 5367, -15469, -432, 388, 1681, -964, -594, 951, -3127, -3277, 201, 247, 115, 155, 308, 191, 121, 137
220362236, 5494, -15378, -1137, 701, 1931, -962, -591, 733, -3144, -3020, 201, 247, 115, 155, 308, 191, 121, 137
220378447, 5494, -15378, -1137, 701, 1931, -962, -591, 733, -3144, -3020, 203, 252, 117, 143, 246, 186, 124, 144
220379276, 5494, -15378, -1137, 701, 1931, -962, -591, 733, -3144, -3020, 203, 252, 117, 143, 246, 186, 124, 144
220380223, 5569, -15270, -1803, 1004, 1965, -960, -691, 502, -3046, -2819, 203, 252, 117, 143, 246, 186, 124, 144
220408466, 5569, -15270, -1803, 1004, 1965, -960, -691, 502, -3046, -2819, 207, 281, 127, 146, 252, 179, 113, 141
220409257, 5569, -15270, -1803, 1004, 1965, -960, -691, 502, -3046, -2819, 207, 281, 127, 146, 252, 179, 113, 141
220410193, 5611, -15148, -2418, 1288, 2028, -924, -695, 369, -2880, -2574, 207, 281, 127, 146, 252, 179, 113, 141
220417330, 5611, -15148, -2418, 1288, 2028, -924, -695, 369, -2880, -2574, 214, 304, 157, 144, 246, 155, 104, 151
220418152, 5611, -15148, -2418, 1288, 2028, -924, -695, 369, -2880, -2574, 214, 304, 157, 144, 246, 155, 104, 151
220418954, 5611, -15148, -2418, 1288, 2028, -924, -695, 369, -2880, -2574, 214, 304, 157, 144, 246, 155, 104, 151
220419845, 5611, -15148, -2418, 1288, 2028, -924, -695, 369, -2880, -2574, 214, 304, 157, 144, 246, 155, 104, 151
220424130, 5611, -15148, -2418, 1288, 2028, -924, -695, 369, -2880, -2574, 214, 304, 157, 144, 246, 155, 104, 151
220424984, 5611, -15148, -2418, 1288, 2028, -924, -695, 369, -2880, -2574, 214, 304, 157, 144, 246, 155, 104, 151
220425827, 5611, -15148, -2418, 1288, 2028, -924, -695, 369, -2880, -2574, 214, 304, 157, 144, 246, 155, 104, 151
220426740, 5634, -15011, -2990, 1558, 2191, -923, -563, 302, -2758, -2364, 214, 304, 157, 144, 246, 155, 104, 151
220438454, 5634, -15011, -2990, 1558, 2191, -923, -563, 302, -2758, -2364, 197, 352, 226, 135, 176, 177, 124, 170
220439319, 5634, -15011, -2990, 1558, 2191, -923, -563, 302, -2758, -2364, 197, 352, 226, 135, 176, 177, 124, 170
220440197, 5670, -14851, -3528, 1813, 2274, -945, -559, 408, -2626, -2241, 197, 352, 226, 135, 176, 177, 124, 170
220460927, 5670, -14851, -3528, 1813, 2274, -945, -559, 408, -2626, -2241, 244, 486, 329, 154, 160, 206, 119, 222
220461818, 5670, -14851, -3528, 1813, 2274, -945, -559, 408, -2626, -2241, 244, 486, 329, 154, 160, 206, 119, 222
220462685, 5685, -14689, -4017, 2054, 2268, -841, -574, 342, -2482, -2009, 244, 486, 329, 154, 160, 206, 119, 222
220475252, 5685, -14689, -4017, 2054, 2268, -841, -574, 342, -2482, -2009, 259, 534, 371, 162, 154, 210, 139, 242
220476102, 5685, -14689, -4017, 2054, 2268, -841, -574, 342, -2482, -2009, 259, 534, 371, 162, 154, 210, 139, 242
220482232, 5669, -14542, -4433, 2274, 2321, -773, -712, 194, -2268, -1627, 259, 534, 371, 162, 154, 210, 139, 242
220498447, 5669, -14542, -4433, 2274, 2321, -773, -712, 194, -2268, -1627, 279, 528, 370, 154, 139, 229, 152, 255
220499259, 5669, -14542, -4433, 2274, 2321, -773, -712, 194, -2268, -1627, 279, 528, 370, 154, 139, 229, 152, 255
220500157, 5645, -14412, -4779, 2457, 2204, -828, -695, 118, -1935, -1331, 279, 528, 370, 154, 139, 229, 152, 255
220520945, 5645, -14412, -4779, 2457, 2204, -828, -695, 118, -1935, -1331, 305, 520, 363, 144, 143, 253, 197, 258
220521832, 5645, -14412, -4779, 2457, 2204, -828, -695, 118, -1935, -1331, 305, 520, 363, 144, 143, 253, 197, 258
220522685, 5726, -14269, -5133, 2391, 2458, -1008, -617, 83, -1310, -1219, 305, 520, 363, 144, 143, 253, 197, 258
220534563, 5726, -14269, -5133, 2391, 2458, -1008, -617, 83, -1310, -1219, 276, 457, 330, 140, 124, 244, 207, 249
220542817, 5726, -14269, -5133, 2391, 2458, -1008, -617, 83, -1310, -1219, 276, 457, 330, 140, 124, 244, 207, 249
220543723, 5793, -14148, -5443, 2257, 2666, -1021, -749, -56, -967, -1023, 276, 457, 330, 140, 124, 244, 207, 249
220558438, 5793, -14148, -5443, 2257, 2666, -1021, -749, -56, -967, -1023, 242, 314, 232, 123, 125, 221, 211, 218
220559238, 5793, -14148, -5443, 2257, 2666, -1021, -749, -56, -967, -1023, 242, 314, 232, 123, 125, 221, 211, 218
220560206, 5874, -14058, -5640, 2126, 2511, -882, -861, 151, -641, -489, 242, 314, 232, 123, 125, 221, 211, 218
220580986, 5874, -14058, -5640, 2126, 2511, -882, -861, 151, -641, -489, 248, 265, 174, 108, 136, 209, 199, 200
220581805, 5874, -14058, -5640, 2126, 2511, -882, -861, 151, -641, -489, 248, 265, 174, 108, 136, 209, 199, 200
220582733, 5967, -13990, -5754, 2001, 2414, -831, -668, 192, -409, -88, 248, 265, 174, 108, 136, 209, 199, 200
220595243, 5967, -13990, -5754, 2001, 2414, -831, -668, 192, -409, -88, 230, 274, 182, 110, 133, 187, 201, 195
220596055, 5967, -13990, -5754, 2001, 2414, -831, -668, 192, -409, -88, 230, 274, 182, 110, 133, 187, 201, 195
220602211, 6042, -13934, -5869, 1826, 2545, -933, -726, -34, -235, -124, 230, 274, 182, 110, 133, 187, 201, 195
220618448, 6042, -13934, -5869, 1826, 2545, -933, -726, -34, -235, -124, 186, 274, 174, 114, 135, 145, 161, 238
220619254, 6042, -13934, -5869, 1826, 2545, -933, -726, -34, -235, -124, 186, 274, 174, 114, 135, 145, 161, 238
220620180, 6121, -13886, -5962, 1620, 2707, -1046, -792, -90, -77, -30, 186, 274, 174, 114, 135, 145, 161, 238
220640936, 6121, -13886, -5962, 1620, 2707, -1046, -792, -90, -77, -30, 195, 263, 154, 98, 139, 111, 147, 254
220641827, 6121, -13886, -5962, 1620, 2707, -1046, -792, -90, -77, -30, 195, 263, 154, 98, 139, 111, 147, 254
220642693, 6209, -13846, -6016, 1415, 2708, -1070, -662, -99, 28, 153, 195, 263, 154, 98, 139, 111, 147, 254
220655230, 6209, -13846, -6016, 1415, 2708, -1070, -662, -99, 28, 153, 185, 242, 137, 81, 127, 96, 147, 248
220656071, 6209, -13846, -6016, 1415, 2708, -1070, -662, -99, 28, 153, 185, 242, 137, 81, 127, 96, 147, 248
220662226, 6296, -13808, -6056, 1216, 2699, -1064, -640, -92, 52, 215, 185, 242, 137, 81, 127, 96, 147, 248
220678476, 6385, -13764, -6100, 1009, 2766, -1144, -625, -122, 66, 169, 185, 242, 137, 81, 127, 96, 147, 248
220679280, 6385, -13764, -6100, 1009, 2766, -1144, -625, -122, 66, 169, 165, 199, 120, 74, 115, 97, 143, 243
220680134, 6385, -13764, -6100, 1009, 2766, -1144, -625, -122, 66, 169, 165, 199, 120, 74, 115, 97, 143, 243
220700932, 6477, -13714, -6150, 789, 2847, -1129, -640, -109, 108, 107, 165, 199, 120, 74, 115, 97, 143, 243
220701834, 6477, -13714, -6150, 789, 2847, -1129, -640, -109, 108, 107, 172, 169, 105, 68, 107, 93, 145, 263
220702558, 6477, -13714, -6150, 789, 2847, -1129, -640, -109, 108, 107, 172, 169, 105, 68, 107, 93, 145, 263
220714623, 6560, -13663, -6199, 567, 2887, -1054, -677, -111, 110, 110, 172, 169, 105, 68, 107, 93, 145, 263
220722804, 6560, -13663, -6199, 567, 2887, -1054, -677, -111, 110, 110, 185, 150, 95, 57, 82, 93, 170, 258
220723605, 6560, -13663, -6199, 567, 2887, -1054, -677, -111, 110, 110, 185, 150, 95, 57, 82, 93, 170, 258
220738406, 6623, -13622, -6238, 340, 2946, -1004, -702, -206, 119, 174, 185, 150, 95, 57, 82, 93, 170, 258
220739270, 6623, -13622, -6238, 340, 2946, -1004, -702, -206, 119, 174, 186, 162, 118, 62, 59, 77, 157, 250
220740129, 6623, -13622, -6238, 340, 2946, -1004, -702, -206, 119, 174, 186, 162, 118, 62, 59, 77, 157, 250
220760946, 6685, -13587, -6257, 109, 3029, -1120, -700, -269, 165, 261, 186, 162, 118, 62, 59, 77, 157, 250
