Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
318353913, 8275, -13334, -4580, -1099, 2344, -540, -160, 647, -135, 74, 0, 0, 0, 0, 0, 0, 0, 0
318361449, 8366, -13243, -4649, -1211, 2334, -590, -124, 422, -84, 122, 0, 0, 0, 0, 0, 0, 0, 0
318383939, 8440, -13160, -4716, -1333, 2298, -727, -138, 284, -32, 60, 0, 0, 0, 0, 0, 0, 0, 0
318406426, 8516, -13073, -4785, -1459, 2272, -730, -145, 304, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0
318422784, 8603, -12976, -4855, -1579, 2298, -694, -84, 382, -3, 24, 0, 0, 0, 0, 0, 0, 0, 0
318423578, 8603, -12976, -4855, -1579, 2298, -694, -84, 382, -3, 24, 100, 49, 62, 77, 86, 62, 42, 90
318424362, 8603, -12976, -4855, -1579, 2298, -694, -84, 382, -3, 24, 100, 49, 62, 77, 86, 62, 42, 90
318445233, 8681, -12880, -4930, -1700, 2327, -657, -68, 348, -16, -1, 100, 49, 62, 77, 86, 62, 42, 90
318446006, 8681, -12880, -4930, -1700, 2327, -657, -68, 348, -16, -1, 102, 54, 53, 71, 82, 62, 47, 80
318446853, 8681, -12880, -4930, -1700, 2327, -657, -68, 348, -16, -1, 102, 54, 53, 71, 82, 62, 47, 80
318467749, 8737, -12794, -5007, -1834, 2345, -620, -101, 222, 4, -35, 102, 54, 53, 71, 82, 62, 47, 80
318468529, 8737, -12794, -5007, -1834, 2345, -620, -101, 222, 4, -35, 103, 56, 49, 67, 79, 58, 58, 108
318469396, 8737, -12794, -5007, -1834, 2345, -620, -101, 222, 4, -35, 103, 56, 49, 67, 79, 58, 58, 108
318482726, 8777, -12719, -5077, -1965, 2349, -641, -83, 111, -9, -6, 103, 56, 49, 67, 79, 58, 58, 108
318483530, 8777, -12719, -5077, -1965, 2349, -641, -83, 111, -9, -6, 106, 60, 52, 68, 79, 60, 63, 117
318484396, 8777, -12719, -5077, -1965, 2349, -641, -83, 111, -9, -6, 106, 60, 52, 68, 79, 60, 63, 117
318505199, 8809, -12650, -5145, -2089, 2321, -681, -60, 57, -44, -12, 106, 60, 52, 68, 79, 60, 63, 117
318506019, 8809, -12650, -5145, -2089, 2321, -681, -60, 57, -44, -12, 69, 65, 50, 51, 54, 51, 61, 116
318506828, 8809, -12650, -5145, -2089, 2321, -681, -60, 57, -44, -12, 69, 65, 50, 51, 54, 51, 61, 116
318527765, 8833, -12584, -5214, -2209, 2328, -689, -90, 33, -61, -15, 69, 65, 50, 51, 54, 51, 61, 116
318528530, 8833, -12584, -5214, -2209, 2328, -689, -90, 33, -61, -15, 57, 63, 53, 53, 56, 50, 59, 120
318529385, 8833, -12584, -5214, -2209, 2328, -689, -90, 33, -61, -15, 57, 63, 53, 53, 56, 50, 59, 120
318542708, 8860, -12514, -5284, -2331, 2373, -662, -66, 51, -54, -27, 57, 63, 53, 53, 56, 50, 59, 120
318543570, 8860, -12514, -5284, -2331, 2373, -662, -66, 51, -54, -27, 70, 58, 54, 55, 58, 50, 57, 114
318544330, 8860, -12514, -5284, -2331, 2373, -662, -66, 51, -54, -27, 70, 58, 54, 55, 58, 50, 57, 114
318565246, 8886, -12444, -5349, -2454, 2395, -633, -78, 58, -29, -1, 70, 58, 54, 55, 58, 50, 57, 114
318566055, 8886, -12444, -5349, -2454, 2395, -633, -78, 58, -29, -1, 72, 56, 53, 53, 57, 51, 47, 81
318566920, 8886, -12444, -5349, -2454, 2395, -633, -78, 58, -29, -1, 72, 56, 53, 53, 57, 51, 47, 81
318578908, 8909, -12377, -5409, -2576, 2410, -629, -77, 34, -15, 16, 72, 56, 53, 53, 57, 51, 47, 81
318586996, 8909, -12377, -5409, -2576, 2410, -629, -77, 34, -15, 16, 68, 54, 49, 47, 50, 48, 44, 68
318587832, 8909, -12377, -5409, -2576, 2410, -629, -77, 34, -15, 16, 68, 54, 49, 47, 50, 48, 44, 68
318602735, 8923, -12313, -5469, -2706, 2452, -626, -75, -30, 0, -14, 68, 54, 49, 47, 50, 48, 44, 68
318603548, 8923, -12313, -5469, -2706, 2452, -626, -75, -30, 0, -14, 62, 62, 61, 55, 60, 50, 51, 67
318604340, 8923, -12313, -5469, -2706, 2452, -626, -75, -30, 0, -14, 62, 62, 61, 55, 60, 50, 51, 67
318625199, 8913, -12263, -5528, -2838, 2416, -628, -141, -148, -11, -38, 62, 62, 61, 55, 60, 50, 51, 67
318626004, 8913, -12263, -5528, -2838, 2416, -628, -141, -148, -11, -38, 79, 183, 173, 92, 104, 100, 88, 79
318626840, 8913, -12263, -5528, -2838, 2416, -628, -141, -148, -11, -38, 79, 183, 173, 92, 104, 100, 88, 79
318647733, 8833, -12256, -5596, -2984, 2349, -412, -200, -525, -122, -82, 79, 183, 173, 92, 104, 100, 88, 79
318648542, 8833, -12256, -5596, -2984, 2349, -412, -200, -525, -122, -82, 96, 240, 267, 123, 173, 185, 178, 159
318649355, 8833, -12256, -5596, -2984, 2349, -412, -200, -525, -122, -82, 96, 240, 267, 123, 173, 185, 178, 159
318662716, 8652, -12306, -5662, -3177, 2367, -296, -132, -1226, -208, -193, 96, 240, 267, 123, 173, 185, 178, 159
318663507, 8652, -12306, -5662, -3177, 2367, -296, -132, -1226, -208, -193, 156, 265, 307, 147, 209, 256, 244, 233
318664330, 8652, -12306, -5662, -3177, 2367, -296, -132, -1226, -208, -193, 156, 265, 307, 147, 209, 256, 244, 233
318685249, 8330, -12488, -5672, -3309, 2455, -350, -130, -2149, -412, -252, 156, 265, 307, 147, 209, 256, 244, 233
318686059, 8330, -12488, -5672, -3309, 2455, -350, -130, -2149, -412, -252, 188, 295, 322, 170, 233, 279, 262, 313
318686879, 8330, -12488, -5672, -3309, 2455, -350, -130, -2149, -412, -252, 188, 295, 322, 170, 233, 279, 262, 313
318707709, 7946, -12690, -5669, -3483, 2633, -459, -283, -2558, -346, -345, 188, 295, 322, 170, 233, 279, 262, 313
318708514, 7946, -12690, -5669, -3483, 2633, -459, -283, -2558, -346, -345, 200, 339, 375, 220, 283, 289, 278, 333
318709330, 7946, -12690, -5669, -3483, 2633, -459, -283, -2558, -346, -345, 200, 339, 375, 220, 283, 289, 278, 333
318722722, 7494, -12957, -5557, -3679, 2739, -511, -642, -3185, -158, 101, 200, 339, 375, 220, 283, 289, 278, 333
318723531, 7494, -12957, -5557, -3679, 2739, -511, -642, -3185, -158, 101, 205, 314, 393, 229, 317, 309, 324, 426
318724347, 7494, -12957, -5557, -3679, 2739, -511, -642, -3185, -158, 101, 205, 314, 393, 229, 317, 309, 324, 426
318745257, 7026, -13268, -5279, -3896, 2789, -618, -874, -3606, 282, 834, 205, 314, 393, 229, 317, 309, 324, 426
318746061, 7026, -13268, -5279, -3896, 2789, -618, -874, -3606, 282, 834, 235, 306, 355, 220, 297, 288, 304, 487
318746839, 7026, -13268, -5279, -3896, 2789, -618, -874, -3606, 282, 834, 235, 306, 355, 220, 297, 288, 304, 487
318767716, 6554, -13587, -4909, -4098, 2591, -960, -905, -3773, 420, 1238, 235, 306, 355, 220, 297, 288, 304, 487
318768497, 6554, -13587, -4909, -4098, 2591, -960, -905, -3773, 420, 1238, 256, 315, 345, 243, 278, 238, 269, 532
318769330, 6554, -13587, -4909, -4098, 2591, -960, -905, -3773, 420, 1238, 256, 315, 345, 243, 278, 238, 269, 532
318782700, 6081, -13863, -4599, -4259, 1947, -2293, -657, -3655, 156, 806, 256, 315, 345, 243, 278, 238, 269, 532
318783500, 6081, -13863, -4599, -4259, 1947, -2293, -657, -3655, 156, 806, 272, 300, 375, 278, 271, 277, 306, 562
318784322, 6081, -13863, -4599, -4259, 1947, -2293, -657, -3655, 156, 806, 272, 300, 375, 278, 271, 277, 306, 562
318805239, 5673, -14046, -4445, -4386, 1715, -3261, -1085, -2944, -41, -20, 272, 300, 375, 278, 271, 277, 306, 562
318806009, 5673, -14046, -4445, -4386, 1715, -3261, -1085, -2944, -41, -20, 271, 256, 354, 292, 241, 314, 342, 615
318806830, 5673, -14046, -4445, -4386, 1715, -3261, -1085, -2944, -41, -20, 271, 256, 354, 292, 241, 314, 342, 615
