Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
169708713, -8641, 4416, 12827, 3118, 4016, -598, -2499, -351, 2729, -1525, 0, 0, 0, 0, 0, 0, 0, 0
169709546, -8927, 4188, 12628, 3425, 4055, -648, -2198, -494, 2650, -1409, 0, 0, 0, 0, 0, 0, 0, 0
169723008, -9172, 3990, 12437, 3700, 3912, -551, -1843, -497, 2360, -1242, 0, 0, 0, 0, 0, 0, 0, 0
169738011, -9347, 3852, 12283, 3916, 3763, -495, -1484, -476, 1771, -948, 0, 0, 0, 0, 0, 0, 0, 0
169760481, -9421, 3834, 12211, 3981, 3733, -649, -1439, -377, 972, -636, 0, 0, 0, 0, 0, 0, 0, 0
169776146, -9421, 3834, 12211, 3981, 3733, -649, -1439, -377, 972, -636, 28, 27, 43, 103, 50, 25, 32, 70
169776961, -9421, 3834, 12211, 3981, 3733, -649, -1439, -377, 972, -636, 28, 27, 43, 103, 50, 25, 32, 70
169783084, -9415, 3832, 12234, 3928, 3927, -738, -1763, 71, 302, -479, 28, 27, 43, 103, 50, 25, 32, 70
169791108, -9415, 3832, 12234, 3928, 3927, -738, -1763, 71, 302, -479, 32, 31, 49, 107, 48, 25, 40, 68
169791976, -9415, 3832, 12234, 3928, 3927, -738, -1763, 71, 302, -479, 32, 31, 49, 107, 48, 25, 40, 68
169798090, -9364, 3800, 12326, 3791, 4035, -600, -2102, 554, -39, -400, 32, 31, 49, 107, 48, 25, 40, 68
169813700, -9364, 3800, 12326, 3791, 4035, -600, -2102, 554, -39, -400, 34, 31, 50, 106, 50, 26, 44, 74
169814411, -9364, 3800, 12326, 3791, 4035, -600, -2102, 554, -39, -400, 34, 31, 50, 106, 50, 26, 44, 74
169820602, -9290, 3755, 12445, 3624, 3967, -461, -2312, 742, -169, -323, 34, 31, 50, 106, 50, 26, 44, 74
169836085, -9290, 3755, 12445, 3624, 3967, -461, -2312, 742, -169, -323, 54, 82, 46, 93, 48, 25, 45, 70
169836974, -9290, 3755, 12445, 3624, 3967, -461, -2312, 742, -169, -323, 54, 82, 46, 93, 48, 25, 45, 70
169843063, -9198, 3721, 12569, 3464, 3869, -343, -2436, 674, -239, -241, 54, 82, 46, 93, 48, 25, 45, 70
169851138, -9198, 3721, 12569, 3464, 3869, -343, -2436, 674, -239, -241, 73, 121, 62, 68, 51, 24, 42, 60
169851945, -9198, 3721, 12569, 3464, 3869, -343, -2436, 674, -239, -241, 73, 121, 62, 68, 51, 24, 42, 60
