Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
220679061, -630, 15101, 5172, 3635, 1915, 332, -3988, -9, -5, -2, 0, 0, 0, 0, 0, 0, 0, 0
220679869, -623, 15103, 5171, 3632, 1915, 320, -4003, -28, -24, 7, 0, 0, 0, 0, 0, 0, 0, 0
220700923, -617, 15106, 5167, 3626, 1908, 312, -4014, -28, -36, 18, 0, 0, 0, 0, 0, 0, 0, 0
220715888, -610, 15109, 5163, 3619, 1912, 316, -4007, -26, -48, 21, 0, 0, 0, 0, 0, 0, 0, 0
220738413, -600, 15115, 5156, 3607, 1888, 313, -4024, -44, -74, 31, 0, 0, 0, 0, 0, 0, 0, 0
220746531, -600, 15115, 5156, 3607, 1888, 313, -4024, -44, -74, 31, 69, 69, 63, 63, 82, 66, 80, 77
220747304, -600, 15115, 5156, 3607, 1888, 313, -4024, -44, -74, 31, 69, 69, 63, 63, 82, 66, 80, 77
220760909, -564, 15124, 5144, 3591, 1886, 342, -3996, -168, -154, 41, 69, 69, 63, 63, 82, 66, 80, 77
220768978, -564, 15124, 5144, 3591, 1886, 342, -3996, -168, -154, 41, 86, 80, 86, 74, 81, 66, 97, 98
220769869, -564, 15124, 5144, 3591, 1886, 342, -3996, -168, -154, 41, 86, 80, 86, 74, 81, 66, 97, 98
220775956, -471, 15141, 5106, 3587, 1923, 505, -4004, -455, -220, 142, 86, 80, 86, 74, 81, 66, 97, 98
220791466, -471, 15141, 5106, 3587, 1923, 505, -4004, -455, -220, 142, 99, 87, 94, 82, 82, 74, 111, 111
220792273, -471, 15141, 5106, 3587, 1923, 505, -4004, -455, -220, 142, 99, 87, 94, 82, 82, 74, 111, 111
220798449, -339, 15165, 5041, 3590, 1896, 446, -4075, -764, -238, 219, 99, 87, 94, 82, 82, 74, 111, 111
220806497, -339, 15165, 5041, 3590, 1896, 446, -4075, -764, -238, 219, 99, 87, 106, 83, 82, 75, 113, 113
220807304, -339, 15165, 5041, 3590, 1896, 446, -4075, -764, -238, 219, 99, 87, 106, 83, 82, 75, 113, 113
220820890, -214, 15190, 4975, 3588, 1843, 343, -4023, -803, -252, 199, 99, 87, 106, 83, 82, 75, 113, 113
220828995, -214, 15190, 4975, 3588, 1843, 343, -4023, -803, -252, 199, 95, 81, 115, 88, 79, 73, 110, 110
220829828, -214, 15190, 4975, 3588, 1843, 343, -4023, -803, -252, 199, 95, 81, 115, 88, 79, 73, 110, 110
220835985, -137, 15209, 4928, 3575, 1840, 316, -4003, -538, -231, 137, 95, 81, 115, 88, 79, 73, 110, 110
220851480, -137, 15209, 4928, 3575, 1840, 316, -4003, -538, -231, 137, 81, 73, 118, 88, 60, 56, 86, 93
220852270, -137, 15209, 4928, 3575, 1840, 316, -4003, -538, -231, 137, 81, 73, 118, 88, 60, 56, 86, 93
220858498, -108, 15227, 4892, 3550, 1824, 357, -4003, -236, -215, 144, 81, 73, 118, 88, 60, 56, 86, 93
220866478, -108, 15227, 4892, 3550, 1824, 357, -4003, -236, -215, 144, 61, 61, 110, 86, 57, 52, 69, 72
220867305, -108, 15227, 4892, 3550, 1824, 357, -4003, -236, -215, 144, 61, 61, 110, 86, 57, 52, 69, 72
220880888, -113, 15246, 4855, 3519, 1806, 393, -3997, -26, -190, 203, 61, 61, 110, 86, 57, 52, 69, 72
220889002, -113, 15246, 4855, 3519, 1806, 393, -3997, -26, -190, 203, 41, 52, 109, 77, 43, 32, 41, 53
220889827, -113, 15246, 4855, 3519, 1806, 393, -3997, -26, -190, 203, 41, 52, 109, 77, 43, 32, 41, 53
220895957, -133, 15259, 4830, 3498, 1829, 445, -3935, 91, -134, 163, 41, 52, 109, 77, 43, 32, 41, 53
220911565, -133, 15259, 4830, 3498, 1829, 445, -3935, 91, -134, 163, 57, 68, 101, 72, 52, 44, 59, 68
220912341, -133, 15259, 4830, 3498, 1829, 445, -3935, 91, -134, 163, 57, 68, 101, 72, 52, 44, 59, 68
220918485, -147, 15267, 4814, 3483, 1852, 461, -3948, 76, -119, 102, 57, 68, 101, 72, 52, 44, 59, 68
220926509, -147, 15267, 4814, 3483, 1852, 461, -3948, 76, -119, 102, 72, 82, 109, 70, 62, 58, 78, 90
220927301, -147, 15267, 4814, 3483, 1852, 461, -3948, 76, -119, 102, 72, 82, 109, 70, 62, 58, 78, 90
220940895, -116, 15279, 4783, 3474, 1867, 554, -3953, -149, -181, 154, 72, 82, 109, 70, 62, 58, 78, 90
220949060, -116, 15279, 4783, 3474, 1867, 554, -3953, -149, -181, 154, 78, 89, 107, 75, 66, 62, 91, 94
220949867, -116, 15279, 4783, 3474, 1867, 554, -3953, -149, -181, 154, 78, 89, 107, 75, 66, 62, 91, 94
220955981, -7, 15304, 4698, 3480, 1920, 632, -3934, -622, -277, 364, 78, 89, 107, 75, 66, 62, 91, 94
220971516, -7, 15304, 4698, 3480, 1920, 632, -3934, -622, -277, 364, 94, 92, 104, 69, 72, 73, 117, 114
220972374, -7, 15304, 4698, 3480, 1920, 632, -3934, -622, -277, 364, 94, 92, 104, 69, 72, 73, 117, 114
220978480, 173, 15339, 4562, 3503, 1889, 686, -3975, -1104, -296, 557, 94, 92, 104, 69, 72, 73, 117, 114
220986539, 173, 15339, 4562, 3503, 1889, 686, -3975, -1104, -296, 557, 105, 93, 101, 92, 70, 81, 150, 131
220987329, 173, 15339, 4562, 3503, 1889, 686, -3975, -1104, -296, 557, 105, 93, 101, 92, 70, 81, 150, 131
221000870, 420, 15379, 4387, 3533, 1801, 733, -3998, -1539, -326, 682, 105, 93, 101, 92, 70, 81, 150, 131
221009011, 420, 15379, 4387, 3533, 1801, 733, -3998, -1539, -326, 682, 103, 85, 98, 94, 62, 78, 151, 123
221009829, 420, 15379, 4387, 3533, 1801, 733, -3998, -1539, -326, 682, 103, 85, 98, 94, 62, 78, 151, 123
221015997, 717, 15410, 4203, 3572, 1772, 793, -3931, -1842, -315, 656, 103, 85, 98, 94, 62, 78, 151, 123
221031529, 717, 15410, 4203, 3572, 1772, 793, -3931, -1842, -315, 656, 92, 74, 96, 97, 61, 74, 145, 108
221032330, 717, 15410, 4203, 3572, 1772, 793, -3931, -1842, -315, 656, 92, 74, 96, 97, 61, 74, 145, 108
221038458, 1022, 15423, 4043, 3625, 1779, 742, -3883, -1907, -227, 483, 92, 74, 96, 97, 61, 74, 145, 108
221046505, 1022, 15423, 4043, 3625, 1779, 742, -3883, -1907, -227, 483, 95, 83, 127, 104, 65, 76, 148, 123
221047326, 1022, 15423, 4043, 3625, 1779, 742, -3883, -1907, -227, 483, 95, 83, 127, 104, 65, 76, 148, 123
221060828, 1285, 15425, 3902, 3689, 1732, 738, -3840, -1689, -85, 421, 95, 83, 127, 104, 65, 76, 148, 123
221069042, 1285, 15425, 3902, 3689, 1732, 738, -3840, -1689, -85, 421, 96, 82, 125, 99, 58, 71, 130, 116
221069830, 1285, 15425, 3902, 3689, 1732, 738, -3840, -1689, -85, 421, 96, 82, 125, 99, 58, 71, 130, 116
221076011, 1466, 15431, 3738, 3766, 1714, 798, -3851, -1461, 82, 589, 96, 82, 125, 99, 58, 71, 130, 116
221091523, 1466, 15431, 3738, 3766, 1714, 798, -3851, -1461, 82, 589, 108, 91, 141, 88, 59, 66, 102, 121
221092326, 1466, 15431, 3738, 3766, 1714, 798, -3851, -1461, 82, 589, 108, 91, 141, 88, 59, 66, 102, 121
221098459, 1621, 15440, 3544, 3852, 1779, 933, -3864, -1343, 145, 798, 108, 91, 141, 88, 59, 66, 102, 121
221106523, 1621, 15440, 3544, 3852, 1779, 933, -3864, -1343, 145, 798, 122, 99, 155, 101, 59, 65, 98, 135
221107349, 1621, 15440, 3544, 3852, 1779, 933, -3864, -1343, 145, 798, 122, 99, 155, 101, 59, 65, 98, 135
221120880, 1813, 15436, 3351, 3953, 1876, 1130, -3797, -1504, 161, 754, 122, 99, 155, 101, 59, 65, 98, 135
221129011, 1813, 15436, 3351, 3953, 1876, 1130, -3797, -1504, 161, 754, 139, 106, 153, 110, 55, 63, 102, 156
221129821, 1813, 15436, 3351, 3953, 1876, 1130, -3797, -1504, 161, 754, 139, 106, 153, 110, 55, 63, 102, 156
221135973, 2057, 15415, 3196, 4044, 1939, 1171, -3772, -1650, 124, 500, 139, 106, 153, 110, 55, 63, 102, 156
221151486, 2057, 15415, 3196, 4044, 1939, 1171, -3772, -1650, 124, 500, 141, 105, 135, 98, 46, 59, 95, 152
221152304, 2057, 15415, 3196, 4044, 1939, 1171, -3772, -1650, 124, 500, 141, 105, 135, 98, 46, 59, 95, 152
221158495, 2221, 15399, 3070, 4112, 1913, 1113, -3796, -1347, 106, 353, 141, 105, 135, 98, 46, 59, 95, 152
221166504, 2221, 15399, 3070, 4112, 1913, 1113, -3796, -1347, 106, 353, 145, 108, 139, 100, 44, 54, 97, 153
221167285, 2221, 15399, 3070, 4112, 1913, 1113, -3796, -1347, 106, 353, 145, 108, 139, 100, 44, 54, 97, 153
221180902, 2334, 15392, 2938, 4175, 1857, 1146, -3745, -1076, 156, 477, 145, 108, 139, 100, 44, 54, 97, 153
221188978, 2334, 15392, 2938, 4175, 1857, 1146, -3745, -1076, 156, 477, 134, 109, 138, 99, 48, 50, 91, 137
221189825, 2334, 15392, 2938, 4175, 1857, 1146, -3745, -1076, 156, 477, 134, 109, 138, 99, 48, 50, 91, 137
221195953, 2486, 15371, 2772, 4275, 1877, 1327, -3732, -1326, 321, 642, 134, 109, 138, 99, 48, 50, 91, 137
221211504, 2486, 15371, 2772, 4275, 1877, 1327, -3732, -1326, 321, 642, 132, 125, 152, 87, 48, 50, 89, 131
221212303, 2486, 15371, 2772, 4275, 1877, 1327, -3732, -1326, 321, 642, 132, 125, 152, 87, 48, 50, 89, 131
