Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
334718411, 1432, -7847, -14311, 193, 444, -335, -3109, 41, -62, 79, 0, 0, 0, 0, 0, 0, 0, 0
334725926, 1451, -7856, -14303, 214, 443, -414, -3100, 106, 40, 68, 0, 0, 0, 0, 0, 0, 0, 0
334733414, 1501, -7861, -14295, 236, 482, -406, -3120, 216, 177, 46, 0, 0, 0, 0, 0, 0, 0, 0
334763426, 1583, -7851, -14291, 248, 522, -298, -3115, 327, 356, -27, 0, 0, 0, 0, 0, 0, 0, 0
334778431, 1705, -7811, -14300, 189, 592, -183, -3195, 177, 724, -239, 0, 0, 0, 0, 0, 0, 0, 0
334786514, 1705, -7811, -14300, 189, 592, -183, -3195, 177, 724, -239, 65, 41, 51, 95, 60, 68, 155, 233
334787320, 1705, -7811, -14300, 189, 592, -183, -3195, 177, 724, -239, 65, 41, 51, 95, 60, 68, 155, 233
334800910, 1858, -7742, -14320, 24, 570, -234, -3328, -285, 1227, -489, 65, 41, 51, 95, 60, 68, 155, 233
334809043, 1858, -7742, -14320, 24, 570, -234, -3328, -285, 1227, -489, 62, 41, 55, 104, 67, 67, 145, 228
334809864, 1858, -7742, -14320, 24, 570, -234, -3328, -285, 1227, -489, 62, 41, 55, 104, 67, 67, 145, 228
334815977, 2076, -7659, -14334, -176, 564, -436, -3502, -357, 1619, -582, 62, 41, 55, 104, 67, 67, 145, 228
334831549, 2076, -7659, -14334, -176, 564, -436, -3502, -357, 1619, -582, 72, 46, 62, 108, 75, 70, 150, 230
334832369, 2076, -7659, -14334, -176, 564, -436, -3502, -357, 1619, -582, 72, 46, 62, 108, 75, 70, 150, 230
334838521, 2354, -7558, -14340, -411, 752, -535, -3696, -379, 2020, -669, 72, 46, 62, 108, 75, 70, 150, 230
334846523, 2354, -7558, -14340, -411, 752, -535, -3696, -379, 2020, -669, 85, 49, 67, 114, 92, 62, 143, 234
334847327, 2354, -7558, -14340, -411, 752, -535, -3696, -379, 2020, -669, 85, 49, 67, 114, 92, 62, 143, 234
334860901, 2702, -7428, -14335, -685, 918, -593, -3720, -377, 2478, -811, 85, 49, 67, 114, 92, 62, 143, 234
334869023, 2702, -7428, -14335, -685, 918, -593, -3720, -377, 2478, -811, 79, 46, 70, 103, 94, 64, 101, 165
334869822, 2702, -7428, -14335, -685, 918, -593, -3720, -377, 2478, -811, 79, 46, 70, 103, 94, 64, 101, 165
334876023, 3082, -7273, -14319, -1016, 868, -522, -3892, -554, 2851, -956, 79, 46, 70, 103, 94, 64, 101, 165
334891573, 3082, -7273, -14319, -1016, 868, -522, -3892, -554, 2851, -956, 85, 52, 64, 88, 96, 59, 83, 149
334892371, 3082, -7273, -14319, -1016, 868, -522, -3892, -554, 2851, -956, 85, 52, 64, 88, 96, 59, 83, 149
334898530, 3476, -7102, -14284, -1376, 877, -650, -3850, -674, 3042, -1029, 85, 52, 64, 88, 96, 59, 83, 149
