Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
135312929, 8819, 80, -13808, -18, 4041, 24, -1831, 13, -7, -21, 0, 0, 0, 0, 0, 0, 0, 0
135313820, 8822, 84, -13806, -15, 4044, 13, -1819, 20, -10, -23, 0, 0, 0, 0, 0, 0, 0, 0
135327246, 8826, 90, -13803, -11, 4053, 20, -1807, 33, -4, -22, 0, 0, 0, 0, 0, 0, 0, 0
135349751, 8828, 90, -13802, -12, 4062, 67, -1773, 3, -14, -5, 0, 0, 0, 0, 0, 0, 0, 0
135372221, 8836, 70, -13797, -48, 4070, 189, -1688, -195, -49, 61, 0, 0, 0, 0, 0, 0, 0, 0
135380390, 8836, 70, -13797, -48, 4070, 189, -1688, -195, -49, 61, 21, 49, 77, 64, 32, 34, 61, 46
135381191, 8836, 70, -13797, -48, 4070, 189, -1688, -195, -49, 61, 21, 49, 77, 64, 32, 34, 61, 46
135387360, 8846, 6, -13790, -121, 4116, 242, -1628, -493, -64, 179, 21, 49, 77, 64, 32, 34, 61, 46
135395330, 8846, 6, -13790, -121, 4116, 242, -1628, -493, -64, 179, 24, 48, 95, 167, 51, 48, 105, 30
135396132, 8846, 6, -13790, -121, 4116, 242, -1628, -493, -64, 179, 24, 48, 95, 167, 51, 48, 105, 30
135409738, 8868, -101, -13775, -190, 4149, 68, -1696, -643, 46, 301, 24, 48, 95, 167, 51, 48, 105, 30
135417895, 8868, -101, -13775, -190, 4149, 68, -1696, -643, 46, 301, 27, 49, 131, 182, 83, 55, 154, 33
135418704, 8868, -101, -13775, -190, 4149, 68, -1696, -643, 46, 301, 27, 49, 131, 182, 83, 55, 154, 33
135432216, 8898, -221, -13754, -183, 4185, -183, -1687, -382, 94, 484, 27, 49, 131, 182, 83, 55, 154, 33
135440367, 8898, -221, -13754, -183, 4185, -183, -1687, -382, 94, 484, 31, 53, 180, 198, 148, 131, 184, 41
135441184, 8898, -221, -13754, -183, 4185, -183, -1687, -382, 94, 484, 31, 53, 180, 198, 148, 131, 184, 41
135447336, 8937, -356, -13727, -97, 4289, -193, -1709, -33, 152, 833, 31, 53, 180, 198, 148, 131, 184, 41
135454663, 8937, -356, -13727, -97, 4289, -193, -1709, -33, 152, 833, 36, 67, 257, 267, 177, 299, 397, 104
135462166, 8937, -356, -13727, -97, 4289, -193, -1709, -33, 152, 833, 36, 67, 257, 267, 177, 299, 397, 104
135469869, 8999, -515, -13681, 59, 4422, -153, -1756, 257, 324, 1252, 36, 67, 257, 267, 177, 299, 397, 104
135477843, 8999, -515, -13681, 59, 4422, -153, -1756, 257, 324, 1252, 43, 74, 269, 297, 207, 478, 640, 227
135478647, 8999, -515, -13681, 59, 4422, -153, -1756, 257, 324, 1252, 43, 74, 269, 297, 207, 478, 640, 227
135492220, 9079, -741, -13615, 273, 4617, -138, -1629, 333, 505, 1755, 43, 74, 269, 297, 207, 478, 640, 227
135500388, 9079, -741, -13615, 273, 4617, -138, -1629, 333, 505, 1755, 51, 127, 309, 308, 323, 678, 804, 472
135501215, 9079, -741, -13615, 273, 4617, -138, -1629, 333, 505, 1755, 51, 127, 309, 308, 323, 678, 804, 472
135507357, 9205, -1076, -13501, 535, 4775, -431, -1572, 229, 862, 2418, 51, 127, 309, 308, 323, 678, 804, 472
135522891, 9205, -1076, -13501, 535, 4775, -431, -1572, 229, 862, 2418, 51, 172, 320, 332, 448, 794, 920, 487
135523705, 9205, -1076, -13501, 535, 4775, -431, -1572, 229, 862, 2418, 51, 172, 320, 332, 448, 794, 920, 487
135529852, 9332, -1469, -13355, 911, 4456, -1106, -1231, 556, 925, 3004, 51, 172, 320, 332, 448, 794, 920, 487
135537853, 9332, -1469, -13355, 911, 4456, -1106, -1231, 556, 925, 3004, 67, 197, 332, 351, 458, 914, 1002, 548
135538640, 9332, -1469, -13355, 911, 4456, -1106, -1231, 556, 925, 3004, 67, 197, 332, 351, 458, 914, 1002, 548
135552218, 9409, -1886, -13202, 1432, 4093, -1482, -1134, 1107, 665, 3588, 67, 197, 332, 351, 458, 914, 1002, 548
135560395, 9409, -1886, -13202, 1432, 4093, -1482, -1134, 1107, 665, 3588, 75, 215, 307, 316, 473, 934, 1056, 629
135561189, 9409, -1886, -13202, 1432, 4093, -1482, -1134, 1107, 665, 3588, 75, 215, 307, 316, 473, 934, 1056, 629
135567341, 9441, -2272, -13028, 2101, 3744, -1506, -1120, 1881, 437, 3994, 75, 215, 307, 316, 473, 934, 1056, 629
135582870, 9441, -2272, -13028, 2101, 3744, -1506, -1120, 1881, 437, 3994, 149, 225, 301, 291, 467, 894, 979, 746
135583688, 9441, -2272, -13028, 2101, 3744, -1506, -1120, 1881, 437, 3994, 149, 225, 301, 291, 467, 894, 979, 746
135589840, 9421, -2599, -12830, 2885, 3375, -1463, -1173, 2582, 189, 4196, 149, 225, 301, 291, 467, 894, 979, 746
135597894, 9421, -2599, -12830, 2885, 3375, -1463, -1173, 2582, 189, 4196, 176, 229, 263, 236, 401, 768, 965, 732
135598683, 9421, -2599, -12830, 2885, 3375, -1463, -1173, 2582, 189, 4196, 176, 229, 263, 236, 401, 768, 965, 732
135612226, 9341, -2893, -12614, 3702, 3232, -1483, -1374, 2829, -54, 4279, 176, 229, 263, 236, 401, 768, 965, 732
135620379, 9341, -2893, -12614, 3702, 3232, -1483, -1374, 2829, -54, 4279, 204, 204, 358, 220, 261, 679, 925, 764
135621187, 9341, -2893, -12614, 3702, 3232, -1483, -1374, 2829, -54, 4279, 204, 204, 358, 220, 261, 679, 925, 764
135627343, 9214, -3149, -12381, 4509, 3122, -1406, -1470, 2912, -222, 4197, 204, 204, 358, 220, 261, 679, 925, 764
135642872, 9214, -3149, -12381, 4509, 3122, -1406, -1470, 2912, -222, 4197, 268, 186, 349, 190, 224, 512, 908, 749
135643677, 9214, -3149, -12381, 4509, 3122, -1406, -1470, 2912, -222, 4197, 268, 186, 349, 190, 224, 512, 908, 749
135649817, 9034, -3325, -12162, 5278, 3213, -1237, -1507, 2957, -571, 3879, 268, 186, 349, 190, 224, 512, 908, 749
135657874, 9034, -3325, -12162, 5278, 3213, -1237, -1507, 2957, -571, 3879, 270, 176, 336, 178, 177, 398, 796, 692
135658696, 9034, -3325, -12162, 5278, 3213, -1237, -1507, 2957, -571, 3879, 270, 176, 336, 178, 177, 398, 796, 692
135672270, 8845, -3443, -11944, 5974, 3752, -1066, -1540, 2839, -638, 3523, 270, 176, 336, 178, 177, 398, 796, 692
135680365, 8845, -3443, -11944, 5974, 3752, -1066, -1540, 2839, -638, 3523, 239, 209, 353, 178, 162, 307, 772, 561
135681187, 8845, -3443, -11944, 5974, 3752, -1066, -1540, 2839, -638, 3523, 239, 209, 353, 178, 162, 307, 772, 561
135687342, 8706, -3548, -11681, 6604, 4331, -881, -1517, 2630, -300, 2928, 239, 209, 353, 178, 162, 307, 772, 561
135702862, 8706, -3548, -11681, 6604, 4331, -881, -1517, 2630, -300, 2928, 218, 218, 353, 188, 146, 270, 650, 416
135703708, 8706, -3548, -11681, 6604, 4331, -881, -1517, 2630, -300, 2928, 218, 218, 353, 188, 146, 270, 650, 416
135709821, 8689, -3606, -11381, 7100, 5027, -613, -1400, 2461, 357, 2106, 218, 218, 353, 188, 146, 270, 650, 416
135717864, 8689, -3606, -11381, 7100, 5027, -613, -1400, 2461, 357, 2106, 197, 259, 318, 227, 132, 192, 584, 350
135718692, 8689, -3606, -11381, 7100, 5027, -613, -1400, 2461, 357, 2106, 197, 259, 318, 227, 132, 192, 584, 350
135732270, 8866, -3688, -11056, 7347, 5648, -405, -1493, 1724, 1546, 1026, 197, 259, 318, 227, 132, 192, 584, 350
135740366, 8866, -3688, -11056, 7347, 5648, -405, -1493, 1724, 1546, 1026, 97, 462, 365, 444, 167, 143, 463, 291
135741163, 8866, -3688, -11056, 7347, 5648, -405, -1493, 1724, 1546, 1026, 97, 462, 365, 444, 167, 143, 463, 291
135747323, 9339, -3827, -10659, 7278, 5955, 112, -1433, 912, 3424, -371, 97, 462, 365, 444, 167, 143, 463, 291
135762839, 9339, -3827, -10659, 7278, 5955, 112, -1433, 912, 3424, -371, 145, 607, 571, 693, 267, 149, 426, 258
135763685, 9339, -3827, -10659, 7278, 5955, 112, -1433, 912, 3424, -371, 145, 607, 571, 693, 267, 149, 426, 258
135769820, 10151, -4095, -10155, 6746, 5968, 1011, -1977, -481, 5942, -2089, 145, 607, 571, 693, 267, 149, 426, 258
135777869, 10151, -4095, -10155, 6746, 5968, 1011, -1977, -481, 5942, -2089, 165, 782, 775, 846, 479, 195, 386, 183
135778684, 10151, -4095, -10155, 6746, 5968, 1011, -1977, -481, 5942, -2089, 165, 782, 775, 846, 479, 195, 386, 183
135792237, 11131, -4242, -9610, 5847, 5292, 460, -2967, -1004, 6907, -4116, 165, 782, 775, 846, 479, 195, 386, 183
135800345, 11131, -4242, -9610, 5847, 5292, 460, -2967, -1004, 6907, -4116, 196, 883, 999, 949, 595, 207, 331, 179
135801166, 11131, -4242, -9610, 5847, 5292, 460, -2967, -1004, 6907, -4116, 196, 883, 999, 949, 595, 207, 331, 179
135807319, 12101, -4293, -9078, 4600, 2549, -378, -3717, -1830, 7152, -5768, 196, 883, 999, 949, 595, 207, 331, 179
135822854, 12101, -4293, -9078, 4600, 2549, -378, -3717, -1830, 7152, -5768, 202, 956, 1204, 1120, 657, 234, 462, 384
135823663, 12101, -4293, -9078, 4600, 2549, -378, -3717, -1830, 7152, -5768, 202, 956, 1204, 1120, 657, 234, 462, 384
135829832, 12886, -4648, -8480, 2979, -493, -1294, -3867, -4429, 7893, -6001, 202, 956, 1204, 1120, 657, 234, 462, 384
135837881, 12886, -4648, -8480, 2979, -493, -1294, -3867, -4429, 7893, -6001, 249, 972, 1257, 1339, 667, 321, 724, 618
135838691, 12886, -4648, -8480, 2979, -493, -1294, -3867, -4429, 7893, -6001, 249, 972, 1257, 1339, 667, 321, 724, 618
135852258, 13707, -5032, -7348, 1120, -936, -498, -1908, -4504, 10925, -6322, 249, 972, 1257, 1339, 667, 321, 724, 618
135860350, 13707, -5032, -7348, 1120, -936, -498, -1908, -4504, 10925, -6322, 411, 1075, 1276, 1450, 655, 481, 910, 886
