Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
116891450, 1922, -15659, 655, -4372, 2380, -953, -3509, -16, -4, -17, 0, 0, 0, 0, 0, 0, 0, 0
116892344, 1908, -15654, 650, -4398, 2394, -964, -3489, -29, 14, -10, 0, 0, 0, 0, 0, 0, 0, 0
116898253, 1898, -15648, 645, -4422, 2398, -990, -3494, -21, 19, -7, 0, 0, 0, 0, 0, 0, 0, 0
116920725, 1885, -15644, 636, -4446, 2400, -957, -3483, -20, 12, -32, 0, 0, 0, 0, 0, 0, 0, 0
116943253, 1875, -15639, 629, -4470, 2415, -1004, -3501, -30, 16, -33, 0, 0, 0, 0, 0, 0, 0, 0
116951745, 1875, -15639, 629, -4470, 2415, -1004, -3501, -30, 16, -33, 331, 694, 165, 103, 195, 279, 141, 194
116958849, 1875, -15639, 629, -4470, 2415, -1004, -3501, -30, 16, -33, 331, 694, 165, 103, 195, 279, 141, 194
116959797, 1868, -15634, 625, -4489, 2402, -1007, -3501, -23, 10, -9, 331, 694, 165, 103, 195, 279, 141, 194
116973848, 1868, -15634, 625, -4489, 2402, -1007, -3501, -23, 10, -9, 311, 605, 159, 101, 190, 292, 139, 207
116974672, 1868, -15634, 625, -4489, 2402, -1007, -3501, -23, 10, -9, 311, 605, 159, 101, 190, 292, 139, 207
116980817, 1867, -15633, 625, -4493, 2397, -999, -3522, 6, -2, -3, 311, 605, 159, 101, 190, 292, 139, 207
116996339, 1867, -15633, 625, -4493, 2397, -999, -3522, 6, -2, -3, 281, 715, 158, 104, 209, 319, 135, 177
116997147, 1867, -15633, 625, -4493, 2397, -999, -3522, 6, -2, -3, 281, 715, 158, 104, 209, 319, 135, 177
117003404, 1857, -15629, 621, -4510, 2405, -965, -3502, -17, -6, -4, 281, 715, 158, 104, 209, 319, 135, 177
117011333, 1857, -15629, 621, -4510, 2405, -965, -3502, -17, -6, -4, 282, 693, 136, 104, 184, 272, 130, 184
117012179, 1857, -15629, 621, -4510, 2405, -965, -3502, -17, -6, -4, 282, 693, 136, 104, 184, 272, 130, 184
117018352, 1846, -15627, 620, -4524, 2411, -1003, -3500, -57, -11, -3, 282, 693, 136, 104, 184, 272, 130, 184
