Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
16331086, 1879, -15294, 4031, -3842, 2640, -1025, -3316, 104, -158, 89, 0, 0, 0, 0, 0, 0, 0, 0
16338583, 1845, -15287, 4009, -3909, 2578, -1017, -3342, 69, -129, 57, 0, 0, 0, 0, 0, 0, 0, 0
16346177, 1801, -15283, 3983, -3972, 2542, -1007, -3385, 20, -92, 8, 0, 0, 0, 0, 0, 0, 0, 0
16361065, 1751, -15281, 3955, -4030, 2519, -1029, -3379, -32, -89, -31, 0, 0, 0, 0, 0, 0, 0, 0
16383587, 1711, -15276, 3931, -4089, 2498, -1073, -3377, -11, -58, -14, 0, 0, 0, 0, 0, 0, 0, 0
16399221, 1711, -15276, 3931, -4089, 2498, -1073, -3377, -11, -58, -14, 578, 319, 91, 49, 195, 199, 278, 168
16400035, 1711, -15276, 3931, -4089, 2498, -1073, -3377, -11, -58, -14, 578, 319, 91, 49, 195, 199, 278, 168
16406185, 1675, -15269, 3913, -4148, 2475, -1055, -3392, 12, -27, 14, 578, 319, 91, 49, 195, 199, 278, 168
16422439, 1675, -15269, 3913, -4148, 2475, -1055, -3392, 12, -27, 14, 555, 296, 83, 49, 160, 160, 195, 170
16423130, 1675, -15269, 3913, -4148, 2475, -1055, -3392, 12, -27, 14, 555, 296, 83, 49, 160, 160, 195, 170
16424138, 1639, -15261, 3899, -4204, 2457, -1043, -3393, 0, -10, 32, 555, 296, 83, 49, 160, 160, 195, 170
16444909, 1639, -15261, 3899, -4204, 2457, -1043, -3393, 0, -10, 32, 534, 304, 81, 57, 138, 154, 185, 162
16445752, 1639, -15261, 3899, -4204, 2457, -1043, -3393, 0, -10, 32, 534, 304, 81, 57, 138, 154, 185, 162
16446660, 1593, -15254, 3890, -4254, 2458, -1073, -3393, -84, -9, 25, 534, 304, 81, 57, 138, 154, 185, 162
16459181, 1593, -15254, 3890, -4254, 2458, -1073, -3393, -84, -9, 25, 328, 221, 74, 63, 134, 143, 152, 128
16459979, 1593, -15254, 3890, -4254, 2458, -1073, -3393, -84, -9, 25, 328, 221, 74, 63, 134, 143, 152, 128
16466135, 1550, -15247, 3881, -4304, 2443, -1121, -3386, -100, 4, 4, 328, 221, 74, 63, 134, 143, 152, 128
16482436, 1550, -15247, 3881, -4304, 2443, -1121, -3386, -100, 4, 4, 109, 187, 68, 66, 132, 161, 162, 136
16483191, 1550, -15247, 3881, -4304, 2443, -1121, -3386, -100, 4, 4, 109, 187, 68, 66, 132, 161, 162, 136
16484134, 1514, -15238, 3873, -4356, 2443, -1126, -3376, -70, 24, 13, 109, 187, 68, 66, 132, 161, 162, 136
16504905, 1514, -15238, 3873, -4356, 2443, -1126, -3376, -70, 24, 13, 101, 154, 63, 60, 132, 172, 196, 136
16505736, 1514, -15238, 3873, -4356, 2443, -1126, -3376, -70, 24, 13, 101, 154, 63, 60, 132, 172, 196, 136
16506669, 1484, -15230, 3862, -4403, 2434, -1113, -3379, -37, 10, 7, 101, 154, 63, 60, 132, 172, 196, 136
16519195, 1484, -15230, 3862, -4403, 2434, -1113, -3379, -37, 10, 7, 91, 159, 58, 60, 136, 174, 200, 137
16520007, 1484, -15230, 3862, -4403, 2434, -1113, -3379, -37, 10, 7, 91, 159, 58, 60, 136, 174, 200, 137
16526169, 1459, -15222, 3853, -4446, 2409, -1107, -3378, -23, 3, 13, 91, 159, 58, 60, 136, 174, 200, 137
16542453, 1459, -15222, 3853, -4446, 2409, -1107, -3378, -23, 3, 13, 79, 135, 50, 53, 136, 173, 198, 138
16543205, 1459, -15222, 3853, -4446, 2409, -1107, -3378, -23, 3, 13, 79, 135, 50, 53, 136, 173, 198, 138
16544162, 1436, -15215, 3846, -4482, 2415, -1114, -3377, -26, -24, 20, 79, 135, 50, 53, 136, 173, 198, 138
16564848, 1436, -15215, 3846, -4482, 2415, -1114, -3377, -26, -24, 20, 74, 125, 56, 45, 132, 137, 198, 124
16565695, 1436, -15215, 3846, -4482, 2415, -1114, -3377, -26, -24, 20, 74, 125, 56, 45, 132, 137, 198, 124
16566616, 1419, -15209, 3837, -4516, 2408, -1142, -3360, -18, -38, 11, 74, 125, 56, 45, 132, 137, 198, 124
16579207, 1419, -15209, 3837, -4516, 2408, -1142, -3360, -18, -38, 11, 67, 143, 56, 42, 133, 96, 163, 100
16580010, 1419, -15209, 3837, -4516, 2408, -1142, -3360, -18, -38, 11, 67, 143, 56, 42, 133, 96, 163, 100
16586159, 1400, -15204, 3828, -4548, 2414, -1129, -3351, -23, -38, 7, 67, 143, 56, 42, 133, 96, 163, 100
16602430, 1400, -15204, 3828, -4548, 2414, -1129, -3351, -23, -38, 7, 61, 138, 57, 43, 134, 73, 100, 93
16603216, 1400, -15204, 3828, -4548, 2414, -1129, -3351, -23, -38, 7, 61, 138, 57, 43, 134, 73, 100, 93
16604157, 1390, -15197, 3818, -4583, 2412, -1157, -3345, 18, -24, 1, 61, 138, 57, 43, 134, 73, 100, 93
16624881, 1390, -15197, 3818, -4583, 2412, -1157, -3345, 18, -24, 1, 65, 127, 88, 42, 129, 68, 70, 82
16625708, 1390, -15197, 3818, -4583, 2412, -1157, -3345, 18, -24, 1, 65, 127, 88, 42, 129, 68, 70, 82
16626637, 1388, -15190, 3801, -4620, 2392, -1136, -3336, 76, -9, -22, 65, 127, 88, 42, 129, 68, 70, 82
16639205, 1388, -15190, 3801, -4620, 2392, -1136, -3336, 76, -9, -22, 354, 136, 128, 43, 110, 63, 68, 81
16640024, 1388, -15190, 3801, -4620, 2392, -1136, -3336, 76, -9, -22, 354, 136, 128, 43, 110, 63, 68, 81
16646193, 1383, -15185, 3782, -4654, 2394, -1111, -3355, 79, -11, -31, 354, 136, 128, 43, 110, 63, 68, 81
16662355, 1383, -15185, 3782, -4654, 2394, -1111, -3355, 79, -11, -31, 454, 171, 155, 59, 97, 66, 123, 124
