Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
182055408, 498, -439, 15334, 5731, 331, 797, -1644, 127, -146, 160, 0, 0, 0, 0, 0, 0, 0, 0
182056222, 480, -402, 15355, 5678, 121, 616, -1390, 86, -73, 157, 0, 0, 0, 0, 0, 0, 0, 0
182069753, 488, -382, 15393, 5575, -190, 801, -1937, 271, -58, 113, 0, 0, 0, 0, 0, 0, 0, 0
182092232, 498, -336, 15432, 5469, -9, 697, -1796, 321, -185, 184, 0, 0, 0, 0, 0, 0, 0, 0
182114707, 518, -285, 15480, 5332, -32, 673, -1751, 524, -234, 194, 0, 0, 0, 0, 0, 0, 0, 0
182122877, 518, -285, 15480, 5332, -32, 673, -1751, 524, -234, 194, 18, 21, 22, 41, 141, 88, 22, 25
182123665, 518, -285, 15480, 5332, -32, 673, -1751, 524, -234, 194, 18, 21, 22, 41, 141, 88, 22, 25
182137255, 543, -221, 15537, 5166, -28, 710, -1759, 728, -280, 250, 18, 21, 22, 41, 141, 88, 22, 25
182145344, 543, -221, 15537, 5166, -28, 710, -1759, 728, -280, 250, 24, 24, 29, 46, 115, 57, 24, 26
182146221, 543, -221, 15537, 5166, -28, 710, -1759, 728, -280, 250, 24, 24, 29, 46, 115, 57, 24, 26
182152325, 568, -145, 15594, 4991, -47, 799, -1809, 826, -293, 308, 24, 24, 29, 46, 115, 57, 24, 26
182167845, 568, -145, 15594, 4991, -47, 799, -1809, 826, -293, 308, 26, 29, 30, 49, 93, 57, 21, 22
182168670, 568, -145, 15594, 4991, -47, 799, -1809, 826, -293, 308, 26, 29, 30, 49, 93, 57, 21, 22
182174818, 587, -58, 15640, 4842, -25, 857, -1782, 724, -294, 381, 26, 29, 30, 49, 93, 57, 21, 22
182182866, 587, -58, 15640, 4842, -25, 857, -1782, 724, -294, 381, 29, 39, 40, 54, 99, 55, 22, 22
182183672, 587, -58, 15640, 4842, -25, 857, -1782, 724, -294, 381, 29, 39, 40, 54, 99, 55, 22, 22
182189825, 612, 49, 15677, 4717, -65, 874, -1822, 597, -343, 489, 29, 39, 40, 54, 99, 55, 22, 22
182205350, 612, 49, 15677, 4717, -65, 874, -1822, 597, -343, 489, 28, 39, 40, 51, 104, 53, 20, 19
182206221, 612, 49, 15677, 4717, -65, 874, -1822, 597, -343, 489, 28, 39, 40, 51, 104, 53, 20, 19
182219824, 637, 173, 15701, 4632, -66, 901, -1785, 402, -368, 588, 28, 39, 40, 51, 104, 53, 20, 19
182227904, 637, 173, 15701, 4632, -66, 901, -1785, 402, -368, 588, 30, 48, 42, 49, 109, 55, 22, 22
182228671, 637, 173, 15701, 4632, -66, 901, -1785, 402, -368, 588, 30, 48, 42, 49, 109, 55, 22, 22
182234831, 654, 313, 15720, 4559, -50, 896, -1735, 356, -356, 690, 30, 48, 42, 49, 109, 55, 22, 22
182242872, 654, 313, 15720, 4559, -50, 896, -1735, 356, -356, 690, 28, 70, 64, 46, 109, 55, 20, 20
182243682, 654, 313, 15720, 4559, -50, 896, -1735, 356, -356, 690, 28, 70, 64, 46, 109, 55, 20, 20
182249847, 669, 473, 15739, 4474, -93, 880, -1659, 447, -347, 811, 28, 70, 64, 46, 109, 55, 20, 20
182265374, 669, 473, 15739, 4474, -93, 880, -1659, 447, -347, 811, 43, 102, 105, 73, 131, 41, 26, 22
182266223, 669, 473, 15739, 4474, -93, 880, -1659, 447, -347, 811, 43, 102, 105, 73, 131, 41, 26, 22
182272321, 682, 662, 15767, 4350, -142, 818, -1704, 653, -362, 974, 43, 102, 105, 73, 131, 41, 26, 22
182287848, 682, 662, 15767, 4350, -142, 818, -1704, 653, -362, 974, 58, 256, 149, 90, 161, 46, 32, 72
182288669, 682, 662, 15767, 4350, -142, 818, -1704, 653, -362, 974, 58, 256, 149, 90, 161, 46, 32, 72
182294823, 690, 889, 15802, 4177, -216, 757, -1706, 930, -361, 1198, 58, 256, 149, 90, 161, 46, 32, 72
182302873, 690, 889, 15802, 4177, -216, 757, -1706, 930, -361, 1198, 83, 295, 197, 105, 167, 46, 34, 100
182303666, 690, 889, 15802, 4177, -216, 757, -1706, 930, -361, 1198, 83, 295, 197, 105, 167, 46, 34, 100
182309822, 709, 1173, 15829, 3999, -284, 857, -1816, 997, -474, 1509, 83, 295, 197, 105, 167, 46, 34, 100
182325348, 709, 1173, 15829, 3999, -284, 857, -1816, 997, -474, 1509, 122, 461, 247, 139, 247, 60, 36, 128
182326218, 709, 1173, 15829, 3999, -284, 857, -1816, 997, -474, 1509, 122, 461, 247, 139, 247, 60, 36, 128
182332320, 707, 1521, 15846, 3808, -295, 1173, -1777, 1169, -508, 1841, 122, 461, 247, 139, 247, 60, 36, 128
182347847, 707, 1521, 15846, 3808, -295, 1173, -1777, 1169, -508, 1841, 152, 604, 340, 231, 264, 73, 60, 228
182348671, 707, 1521, 15846, 3808, -295, 1173, -1777, 1169, -508, 1841, 152, 604, 340, 231, 264, 73, 60, 228
182354800, 708, 1943, 15842, 3630, -303, 1328, -1788, 1115, -616, 2255, 152, 604, 340, 231, 264, 73, 60, 228
182362854, 708, 1943, 15842, 3630, -303, 1328, -1788, 1115, -616, 2255, 166, 757, 490, 252, 315, 85, 69, 307
182363664, 708, 1943, 15842, 3630, -303, 1328, -1788, 1115, -616, 2255, 166, 757, 490, 252, 315, 85, 69, 307
182369818, 714, 2430, 15813, 3456, -251, 1547, -1873, 1102, -737, 2618, 166, 757, 490, 252, 315, 85, 69, 307
182385352, 714, 2430, 15813, 3456, -251, 1547, -1873, 1102, -737, 2618, 197, 807, 588, 255, 338, 96, 76, 331
182386226, 714, 2430, 15813, 3456, -251, 1547, -1873, 1102, -737, 2618, 197, 807, 588, 255, 338, 96, 76, 331
182392312, 715, 2972, 15748, 3325, -106, 1869, -1838, 892, -752, 2956, 197, 807, 588, 255, 338, 96, 76, 331
182407864, 715, 2972, 15748, 3325, -106, 1869, -1838, 892, -752, 2956, 220, 971, 762, 261, 385, 115, 104, 404
182408638, 715, 2972, 15748, 3325, -106, 1869, -1838, 892, -752, 2956, 220, 971, 762, 261, 385, 115, 104, 404
182414810, 696, 3566, 15649, 3213, 139, 2242, -1789, 835, -725, 3287, 220, 971, 762, 261, 385, 115, 104, 404
182422866, 696, 3566, 15649, 3213, 139, 2242, -1789, 835, -725, 3287, 228, 1029, 845, 252, 498, 111, 138, 535
182423670, 696, 3566, 15649, 3213, 139, 2242, -1789, 835, -725, 3287, 228, 1029, 845, 252, 498, 111, 138, 535
182429814, 665, 4209, 15510, 3116, 379, 2129, -1850, 734, -724, 3606, 228, 1029, 845, 252, 498, 111, 138, 535
182445339, 665, 4209, 15510, 3116, 379, 2129, -1850, 734, -724, 3606, 243, 987, 826, 222, 550, 112, 187, 589
182446205, 665, 4209, 15510, 3116, 379, 2129, -1850, 734, -724, 3606, 243, 987, 826, 222, 550, 112, 187, 589
182452283, 647, 4881, 15320, 3076, 672, 2304, -1682, 393, -792, 3820, 243, 987, 826, 222, 550, 112, 187, 589
182467884, 647, 4881, 15320, 3076, 672, 2304, -1682, 393, -792, 3820, 238, 889, 761, 206, 599, 119, 224, 605
182468676, 647, 4881, 15320, 3076, 672, 2304, -1682, 393, -792, 3820, 238, 889, 761, 206, 599, 119, 224, 605
182474841, 613, 5562, 15096, 3033, 1017, 2243, -1502, 410, -764, 3937, 238, 889, 761, 206, 599, 119, 224, 605
182482847, 613, 5562, 15096, 3033, 1017, 2243, -1502, 410, -764, 3937, 225, 848, 693, 264, 677, 140, 244, 671
182483643, 613, 5562, 15096, 3033, 1017, 2243, -1502, 410, -764, 3937, 225, 848, 693, 264, 677, 140, 244, 671
182489783, 565, 6255, 14835, 2982, 1292, 2264, -1746, 435, -762, 4072, 225, 848, 693, 264, 677, 140, 244, 671
182505405, 565, 6255, 14835, 2982, 1292, 2264, -1746, 435, -762, 4072, 286, 681, 505, 322, 694, 209, 411, 729
182506199, 565, 6255, 14835, 2982, 1292, 2264, -1746, 435, -762, 4072, 286, 681, 505, 322, 694, 209, 411, 729
182512332, 545, 6915, 14543, 2965, 1766, 2304, -1719, 179, -857, 3936, 286, 681, 505, 322, 694, 209, 411, 729
182527875, 545, 6915, 14543, 2965, 1766, 2304, -1719, 179, -857, 3936, 285, 485, 336, 354, 739, 228, 449, 752
182528676, 545, 6915, 14543, 2965, 1766, 2304, -1719, 179, -857, 3936, 285, 485, 336, 354, 739, 228, 449, 752
182543674, 547, 7490, 14253, 2976, 2018, 1987, -1352, -49, -846, 3476, 285, 485, 336, 354, 739, 228, 449, 752
182544460, 547, 7490, 14253, 2976, 2018, 1987, -1352, -49, -846, 3476, 293, 423, 318, 388, 743, 357, 453, 717
182545292, 547, 7490, 14253, 2976, 2018, 1987, -1352, -49, -846, 3476, 293, 423, 318, 388, 743, 357, 453, 717
182549850, 513, 7984, 13986, 2962, 2029, 1724, -1420, 132, -652, 3060, 293, 423, 318, 388, 743, 357, 453, 717
182565359, 513, 7984, 13986, 2962, 2029, 1724, -1420, 132, -652, 3060, 361, 388, 303, 441, 909, 653, 563, 782
182566199, 513, 7984, 13986, 2962, 2029, 1724, -1420, 132, -652, 3060, 361, 388, 303, 441, 909, 653, 563, 782
182572333, 444, 8420, 13743, 2908, 1636, 1886, -1688, 445, -471, 2767, 361, 388, 303, 441, 909, 653, 563, 782
182587855, 444, 8420, 13743, 2908, 1636, 1886, -1688, 445, -471, 2767, 518, 314, 281, 448, 988, 777, 642, 775
182588679, 444, 8420, 13743, 2908, 1636, 1886, -1688, 445, -471, 2767, 518, 314, 281, 448, 988, 777, 642, 775
182594836, 349, 8784, 13526, 2860, 1827, 1927, -1779, 514, -280, 2383, 518, 314, 281, 448, 988, 777, 642, 775
182602231, 349, 8784, 13526, 2860, 1827, 1927, -1779, 514, -280, 2383, 519, 217, 237, 437, 1048, 895, 620, 843
182610381, 349, 8784, 13526, 2860, 1827, 1927, -1779, 514, -280, 2383, 519, 217, 237, 437, 1048, 895, 620, 843
182611328, 320, 9076, 13333, 2860, 1723, 2027, -1851, 119, -349, 1930, 519, 217, 237, 437, 1048, 895, 620, 843
182625379, 320, 9076, 13333, 2860, 1723, 2027, -1851, 119, -349, 1930, 518, 213, 216, 434, 989, 975, 621, 808
182626228, 320, 9076, 13333, 2860, 1723, 2027, -1851, 119, -349, 1930, 518, 213, 216, 434, 989, 975, 621, 808
182632362, 299, 9249, 13174, 3037, 1910, 1944, -1973, -212, -319, 1180, 518, 213, 216, 434, 989, 975, 621, 808
182647874, 299, 9249, 13174, 3037, 1910, 1944, -1973, -212, -319, 1180, 515, 200, 212, 457, 1020, 1160, 626, 802
182648667, 299, 9249, 13174, 3037, 1910, 1944, -1973, -212, -319, 1180, 515, 200, 212, 457, 1020, 1160, 626, 802
182654824, 241, 9347, 13066, 3204, 1958, 1646, -1797, -151, -129, 685, 515, 200, 212, 457, 1020, 1160, 626, 802
182671081, 241, 9347, 13066, 3204, 1958, 1646, -1797, -151, -129, 685, 496, 200, 181, 427, 1024, 1137, 539, 756
182671900, 241, 9347, 13066, 3204, 1958, 1646, -1797, -151, -129, 685, 496, 200, 181, 427, 1024, 1137, 539, 756
182672827, 118, 9406, 12985, 3365, 2046, 2001, -1998, 244, 202, 536, 496, 200, 181, 427, 1024, 1137, 539, 756
182685336, 118, 9406, 12985, 3365, 2046, 2001, -1998, 244, 202, 536, 347, 195, 211, 450, 1111, 1151, 479, 816
182686221, 118, 9406, 12985, 3365, 2046, 2001, -1998, 244, 202, 536, 347, 195, 211, 450, 1111, 1151, 479, 816
182692338, -17, 9409, 12928, 3568, 2219, 2311, -2132, 229, 425, 255, 347, 195, 211, 450, 1111, 1151, 479, 816
182707848, -17, 9409, 12928, 3568, 2219, 2311, -2132, 229, 425, 255, 299, 193, 212, 439, 1068, 1073, 401, 676
182708641, -17, 9409, 12928, 3568, 2219, 2311, -2132, 229, 425, 255, 299, 193, 212, 439, 1068, 1073, 401, 676
182714803, -130, 9398, 12861, 3829, 2336, 2387, -2024, -86, 511, 203, 299, 193, 212, 439, 1068, 1073, 401, 676
182731046, -130, 9398, 12861, 3829, 2336, 2387, -2024, -86, 511, 203, 306, 189, 202, 554, 1052, 1016, 414, 623
182731870, -130, 9398, 12861, 3829, 2336, 2387, -2024, -86, 511, 203, 306, 189, 202, 554, 1052, 1016, 414, 623
182732795, -230, 9389, 12774, 4128, 2384, 2442, -1927, -320, 583, 278, 306, 189, 202, 554, 1052, 1016, 414, 623
182745371, -230, 9389, 12774, 4128, 2384, 2442, -1927, -320, 583, 278, 299, 177, 177, 529, 1009, 772, 420, 657
182746224, -230, 9389, 12774, 4128, 2384, 2442, -1927, -320, 583, 278, 299, 177, 177, 529, 1009, 772, 420, 657
182752348, -342, 9388, 12664, 4449, 2589, 2395, -1863, -468, 655, 368, 299, 177, 177, 529, 1009, 772, 420, 657
182767879, -342, 9388, 12664, 4449, 2589, 2395, -1863, -468, 655, 368, 292, 171, 159, 521, 835, 619, 495, 597
182768694, -342, 9388, 12664, 4449, 2589, 2395, -1863, -468, 655, 368, 292, 171, 159, 521, 835, 619, 495, 597
182774846, -456, 9395, 12530, 4789, 2632, 2458, -1865, -600, 766, 499, 292, 171, 159, 521, 835, 619, 495, 597
182791019, -456, 9395, 12530, 4789, 2632, 2458, -1865, -600, 766, 499, 271, 145, 94, 478, 531, 421, 507, 513
182791841, -456, 9395, 12530, 4789, 2632, 2458, -1865, -600, 766, 499, 271, 145, 94, 478, 531, 421, 507, 513
182792772, -542, 9418, 12349, 5190, 2726, 2545, -1874, -1054, 863, 680, 271, 145, 94, 478, 531, 421, 507, 513
182805341, -542, 9418, 12349, 5190, 2726, 2545, -1874, -1054, 863, 680, 307, 140, 115, 503, 550, 377, 507, 555
182806242, -542, 9418, 12349, 5190, 2726, 2545, -1874, -1054, 863, 680, 307, 140, 115, 503, 550, 377, 507, 555
182812322, -528, 9460, 12170, 5527, 2772, 2466, -1747, -1645, 795, 637, 307, 140, 115, 503, 550, 377, 507, 555
182827848, -528, 9460, 12170, 5527, 2772, 2466, -1747, -1645, 795, 637, 318, 105, 120, 398, 714, 363, 593, 570
182828672, -528, 9460, 12170, 5527, 2772, 2466, -1747, -1645, 795, 637, 318, 105, 120, 398, 714, 363, 593, 570
182834799, -490, 9458, 11980, 5931, 2782, 2407, -1717, -2036, 1013, 428, 318, 105, 120, 398, 714, 363, 593, 570
182851062, -490, 9458, 11980, 5931, 2782, 2407, -1717, -2036, 1013, 428, 311, 95, 131, 401, 727, 344, 620, 610
