Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
100372409, -2742, 15332, -3644, 3543, 1062, -1511, -2054, -87, -23, -31, 0, 0, 0, 0, 0, 0, 0, 0
100373245, -2762, 15323, -3644, 3568, 1068, -1505, -2052, -96, -9, -25, 0, 0, 0, 0, 0, 0, 0, 0
100374063, -2792, 15313, -3638, 3592, 1051, -1504, -2043, -28, -22, -38, 0, 0, 0, 0, 0, 0, 0, 0
100393539, -2818, 15303, -3633, 3617, 1048, -1505, -2040, -51, -2, -43, 0, 0, 0, 0, 0, 0, 0, 0
100408517, -2838, 15296, -3632, 3637, 1053, -1501, -2072, -78, -16, -30, 0, 0, 0, 0, 0, 0, 0, 0
100432324, -2859, 15288, -3631, 3655, 1054, -1468, -2044, -62, -32, -14, 0, 0, 0, 0, 0, 0, 0, 0
100433145, -2859, 15288, -3631, 3655, 1054, -1468, -2044, -62, -32, -14, 250, 137, 104, 670, 107, 61, 542, 775
100433942, -2859, 15288, -3631, 3655, 1054, -1468, -2044, -62, -32, -14, 250, 137, 104, 670, 107, 61, 542, 775
100454858, -2876, 15279, -3631, 3676, 1045, -1503, -2036, -89, -4, -26, 250, 137, 104, 670, 107, 61, 542, 775
100455669, -2876, 15279, -3631, 3676, 1045, -1503, -2036, -89, -4, -26, 269, 167, 115, 650, 113, 72, 555, 794
100456512, -2876, 15279, -3631, 3676, 1045, -1503, -2036, -89, -4, -26, 269, 167, 115, 650, 113, 72, 555, 794
100468539, -2899, 15270, -3627, 3698, 1057, -1507, -2040, -53, -7, -37, 269, 167, 115, 650, 113, 72, 555, 794
100476626, -2899, 15270, -3627, 3698, 1057, -1507, -2040, -53, -7, -37, 311, 172, 109, 613, 113, 77, 523, 786
100477444, -2899, 15270, -3627, 3698, 1057, -1507, -2040, -53, -7, -37, 311, 172, 109, 613, 113, 77, 523, 786
100492352, -2918, 15263, -3621, 3719, 1053, -1491, -2085, -54, -2, -53, 311, 172, 109, 613, 113, 77, 523, 786
100493161, -2918, 15263, -3621, 3719, 1053, -1491, -2085, -54, -2, -53, 292, 175, 98, 628, 107, 74, 525, 839
100493965, -2918, 15263, -3621, 3719, 1053, -1491, -2085, -54, -2, -53, 292, 175, 98, 628, 107, 74, 525, 839
100514876, -2942, 15255, -3617, 3739, 1085, -1492, -2042, -31, -27, -24, 292, 175, 98, 628, 107, 74, 525, 839
100515664, -2942, 15255, -3617, 3739, 1085, -1492, -2042, -31, -27, -24, 276, 176, 107, 593, 113, 79, 488, 804
100516484, -2942, 15255, -3617, 3739, 1085, -1492, -2042, -31, -27, -24, 276, 176, 107, 593, 113, 79, 488, 804
100528541, -2971, 15245, -3614, 3760, 1079, -1499, -2065, 7, -17, -11, 276, 176, 107, 593, 113, 79, 488, 804
100536639, -2971, 15245, -3614, 3760, 1079, -1499, -2065, 7, -17, -11, 262, 120, 108, 533, 108, 71, 458, 777
100537472, -2971, 15245, -3614, 3760, 1079, -1499, -2065, 7, -17, -11, 262, 120, 108, 533, 108, 71, 458, 777
100552353, -2978, 15242, -3614, 3765, 1069, -1473, -2051, 1, -12, -1, 262, 120, 108, 533, 108, 71, 458, 777
100553161, -2978, 15242, -3614, 3765, 1069, -1473, -2051, 1, -12, -1, 257, 127, 99, 554, 100, 58, 423, 740
100553972, -2978, 15242, -3614, 3765, 1069, -1473, -2051, 1, -12, -1, 257, 127, 99, 554, 100, 58, 423, 740
