Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
81486070, -591, 13136, -9773, -95, -36, -210, -1838, -231, -441, -626, 0, 0, 0, 0, 0, 0, 0, 0
81493593, -600, 13213, -9668, -186, -9, -223, -1765, -363, -512, -702, 0, 0, 0, 0, 0, 0, 0, 0
81516071, -591, 13299, -9546, -334, -97, -102, -1762, -575, -679, -800, 0, 0, 0, 0, 0, 0, 0, 0
81538597, -525, 13392, -9410, -522, -76, -171, -1748, -1030, -697, -869, 0, 0, 0, 0, 0, 0, 0, 0
81554922, -515, 13488, -9263, -663, 12, -435, -1680, -775, -721, -928, 0, 0, 0, 0, 0, 0, 0, 0
81555709, -515, 13488, -9263, -663, 12, -435, -1680, -775, -721, -928, 98, 46, 44, 97, 136, 170, 631, 471
81556537, -515, 13488, -9263, -663, 12, -435, -1680, -775, -721, -928, 98, 46, 44, 97, 136, 170, 631, 471
81577453, -526, 13597, -9092, -786, 91, -675, -1483, -764, -747, -1076, 98, 46, 44, 97, 136, 170, 631, 471
81578267, -526, 13597, -9092, -786, 91, -675, -1483, -764, -747, -1076, 144, 55, 46, 139, 156, 164, 696, 543
81579053, -526, 13597, -9092, -786, 91, -675, -1483, -764, -747, -1076, 144, 55, 46, 139, 156, 164, 696, 543
81599919, -536, 13723, -8885, -936, 93, -559, -1533, -810, -890, -1290, 144, 55, 46, 139, 156, 164, 696, 543
81600701, -536, 13723, -8885, -936, 93, -559, -1533, -810, -890, -1290, 194, 77, 63, 202, 170, 177, 882, 644
81601528, -536, 13723, -8885, -936, 93, -559, -1533, -810, -890, -1290, 194, 77, 63, 202, 170, 177, 882, 644
81613565, -566, 13862, -8654, -1039, 203, -755, -1675, -691, -803, -1440, 194, 77, 63, 202, 170, 177, 882, 644
81621687, -566, 13862, -8654, -1039, 203, -755, -1675, -691, -803, -1440, 225, 81, 69, 284, 188, 194, 931, 665
81622485, -566, 13862, -8654, -1039, 203, -755, -1675, -691, -803, -1440, 225, 81, 69, 284, 188, 194, 931, 665
81637387, -598, 14007, -8402, -1128, 225, -813, -1631, -683, -768, -1550, 225, 81, 69, 284, 188, 194, 931, 665
81638250, -598, 14007, -8402, -1128, 225, -813, -1631, -683, -768, -1550, 307, 98, 75, 329, 220, 271, 1022, 866
81638995, -598, 14007, -8402, -1128, 225, -813, -1631, -683, -768, -1550, 307, 98, 75, 329, 220, 271, 1022, 866
81659912, -580, 14168, -8107, -1279, 318, -966, -1624, -799, -748, -1816, 307, 98, 75, 329, 220, 271, 1022, 866
81660719, -580, 14168, -8107, -1279, 318, -966, -1624, -799, -748, -1816, 321, 98, 71, 339, 215, 294, 1065, 914
81661534, -580, 14168, -8107, -1279, 318, -966, -1624, -799, -748, -1816, 321, 98, 71, 339, 215, 294, 1065, 914
81674917, -571, 14347, -7764, -1406, 246, -1218, -1630, -750, -649, -2100, 321, 98, 71, 339, 215, 294, 1065, 914
81675710, -571, 14347, -7764, -1406, 246, -1218, -1630, -750, -649, -2100, 348, 120, 98, 355, 213, 329, 1161, 928
81676540, -571, 14347, -7764, -1406, 246, -1218, -1630, -750, -649, -2100, 348, 120, 98, 355, 213, 329, 1161, 928
81697447, -572, 14540, -7372, -1529, 319, -1312, -1558, -727, -670, -2378, 348, 120, 98, 355, 213, 329, 1161, 928
