Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
187836438, -3910, 15356, 4069, -872, 1022, -1063, -1067, 180, -532, -789, 0, 0, 0, 0, 0, 0, 0, 0
187837245, -3989, 15294, 4229, -843, 1052, -1128, -1044, 135, -460, -733, 0, 0, 0, 0, 0, 0, 0, 0
187858201, -4075, 15233, 4370, -820, 1024, -1220, -1020, 145, -429, -634, 0, 0, 0, 0, 0, 0, 0, 0
187880756, -4169, 15169, 4504, -809, 1023, -1217, -1007, 218, -461, -596, 0, 0, 0, 0, 0, 0, 0, 0
187895726, -4262, 15105, 4635, -785, 1132, -1199, -1049, 224, -435, -563, 0, 0, 0, 0, 0, 0, 0, 0
187903826, -4262, 15105, 4635, -785, 1132, -1199, -1049, 224, -435, -563, 65, 227, 78, 61, 65, 88, 142, 282
187904635, -4262, 15105, 4635, -785, 1132, -1199, -1049, 224, -435, -563, 65, 227, 78, 61, 65, 88, 142, 282
187919599, -4338, 15049, 4751, -743, 1169, -1158, -1052, 123, -357, -486, 65, 227, 78, 61, 65, 88, 142, 282
187920351, -4338, 15049, 4751, -743, 1169, -1158, -1052, 123, -357, -486, 66, 234, 80, 56, 67, 91, 146, 293
187921167, -4338, 15049, 4751, -743, 1169, -1158, -1052, 123, -357, -486, 66, 234, 80, 56, 67, 91, 146, 293
187942084, -4397, 15002, 4852, -691, 1179, -1173, -1070, 17, -299, -406, 66, 234, 80, 56, 67, 91, 146, 293
187942897, -4397, 15002, 4852, -691, 1179, -1173, -1070, 17, -299, -406, 70, 206, 79, 57, 72, 96, 167, 290
187943713, -4397, 15002, 4852, -691, 1179, -1173, -1070, 17, -299, -406, 70, 206, 79, 57, 72, 96, 167, 290
187955762, -4454, 14958, 4941, -645, 1158, -1270, -1009, -43, -303, -349, 70, 206, 79, 57, 72, 96, 167, 290
187963848, -4454, 14958, 4941, -645, 1158, -1270, -1009, -43, -303, -349, 65, 212, 63, 50, 81, 71, 190, 335
187964646, -4454, 14958, 4941, -645, 1158, -1270, -1009, -43, -303, -349, 65, 212, 63, 50, 81, 71, 190, 335
187979556, -4524, 14910, 5027, -608, 1198, -1322, -1002, 21, -332, -323, 65, 212, 63, 50, 81, 71, 190, 335
187980375, -4524, 14910, 5027, -608, 1198, -1322, -1002, 21, -332, -323, 70, 257, 71, 74, 96, 75, 207, 289
187981177, -4524, 14910, 5027, -608, 1198, -1322, -1002, 21, -332, -323, 70, 257, 71, 74, 96, 75, 207, 289
188002024, -4601, 14861, 5107, -568, 1263, -1272, -1008, 88, -317, -281, 70, 257, 71, 74, 96, 75, 207, 289
188002835, -4601, 14861, 5107, -568, 1263, -1272, -1008, 88, -317, -281, 71, 249, 73, 74, 92, 74, 213, 286
188003640, -4601, 14861, 5107, -568, 1263, -1272, -1008, 88, -317, -281, 71, 249, 73, 74, 92, 74, 213, 286
188015701, -4679, 14815, 5174, -513, 1319, -1227, -990, 85, -237, -217, 71, 249, 73, 74, 92, 74, 213, 286
188023874, -4679, 14815, 5174, -513, 1319, -1227, -990, 85, -237, -217, 70, 239, 79, 78, 93, 77, 213, 314
188024671, -4679, 14815, 5174, -513, 1319, -1227, -990, 85, -237, -217, 70, 239, 79, 78, 93, 77, 213, 314
188039572, -4749, 14775, 5232, -452, 1314, -1225, -962, 23, -190, -180, 70, 239, 79, 78, 93, 77, 213, 314
188040362, -4749, 14775, 5232, -452, 1314, -1225, -962, 23, -190, -180, 69, 258, 86, 75, 105, 76, 239, 360
188041192, -4749, 14775, 5232, -452, 1314, -1225, -962, 23, -190, -180, 69, 258, 86, 75, 105, 76, 239, 360
188062056, -4817, 14735, 5285, -393, 1298, -1335, -934, -29, -184, -168, 69, 258, 86, 75, 105, 76, 239, 360
188062846, -4817, 14735, 5285, -393, 1298, -1335, -934, -29, -184, -168, 80, 293, 86, 74, 98, 102, 224, 352
188063673, -4817, 14735, 5285, -393, 1298, -1335, -934, -29, -184, -168, 80, 293, 86, 74, 98, 102, 224, 352
188075699, -4896, 14691, 5340, -341, 1310, -1335, -959, 57, -202, -173, 80, 293, 86, 74, 98, 102, 224, 352
188083867, -4896, 14691, 5340, -341, 1310, -1335, -959, 57, -202, -173, 88, 307, 80, 52, 85, 102, 237, 384
188084688, -4896, 14691, 5340, -341, 1310, -1335, -959, 57, -202, -173, 88, 307, 80, 52, 85, 102, 237, 384
188099519, -4986, 14644, 5388, -292, 1364, -1307, -974, 145, -193, -125, 88, 307, 80, 52, 85, 102, 237, 384
188100342, -4986, 14644, 5388, -292, 1364, -1307, -974, 145, -193, -125, 94, 306, 77, 50, 91, 103, 242, 390
188101164, -4986, 14644, 5388, -292, 1364, -1307, -974, 145, -193, -125, 94, 306, 77, 50, 91, 103, 242, 390
188122053, -5080, 14598, 5428, -235, 1386, -1251, -967, 180, -136, -85, 94, 306, 77, 50, 91, 103, 242, 390
188122886, -5080, 14598, 5428, -235, 1386, -1251, -967, 180, -136, -85, 92, 306, 72, 47, 92, 101, 286, 400
188123666, -5080, 14598, 5428, -235, 1386, -1251, -967, 180, -136, -85, 92, 306, 72, 47, 92, 101, 286, 400
188135712, -5162, 14558, 5461, -168, 1356, -1231, -953, 106, -69, -73, 92, 306, 72, 47, 92, 101, 286, 400
188143818, -5162, 14558, 5461, -168, 1356, -1231, -953, 106, -69, -73, 91, 300, 69, 50, 78, 102, 263, 393
188144638, -5162, 14558, 5461, -168, 1356, -1231, -953, 106, -69, -73, 91, 300, 69, 50, 78, 102, 263, 393
188159524, -5225, 14524, 5493, -95, 1343, -1272, -927, -27, -63, -75, 91, 300, 69, 50, 78, 102, 263, 393
188160339, -5225, 14524, 5493, -95, 1343, -1272, -927, -27, -63, -75, 80, 262, 75, 51, 77, 71, 267, 379
188161166, -5225, 14524, 5493, -95, 1343, -1272, -927, -27, -63, -75, 80, 262, 75, 51, 77, 71, 267, 379
188182068, -5298, 14489, 5515, -35, 1317, -1355, -945, 18, -68, -32, 80, 262, 75, 51, 77, 71, 267, 379
188182864, -5298, 14489, 5515, -35, 1317, -1355, -945, 18, -68, -32, 69, 201, 71, 52, 77, 65, 254, 394
188183739, -5298, 14489, 5515, -35, 1317, -1355, -945, 18, -68, -32, 69, 201, 71, 52, 77, 65, 254, 394
188195748, -5395, 14448, 5528, 14, 1323, -1340, -952, 187, -55, 24, 69, 201, 71, 52, 77, 65, 254, 394
188203845, -5395, 14448, 5528, 14, 1323, -1340, -952, 187, -55, 24, 60, 174, 68, 49, 63, 69, 312, 468
188204641, -5395, 14448, 5528, 14, 1323, -1340, -952, 187, -55, 24, 60, 174, 68, 49, 63, 69, 312, 468
188219542, -5502, 14404, 5539, 58, 1314, -1238, -919, 297, -39, 49, 60, 174, 68, 49, 63, 69, 312, 468
188220336, -5502, 14404, 5539, 58, 1314, -1238, -919, 297, -39, 49, 67, 171, 64, 45, 76, 89, 315, 501
188221149, -5502, 14404, 5539, 58, 1314, -1238, -919, 297, -39, 49, 67, 171, 64, 45, 76, 89, 315, 501
188242077, -5596, 14359, 5559, 110, 1331, -1267, -862, 197, -49, -19, 67, 171, 64, 45, 76, 89, 315, 501
188242895, -5596, 14359, 5559, 110, 1331, -1267, -862, 197, -49, -19, 68, 156, 55, 41, 73, 85, 342, 510
188243705, -5596, 14359, 5559, 110, 1331, -1267, -862, 197, -49, -19, 68, 156, 55, 41, 73, 85, 342, 510
188255706, -5663, 14323, 5582, 166, 1290, -1288, -918, 56, -53, -41, 68, 156, 55, 41, 73, 85, 342, 510
188263839, -5663, 14323, 5582, 166, 1290, -1288, -918, 56, -53, -41, 83, 140, 52, 52, 85, 91, 342, 515
188264674, -5663, 14323, 5582, 166, 1290, -1288, -918, 56, -53, -41, 83, 140, 52, 52, 85, 91, 342, 515
188279574, -5739, 14291, 5586, 197, 1292, -1277, -910, 148, -113, 108, 83, 140, 52, 52, 85, 91, 342, 515
188280362, -5739, 14291, 5586, 197, 1292, -1277, -910, 148, -113, 108, 88, 198, 72, 64, 84, 91, 342, 527
188281189, -5739, 14291, 5586, 197, 1292, -1277, -910, 148, -113, 108, 88, 198, 72, 64, 84, 91, 342, 527
188302021, -5828, 14252, 5593, 226, 1366, -1344, -904, 209, -135, 96, 88, 198, 72, 64, 84, 91, 342, 527
188302847, -5828, 14252, 5593, 226, 1366, -1344, -904, 209, -135, 96, 91, 207, 79, 74, 88, 92, 324, 522
188303693, -5828, 14252, 5593, 226, 1366, -1344, -904, 209, -135, 96, 91, 207, 79, 74, 88, 92, 324, 522
188315698, -5905, 14211, 5615, 272, 1354, -1267, -855, 140, -89, -5, 91, 207, 79, 74, 88, 92, 324, 522
188323873, -5905, 14211, 5615, 272, 1354, -1267, -855, 140, -89, -5, 101, 219, 105, 83, 78, 71, 296, 534
188324691, -5905, 14211, 5615, 272, 1354, -1267, -855, 140, -89, -5, 101, 219, 105, 83, 78, 71, 296, 534
188339584, -5952, 14175, 5654, 311, 1352, -1160, -863, 55, -206, -60, 101, 219, 105, 83, 78, 71, 296, 534
188340397, -5952, 14175, 5654, 311, 1352, -1160, -863, 55, -206, -60, 113, 230, 161, 114, 77, 76, 261, 542
188341198, -5952, 14175, 5654, 311, 1352, -1160, -863, 55, -206, -60, 113, 230, 161, 114, 77, 76, 261, 542
188362070, -5986, 14134, 5716, 387, 1469, -1390, -840, -174, -142, -259, 113, 230, 161, 114, 77, 76, 261, 542
188362855, -5986, 14134, 5716, 387, 1469, -1390, -840, -174, -142, -259, 127, 240, 247, 207, 66, 72, 247, 544
188363680, -5986, 14134, 5716, 387, 1469, -1390, -840, -174, -142, -259, 127, 240, 247, 207, 66, 72, 247, 544
188375705, -6043, 14091, 5754, 483, 1312, -1212, -1054, 50, 156, -220, 127, 240, 247, 207, 66, 72, 247, 544
188383823, -6043, 14091, 5754, 483, 1312, -1212, -1054, 50, 156, -220, 140, 225, 331, 352, 70, 81, 253, 695
188384635, -6043, 14091, 5754, 483, 1312, -1212, -1054, 50, 156, -220, 140, 225, 331, 352, 70, 81, 253, 695
188399517, -6124, 14054, 5755, 539, 1253, -1168, -886, 201, 97, 40, 140, 225, 331, 352, 70, 81, 253, 695
188400340, -6124, 14054, 5755, 539, 1253, -1168, -886, 201, 97, 40, 139, 248, 337, 375, 68, 76, 236, 807
188401165, -6124, 14054, 5755, 539, 1253, -1168, -886, 201, 97, 40, 139, 248, 337, 375, 68, 76, 236, 807
188422052, -6156, 14031, 5771, 613, 1334, -1250, -761, -176, -3, -42, 139, 248, 337, 375, 68, 76, 236, 807
188422874, -6156, 14031, 5771, 613, 1334, -1250, -761, -176, -3, -42, 157, 436, 411, 384, 68, 98, 247, 809
188423683, -6156, 14031, 5771, 613, 1334, -1250, -761, -176, -3, -42, 157, 436, 411, 384, 68, 98, 247, 809
